Code;82
Description;Recording paper feeding error.
Code;87
Description;Fails to complete the sequence of recording operation.
Code;89
Description;Cutter jam.
Code;8A
Description;Wrong or weak contact of the recording head connectors.
Code;8B
Description;Recording head overheat.
Code;A1
Description;Recording paper cover opened.
Code;A2
Description;Document too long to scan.
Code;A3
Description;Document not detected by the document rear sensor.
Code;A4
Description;50% or more faulty of white level data.
Code;A5
Description;Faulty operation of DMA0 during scanning.
Code;A6
Description;Faulty operation of DMA1 during scanning.
Code;A7
Description;One-line feeding time-out error.
Code;A8
Description;One-line scanning time-out error.
Code;A9
Description;Abnormal scanning reference voltage.
Code;AB
Description;Document feed-in amount measuring error.
Code;AC
Description;Less than 50% faulty of white level data.
Code;B1
Description;CODEC LSI error.
Code;B9
Description;Light emission intensity error of the LED array.
Code;BA
Description;Scanning error: The left-hand black reference line which is marked on the document pressure bar for scanning width setting is not detected.
Code;BB
Description;Scanning error: The right-hand black reference line which is marked on the document pressure bar for scanning width setting is not detected.
Code;BC
Description;Scanning error: Reduction miss
Code;BD
Description;Scanning error: Enlargement miss
Code;BE
Description;Abnormal clamp BWM value
Code;D1
Description;The MODEM setup bit sticks to High.
Code;D2
Description;CTS stays OFF or ON if the MODEM RTS is turned ON or OFF, respectively.
Code;D3
Description;Bit B1A of the MODEM stays OFF.
Code;D4
Description;Bit RX of the MODEM stays OFF.
Code;D5
Description;The MODEM fails to complete the command transmission sequence.
Code;D6
Description;No MODEM interrupt for 60 seconds.
Code;E1
Description;Microprocessor (MPU) error on the control panel PCB.
Code;E4
Description;Out of recording paper.
Code;E5
Description;Recording paper set error.
Code;E6
Description;Write error in E2PROM.
Code;E8
Description;Data scanning error during transmission.
Code;EA
Description;Document removed at phase B.
Code;F3
Description;Voice message recording or playing-back not started.
Code;F5
Description;EOL not found in page memory transmission mode.
Code;FF
Description;Interface error of page memory command.
