Code;56
Description;MP front cover opened.
Causes;
Code;57
Description;Recording paper jam (inside DX unit).
Causes;
Code;58
Description;Recording paper jam (no DX unit).
Causes;
Code;59
Description;Recording paper jam (inside MP tray).
Causes;
Code;5A
Description;Out of recording paper.
Causes;
Code;5B
Description;Paper size error in case of double-sided print.
Causes;
Code;5C
Description;Paper size error of one side only in case of double-sided print.
Causes;
Code;5D
Description;MP tray sensor remains ON.
Causes;• MP tray sensor
Code;5E
Description;MP tray sensor remains OFF.
Causes;• MP tray sensor
Code;5F
Description;DX unit sensor is inactivated.
Causes;• DX unit sensor
Code;6A
Description;Heater warming-up timeout error. (Heater does not reach 60°C within 11 sec.)
Causes;• Thermistor ASSY • Halogen lamp
Code;6B
Description;Heater warming-up timeout error. (Heater does not reach 100°C within 15 sec.)
Causes;• Thermistor ASSY • Halogen lamp
Code;6C
Description;Heater temperature exceeds the maximum high temperature. (270°C or more is detected for 1 sec.)
Causes;• Thermistor ASSY • Power supply PCB
Code;6D
Description;Heater temperature lowers the minimum low temperature. (60°C or less is detected for 1 sec.)
Causes;• Thermistor ASSY • Power supply PCB
Code;6E
Description;Heater temperature does not go up enough. (Slower temperature rise rate than 2°C/5 sec. is detected.)
Causes;• Halogen lamp • Power supply PCB
Code;6F
Description;Heater hard limiter operates.
Causes;• Thermistor ASSY • Power supply PCB
Code;71
Description;Scanner motor does not synchronize with the reference clock.
Causes;• Scanner motor
Code;72
Description;Cannot detect Beam Detect signal.
Causes;• Scanner motor • MP tray open sensor
Code;73
Description;Drum unit is not mounted.
Causes;• Toner sensor • Drum unit
Code;74
Description;Toner empty.
Causes;• Toner sensor • Toner cartridge
Code;75
Description;In-casing temperature error.
Causes;• Thermistor ASSY
Code;76
Description;Heater harness disconnected or broken.
Causes;• Thermistor ASSY • Halogen lamp
Code;78
Description;Heater thermistor harness disconnected or broken.
Causes;• Thermistor ASSY
Code;79
Description;In-casing temperature sensor harness disconnected or broken.
Causes;• Thermistor ASSY • Main PCB • Engine PCB • Main motor
Code;7A
Description;Main motor does not synchronize with the reference clock.
Causes;
Code;7B
Description;ASIC error on the main PCB.
Causes;
Code;7C
Description;Engine PCB error.
Causes;
Code;80
Description;At the start of recording operation, the controller detects that paper is smaller than A4 size in length or width.
Causes;• Front registration sensor • Paper size
Code;81
Description;Paper jam
Causes;• Jammed paper
Code;82
Description;Paper feeding error.
Causes;• Paper pick up roller
Code;83
Description;Recording paper jam. (At the retry of paper pulling-in operation, the registration sensor is not OFF.)
Causes;• Registration sensor • Main PCB
Code;84
Description;Recording paper jam. (The paper width sensor and/or registration sensor has detected a paper jam.)
Causes;• Registration sensor actuator • Main PCB
Code;85
Description;No paper cassette loaded.
Causes;
Code;86
Description;No 2nd paper cassette loaded.
Causes;
Code;87
Description;Main motor stop position error.
Causes;• Main motor
Code;88
Description;Recording paper jam. (Even after paper pulling-in operation, the registration sensor is still OFF.)
Causes;• Registration sensor actuator • Main PCB
Code;A1
Description;Scanner unit or ink slot cover opened.
Causes;• Scanner open sensor • Main PCB • Scanner unit
Code;A2
Description;Document too long to scan.
Causes;• Document front sensor • Document rear sensor • Document sensor PCB • Document feed roller • ADF motor • Main PCB
Code;A3
Description;Document not detected by the document rear sensor
Causes;
Code;AA
Description;The document cover is not closed.
Causes;Remove the document and close the document cover.
Code;AE
Description;The CCD HP sensor will not come ON.
Causes;• CCD unit • CCD flat cable • Driver PCB • Main PCB
Code;AF
Description;The CCD HP sensor will not go OFF.
Causes;
Code;B0
Description;Reading motor half inserted.
Causes;• Reading motor harness
Code;B1
Description;Dark level offset data level error for scanning.
Causes;• CCD unit • Main PCB
Code;B2
Description;Gain control data level error for scanning.
Causes;
Code;B3
Description;Scan area left edge detection error.
Causes;• CCD unit • Main PCB • Black markings on the white-level reference film inside the scanner top cover
Code;B4
Description;Scan area right edge detection error.
Causes;
Code;B5
Description;Horizontal scanning edge reduction detection error in scanning area setting.
Causes;
Code;B6
Description;Horizontal scanning edge enlargement detection error in scanning area setting.
Causes;
Code;BB
Description;White level data error.
Causes;• CCD unit • CCD flat cable • Driver PCB
Code;BD
Description;Black level data error.
Causes;• CCD unit • Main PCB
Code;BE
Description;"Scan starting edge detection error.
 • CIS unit • CIS flat cable • Driver PCB • Black markings on the white-level reference film inside the scanner top cover"
Causes;
Code;Dx
Description;Modem error.
Causes;• Main PCB
Code;E4
Description;Out of recording paper.
Causes;• ASF • Registration sensor • Main PCB
Code;E6
Description;Write error in EEPROM.
Causes;• Driver PCB
Code;E8
Description;Data scanning error during transmission.
Causes;• CCD unit • Main PCB
Code;EA
Description;Document removed at phase B.
Causes;
Code;F5
Description;Internal software error.
Causes;• Replace the main PCB if this error occurs frequently.
Code;F6
Description;PC interface error.
Causes;• Interface cable • Main PCB
Code;FA
Description;Reading motor error detected.
Causes;• Reading motor
Code;FF
Description;Memory management error.
Causes;• Replace the main PCB if this error occurs frequently.
