Code;0001
Description;Delay Jam
Causes;Paper Edge Sensor PS9
Remedy;
Code;0002
Description;Stationary Jam
Causes;Paper Edge Sensor PS9
Remedy;
Code;0004
Description;Delay Jam
Causes;Paper Edge Sensor (2nd side) PS9
Remedy;
Code;0005
Description;Stationary Jam
Causes;Paper Edge Sensor (2nd side) PS9
Remedy;
Code;0071
Description;Sequence Jam
Causes;Timing error
Remedy;
Code;0094
Description;Power-on Jam
Causes;Paper Edge Sensor PS9
Remedy;
Code;0104
Description;Pick Up Delay Jam1
Causes;Top Sensor PS215
Remedy;
Code;0105
Description;Pick Up Delay Jam2
Causes;Top Sensor PS215
Remedy;
Code;0106
Description;Pick Up Delay Jam3
Causes;PF Feed Sensor PS8008
Remedy;
Code;010C
Description;Fixing Delivery Delay Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;010D
Description;Fixing Delivery Delay Jam2
Causes;Face-down Tray Media Full Sensor PS7
Remedy;
Code;0144
Description;Pick Up Delay Jam1
Causes;Top Sensor PS215
Remedy;
Code;0145
Description;Pick Up Delay Jam2
Causes;PF Feed Sensor PS8008
Remedy;
Code;0146
Description;Pick Up Delay Jam3
Causes;PF Feed Sensor PS8008
Remedy;
Code;014C
Description;Fixing Delivery Delay Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;014D
Description;Fixing Delivery Delay Jam2
Causes;Face-down Tray Media Full Sensor PS7
Remedy;
Code;0184
Description;Pick Up Delay Jam1
Causes;Top Sensor PS215
Remedy;
Code;0185
Description;Pick Up Delay Jam2
Causes;PF Feed Sensor PS8008
Remedy;
Code;0186
Description;Pick Up Delay Jam3
Causes;PF Feed Sensor PS8008
Remedy;
Code;018C
Description;Fixing Delivery Delay Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;018D
Description;Fixing Delivery Delay Jam2
Causes;Face-down Tray Media Full Sensor PS7
Remedy;
Code;01C4
Description;Pick Up Delay Jam1
Causes;Top Sensor PS215
Remedy;
Code;01C5
Description;Pick Up Delay Jam2
Causes;PF Feed Sensor PS8008
Remedy;
Code;01C6
Description;Pick Up Delay Jam3
Causes;PF Feed Sensor PS8008
Remedy;
Code;01CC
Description;Fixing Delivery Delay Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;01CD
Description;Fixing Delivery Delay Jam2
Causes;Face-down Tray Media Full Sensor PS7
Remedy;
Code;0208
Description;Pick Up Stationary Jam1
Causes;Top Sensor PS215
Remedy;
Code;0210
Description;Fixing Delivery Stationary Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;021C
Description;Fixing Paper Wrapping Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;0224
Description;Duplex Re-Pickup Jam1
Causes;Duplex Feede Sensor PS502
Remedy;
Code;0248
Description;Pick Up Stationary Jam1
Causes;Top Sensor/Media Width Sensor /Fixing Delivery Sensor PS215/PS225/ PS2,PS3
Remedy;
Code;0250
Description;Fixing Delivery Stationary Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;025C
Description;Fixing Paper Wrapping Jam1
Causes;Fixing Delivery Sensor PS2,PS3
Remedy;
Code;0264
