Code;E000-0001
Description;"Fixing Assembly low temperature error
 The detected temperature of the Fixing Main Thermistor (THM1) failed to reach the specified temperature at the fixing start control."
Remedy;"1. Perform the following to clear the error: COPIER > FUNCTION > CLEAR > ERR in the Service Mode; then, turn the power switch to OFF and then ON.
 2. Check the connection of the Fixing Assembly. (Connection error of the Drawer, connector disconnection, open circuit)
 3. Check the connection between the AC Driver PCB (PCB4) and Fixing Assembly.
 4. Replace the Fixing Assembly.
 5. Replace the AC Driver PCB (PCB4).
 6. Replace the DC Controller PCB (PCB1)."
Code;E001-0000
Description;"Fixing Assembly high temperature error
 The Fixing Main Thermistor (THM1) detected 250 degrees C or higher for 200msec or longer on end."
Remedy;"1. Perform the following to clear the error: COPIER > FUNCTION > CLEAR > ERR in the Service Mode; then, turn the power switch to OFF and then ON.
 2. Check the connection of the Fixing Assembly. (Connection error of the Drawer, connector disconnection, open circuit)
 3. Check the connection between the AC Driver PCB (PCB4) and Fixing Assembly.
 4. Replace the Fixing Assembly.
 5. Replace the AC Driver PCB (PCB4).
 6. Replace the DC Controller PCB (PCB1)."
Code;E001-0001
Description;"Fixing Assembly high temperature error (hardware detection)
 The hardware circuit detected overheating of the Fixing Main Thermistor (THM1) or Fixing Sub Thermistor (THM2) for 30msec or longer on end."
Remedy;"1. Perform the following to clear the error: COPIER > FUNCTION > CLEAR > ERR in the Service Mode; then, turn the power switch to OFF and then ON.
 2. Check the connection of the Fixing Assembly. (Connection error of the Drawer, connector disconnection, open circuit)
 3. Check the connection between the AC Driver PCB (PCB4) and Fixing Assembly.
 4. Replace the Fixing Assembly.
 5. Replace the AC Driver PCB (PCB4).
 6. Replace the DC Controller PCB (PCB1)."
Code;E001-0002
Description;"Fixing Assembly high temperature error
 The Fixing Sub Thermistor (THM2) detected 295 degrees C or higher for 200msec or longer on end."
Remedy;"1. Perform the following to clear the error: COPIER > FUNCTION > CLEAR > ERR in the Service Mode; then, turn the power switch to OFF and then ON.
 2. Check the connection of the Fixing Assembly. (Connection error of the Drawer, connector disconnection, open circuit)
 3. Check the connection between the AC Driver PCB (PCB4) and Fixing Assembly.
 4. Replace the Fixing Assembly.
 5. Replace the AC Driver PCB (PCB4).
 6. Replace the DC Controller PCB (PCB1)."
Code;E002-0000
