Code;E000-0000
Description;"The heater fails to heat. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 After power-on, the reading of the main thermistor does not increase to 70 deg C or higher within 20 sec."
Remedy;- Replace the main/shutter thermistor. - Replace the DC controller PCB.
Code;E000-0010
Description;"The heater fails to heat. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The power has been turned off and then on without resetting the error."
Remedy;- Reset the error. (COPIER>FUNCTION>CLEAR>ERR)
Code;E001-0001
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 There is an error or an open circuit in the main thermistor, shutter thermistor, or sub thermistor."
Remedy;- Check the connector of each thermistor for any fault in connection and wiring. - Replace the thermistor in question. - Replace the DC controller PCB.
Code;E001-0002
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The reading of the main thermistor, shutter thermistor, or sub thermistor is 230 deg C or higher for 2 sec."
Remedy;- Replace the thermistor in question. - Replace the DC controller PCB.
Code;E001-0003
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The reading is not 150 deg C or higher or 210 deg C or lower within 30 sec."
Remedy;-Cheak the connecting of the main/ sub/ shutter thermistors. -Check the mounting of the main/ sub/ shutter thermistors. -Exchange the main/ sub/ shutter thermistors. -Exchange the DC controller PCB.
Code;E001-0010
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The power has been turned off and then back on without resetting the error."
Remedy;- Reset the error. (COPIER>FUNCTION>CLEAR>ERR)
Code;E002-0000
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The reading of the main thermistor is not 100 deg C 12 sec after it has exceeded 70 deg C."
Remedy;- Check the connector of the main/shutter thermistor for any fault in connection and wiring. - Check the main/shutter thermistor for mounting condition. - Replace the main/shutter thermistor. - Replace the fixing heater unit. - Replace the DC controller PCB.
Code;E002-0001
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The reading of the main thermistor is not 150 deg C 15 sec after it has exceeded 100 deg C."
Remedy;- Check the connector of the main/shutter thermistor for any fault in connection and wiring. - Check the main/shutter thermistor for mounting condition. - Replace the main/shutter thermistor. - Replace the fixing heater unit. - Replace the DC controller PCB.
Code;E002-0010
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The power has been turned off and then back on without resetting the error"
Remedy;- Reset the error. (COPIER>FUNCTION>CLEAR>ERR)
Code;E003-0000
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The reading of the main thermistor is lower than 70 deg C for 2 sec or more after it has exceeded 100 deg C."
Remedy;connection and wiring. - Check the main/shutter thermistor for mounting condition. - Replace the main/shutter thermistor. - Replace the fixing heater unit. - Replace the DC controller PCB.
Code;E003-0010
Description;"There is an abnormal rise in temperature. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The power has been turned off and then back on without resetting the error."
Remedy;- Reset the error. (COPIER>FUNCTION>CLEAR>ERR)
Code;E004-0010
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The power has been turned off and then back on without resetting the error."
Remedy;- Reset the error. (COPIER>FUNCTION>CLEAR>ERR)
Code;E004-0101
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 There is a mismatch between the input voltage and the IH power supply ID."
Remedy;Replace the fixing heater power supply with one designed for the country of installation (voltage).
Code;E004-0102
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The IH current is faulty. (current leakage)"
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0103
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The IH current is faulty. (no current)"
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0104
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 There is an IH over-current.PCB."
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0105
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The IH input voltage is too high."
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0106
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 The IH input voltage is too low."
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0201
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 At power-on (or, when IH is at reset), the IH control mechanism is not in an initial state."
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0202
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 At IH start-up, the IH control enable flag is not set within 1 sec after the start flag is set."
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0203
Description;"The IH power supply is faulty/the IH control mechanism is faulty. After correcting the fault, be sure to reset the error. (COPIER>FUNCTION>CLEAR>ERR)
 With IH at rest, the IH control flag is not released."
Remedy;- Check the connector for any fault in connection. - Replace the fixing heater power supply. - Replace the DC controller PCB.
Code;E004-0204
