Code;00,010,015
Display;SERVICE CALL 00,010,015: INK SURFACE SENSOR (K) OVERFLOW
Description;Surface of a liquid sensor defective or I/C valve solenoid defective it is (on condition).
Remedy;• I/C valve solenoid exchange • C362DRV board exchange • Surface of a liquid sensor exchanger
Code;00,010,016
Display;SERVICE CALL 00,010,016: INK SURFACE SENSOR (C) OVERFLOW
Description;Surface of a liquid sensor defective or I/C valve solenoid defective it is (on condition).
Remedy;• I/C valve solenoid exchange • C362DRV board exchange • Surface of a liquid sensor exchanger
Code;00,010,017
Display;SERVICE CALL 00,010,017: INK SURFACE SENSOR (M) OVERFLOW
Description;Surface of a liquid sensor defective or I/C valve solenoid defective it is (on condition).
Remedy;• I/C valve solenoid exchange • C362DRV board exchange • Surface of a liquid sensor exchanger
Code;00,010,018
Display;SERVICE CALL 00,010,018: INK SURFACE SENSOR (LC) OVERFLOW
Description;Surface of a liquid sensor defective or I/C valve solenoid defective it is (on condition).
Remedy;• I/C valve solenoid exchange • C362DRV board exchange • Surface of a liquid sensor exchanger
Code;00,010,019
Display;SERVICE CALL 00,010,019: INK SURFACE SENSOR (LM) OVERFLOW
Description;Surface of a liquid sensor defective or I/C valve solenoid defective it is (on condition).
Remedy;• I/C valve solenoid exchange • C362DRV board exchange • Surface of a liquid sensor exchanger
Code;00000100
Display;SERVICE CALL 00000100:Waste ink tank full
Description;The waste ink pads are completely full, causing a fatal error. The printer stops printing.
Remedy;"It is similar as ""Maintenance call 0100""."
Code;00000101
Display;SERVICE CALL 00000101: CR motor life (Even Ink tube life)
Description;The carriage drive system reached the life.
Remedy;"The following confirmation and also part exchange and CR motor initialization • Whether there is not ink leakage from the ink supply tube and also coupling department, is confirmed. • It confirms whether there are not dirt and abrasion in the slowing-down gear that was attached to the CR timing belt, PF roller axis. • The CR timing belt tension confirms whether or not it is normal. • Exchange the CR motor and ink tube. After the above part are exchanged, ""CR motor Initialization"" of maintenance mode 2 is run."
Code;00000102
Display;SERVICE CALL 00000102 :Waste ink box on the right side full
Description;It is ’00,000,100’ and time in the detailed that displayed it to the LCD panel and be not fatal error.
Remedy;"Not necessary (""Waste ink Initialization"" of maintenance mode 2 is run.)"
Code;00000103
Display;SERVICE CALL 00000103 : Waste ink box on the left side full
Description;It is ’00,000,100’ and time in the detailed that displayed it to the LCD panel and be not fatal error.
Remedy;"Not necessary (""Waste ink Initialization"" of maintenance mode 2 is run.)"
Code;00010000
Display;SERVICE CALL 00010000: PF ENCODER CHECK ERROR
Description;PF motor encoder check error The PF motor makes small revolutions clockwise and counter-clockwise. When it turns, the printer checks the rotary encoder (inside the motor) output signals to make sure the motor is turning at the correct speed/distance. If the encoder sends an incorrect signal, an error occurs.
