Code;1101
Description;"Life end of the CR MOTOR
 The number of carriage movement cycles reached the specified upper limit."
Remedy;Replace the CR MOTOR , perform the necessary adjustments and clear the counter using the Service Program .
Code;1125
Description;"Carriage home position detection error
 The printer cannot detect the carriage home position."
Remedy;Check whether the CR HP SENSOR is properly connected. Check whether the CR HP SENSOR is correctly installed. Replace the CR HP SENSOR . Check whether the carriage lock properly functions .
Code;1133
Description;"CR MOTOR in position time-out error
 The CR MOTOR cannot be driven normally."
Remedy;Clean the CR ENC SCALE. Replace the CR MOTOR .
Code;1135
Description;"CR ENC ASSY check error
 The CR ENC ASSY signals have a defect."
Remedy;Check whether the CR ENC ASSY is properly connected. Check whether the CR MOTOR is properly connected. Replace the CR ENC ASSY . Replace the CR MOTOR .
Code;1136
Description;"CR MOTOR step-out error
 The CR MOTOR is out of step."
Remedy;Clean the CR ENC SCALE. Check whether the CR HP SENSOR is properly connected. Check whether the CR HP SENSOR is correctly installed. Replace the CR HP SENSOR .
Code;1137
Description;"CR servo parameter error
 The carriage unit is overloaded abnormally."
Remedy;Check whether any foreign matter is obstructing the carriage movement. If any obstruction is found, remove it. Replace the CR MOTOR .
Code;1223
Description;"PF ENCODER ASSY check error
 The PF ENCODER ASSY signals have a defect."
Remedy;Check whether the PF ENCODER ASSY is properly connected. Check whether the PF MOTOR is properly connected. Replace the PF MOTOR .
Code;1225
Description;"PF MOTOR in position time-out error
 The PF MOTOR cannot be driven normally."
Remedy;Replace the PF MOTOR .
Code;1227
Description;"PF MOTOR step-out error
 The PF MOTOR is out of step."
Remedy;Replace the PF MOTOR .
Code;1228
Description;"PF servo parameter error
 The PF MOTOR is overloaded abnormally."
Remedy;Check whether any foreign matter is obstructing the PF motor operation. If any obstruction is found, remove it. Replace the PF MOTOR .
Code;131B
Description;"Head driver (transmission gate) overheat error
 The temperature of the head driver rises, and reaches the specified level."
Remedy;If the PRINT HEAD is operating without ink charged in it, carry out the ink charge sequence. Check whether the Head FFC is properly connected. If not (slant connection or the like), correct it. Replace the PRINT HEAD(s) .
Code;1700
Description;"Print position error
 The correct print position cannot be detected."
