Code;01H
Description;CR PID excess load error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • CR Motor failure • Carriage overload error (paper jam/foreign object) • Cable disconnection
Code;01H
Description;ADF PID excess speed error (ADF)
Causes;• ADF Encoder failure (contaminated/detached scale, Encoder Board failure) • Motor driver failure (Main Board failure)
Code;02H
Description;CR PID excess speed error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • Motor driver failure (Main Board failure) • Tooth skip of the CR Timing Belt • Improper tension of the CR Timing Belt
Code;02H
Description;ADF PID reverse error (ADF)
Causes;• ADF Encoder failure (contaminated/detached scale, Encoder Board failure) • Paper jam
Code;03H
Description;CR PID reverse error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • Tooth skip of the CR Timing Belt • Improper tension of the CR Timing Belt • Paper jam
Code;03H
Description;ADF PID lock error (ADF)
Causes;• ADF Encoder failure (contaminated/detached scale, Encoder Board failure) • ADF Motor failure • ADF drive mechanism overload (paper jam/foreign object) • Cable disconnection
Code;04H
Description;CR PID lock error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • CR Motor failure • Carriage overload error (paper jam/foreign object) • Cable disconnection
Code;05H
Description;CR PID speed degradation error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • Motor driver failure (Main Board failure) • Tooth skip of the CR Timing Belt • Improper tension of the CR Timing Belt • Paper jam
Code;05H
Description;ADF PID excess load error (ADF)
Causes;• ADF Encoder failure (contaminated/detached scale, Encoder Board failure) • ADF Motor failure • ADF drive mechanism overload (paper jam/foreign object) • Cable disconnection
Code;06H
Description;ADF PID driving time error (ADF)
Causes;• Main Board failure
Code;08H
Description;CR load position reverse error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • Tooth skip of the CR Timing Belt • Improper tension of the CR Timing Belt • Paper jam
Code;09H
Description;CR load position excess speed error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • Motor driver failure (Main Board failure) • Tooth skip of the CR Timing Belt • Improper tension of the CR Timing Belt
Code;0AH
Description;CR load position excess load error
Causes;• CR Encoder failure (contaminated/detached scale, Encoder Board failure) • CR Motor failure • Carriage overload error (paper jam/foreign object) • Cable disconnection
Code;10H
Description;Scanner HP detection error (Scanner)
Causes;• CIS Unit failure • Scanner Housing failure • Main Board failure
Code;11H
Description;ASF PID excess load error
Causes;• ASF Encoder failure (contaminated/detached scale, Encoder Board failure) • ASF Motor failure • 2nd Cassette Unit overload error (paper jam/foreign object/inappropriate installation of Pickup Assy 2nd) • Cable disconnection
Code;12H
Description;ASF PID excess speed error
Causes;• ASF Encoder failure (contaminated/detached scale, Encoder Board failure) • Motor driver failure (Main Board failure)
Code;13H
Description;ASF PID reverse error
Causes;• ASF Encoder failure (contaminated/detached scale, Encoder Board failure) • Paper jam
Code;14H
Description;ASF PID lock error
Causes;• ASF Encoder failure (contaminated/detached scale, Encoder Board failure) • ASF Motor failure • 2nd Cassette Unit overload error (paper jam/foreign object/inappropriate installation of Pickup Assy 2nd) • Cable disconnection
Code;18H
Description;ASF load position reverse error
Causes;• ASF Encoder failure (contaminated/detached scale, Encoder Board failure) • Paper jam
Code;19H
Description;ASF load position excess speed error
Causes;• ASF Encoder failure (contaminated/detached scale, Encoder Board failure) • Motor driver failure (Main Board failure)
Code;1AH
Description;ASF load position excess load error
Causes;• ASF Encoder failure (contaminated/detached scale, Encoder Board failure) • ASF Motor failure • 2nd Cassette Unit overload error (paper jam/foreign object/inappropriate installation of Pickup Assy 2nd) • Cable disconnection
Code;20H
Description;Scanner LED light error (Scanner)
Causes;• CIS Unit failure • Main Board failure
Code;30H
Description;ADF option error (ADF)
Causes;• Main Board failure
Code;36H
Description;ADF paper jam error (ADF)
Causes;• Paper jam
Code;40H
Description;Transistor temperature error (Printer)
Causes;• Main Board failure
Code;41H
Description;X-Hot detect error (pre printing) (Printer)
Causes;• Printhead failure • Main Board failure
Code;42H
Description;X-Hot detect error (after flushing) (Printer)
Causes;• Printhead failure • Main Board failure
Code;43H
Description;Head temperature error (Printer)
Causes;• Printhead failure • Main Board failure
Code;50H
Description;Home position error (Printer)
Causes;• Paper jam • Foreign object • Deformation of the Main Frame
Code;51H
Description;Deadlock avoidance error (Printer)
Causes;• Paper jam • Foreign object • Deformation of the Main Frame
Code;52H
Description;Impossible contact detection error (Printer)
Causes;• Paper jam • Foreign object • Deformation of the Main Frame
Code;57H
Description;Valve initialization contact point detection error (Printer)
Causes;• Carriage overload error (paper jam/foreign object)
Code;58H
Description;I/S clutch operation contact point detection error (Printer)
Causes;• Carriage overload error (paper jam/foreign object)
Code;60H
Description;PW detector error (Printer)
Causes;• PW Sensor failure • Main Board failure
Code;61H
Description;PW detector confusion error (Printer)
Causes;• PW Sensor failure • Main Board failure
Code;62H
Description;Hot-plug disconnection paper jam fatal error (Printer)
Causes;• 2nd Cassette Unit has been removed during feeding (when the ASF Motor is operating). • Contact failure of the connector which connects 2nd Cassette Unit and the printer
Code;80H
Description;Circuit error (include blowout of a fuse) (Printer)
Causes;• Main Board failure
Code;B0H ... CFH
Description;Ink device error (Printer)
Causes;• Ink Cartridge failure • CSIC terminal failure • CSIC Board failure • Main Board failure • CSIC FFC connection failure
Code;D1H
Description;CR (PID) driving time error (Printer)
Causes;• Main Board failure
Code;D2H
Description;CR (load position) driving time error (Printer)
Causes;• Main Board failure
Code;D3H
Description;PF (PID) driving time error (Printer)
Causes;• Main Board failure
Code;D4H
Description;PF (BS) driving time error (Printer)
Causes;• Main Board failure
Code;D5H
Description;ASF (PID) driving time error (Printer)
Causes;• Main Board failure
