Code;10.00.YY
Display;10.00.YY Supply memory error
Description;The product is unable to read the cartridge data. The print cartridge is present but defective. • 10.00.00 Supply memory error (black print cartridge) • 10.00.01 Supply memory error (cyan print cartridge) • 10.00.02 Supply memory error (magenta print cartridge) • 10.00.03 Supply memory error (yellow print cartridge) • 10.10.00 Supply memory error (e-label for the black print cartridge) • 10.10.01 Supply memory error (e-label for the cyan print cartridge) • 10.10.02 Supply memory error (e-label for the magenta print cartridge) • 10.10.03 Supply memory error (e-label for the yellow print cartridge) • 10.10.05 Supply memory error (e-label for the black image drum) • 10.10.06 Supply memory error (e-label for the cyan image drum) • 10.10.07 Supply memory error (e-label for the magenta image drum) • 10.10.08 Supply memory error (e-label for the yellow image drum)
Remedy;1. Open the front door and remove the print cartridge, and then reinsert it. 2. Close the front door. If the message reappears, turn the product off and then on. 3. If the error reappears, replace the print cartridge.
Code;11.XX
Display;11.XX Internal clock error
Description;The product`s real time clock experienced an error.
Remedy;Whenever the product is turned off and then turned on again, set the time and date at the control panel. See the user guide for more information. If the error persists, you might need to replace the formatter.
Code;13.01
Display;13.01 Jam In Tray 3
Description;The leading edge of the paper fed from Tray 3 stopped before reaching the media feed sensor (SR4).
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.04
Display;13.04 Jams inside right door
Description;The paper stopped at the registration sensor (A).
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.05
Display;13.05 Fuser area jam
Description;The leading edge of the paper stopped between registration and the input to the fuser. The paper did not reach the loop sensors (SR14, SR15)
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.06
Display;13.06 Fuser area jam
Description;The paper stopped at the fuser-delivery sensor (D).
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.12
Display;13.12 Jam inside right door
Description;The duplex refeed paper stopped before it reached duplex re-pickup sensor (SR22).
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.13
Display;13.13 Jam inside right door
Description;The duplex refeed paper stopped between the duplex re-pickup sensor (SR22) and registration.
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.1C
Display;13.1C Fuser Wrap Jam
Description;The paper is stopped in the fuser.
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.20
Display;13.20 Jams inside right door
Description;The paper is stopped at either the registration sensor (SR8), the loop sensors (SR14,SR15) or the fuser-delivery sensor (SR5).
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.21
Display;13.21 Jams inside right door
Description;Either the front or right side door was opened while paper was in the path.
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.2E
Display;13.2E Paper Late Jam Near Fuser at Sensors F - J
Description;The paper stopped between the fuser-output sensor (F) and the output-bin-full sensor (J).
Remedy;Follow the onscreen instructions to locate and remove the paper or obstruction.
Code;13.30.00
