Code;-
Display;Front door open
Description;CLOSE FRONT DOOR message appears although the door is closed.
Remedy;1. Reconnect the connector (J708) of the 24V interlock switch and the connector (J121X) on the DC controller PCA. 2. Check the sensor flag of the front door. If it is damaged, replace the front door sensor unit. Close the door.
Code;-
Display;Right door open
Description;CLOSE RIGHT DOOR message appears although the door is closed.
Remedy;1. Reconnect the connector (J708) of the 24V interlock switch and the connector (J121X) on the DC controller PCA. 2. Check the sensor flag of the right door. If it is damaged, replace the right door sensor unit. Close the door.
Code;-
Display;Unexpected size in tray # Load <size> press [OK]
Description;SIZE MISMATCH message appears although the media is loaded on the configured pickup source with correct size
Remedy;1. Run the switch test in the sensor monitor mode to verify that the corresponding media width switch and media end width switch are functioning correctly. 2. Reconnect the corresponding connector of the switch: • Printer cassette: Intermediate connector (J742) and the connector (J151) on the DC controller PCA. • PF cassette: Connector (J2007) on the PF controller PCA.
Code;10.10.XX
Display;10.10.XX Supply error
Description;• 10.1000 = black supply memory is missing • 10.1001 = cyan supply memory is missing • 10.1002 = magenta supply memory is missing • 10.1003 = yellow supply memory is missing
Remedy;Check the e-label. If it is broken or damaged, replace the cartridge. Verify that the cartridge is installed in the correct location. Remove and reinstall the cartridge and then power-cycle the product. If the error is with a color cartridge, try swapping it with a different color cartridge in the tray. If the same message appears, then there is an engine problem. If a different 10.10.XX message appears, replace the cartridge.
Code;10.9531
Display;10.9531 Error
Description;The toner collection unit is full or missing.
Remedy;Replace the toner collection unit.
Code;10.XXXX
Display;10.XXXX Supply error
Description;The supply memory for one of the print cartridges cannot be read or is missing. • 10.0000 = black supply memory error • 10.0001 = cyan supply memory error • 10.0002 = magenta supply memory error • 10.0003 = yellow supply memory error
Remedy;Reinstall the print cartridge. Turn the product off and then on. If the problem is not solved, replace the cartridge.
Code;50.1
Display;50.1 Fuser Error
Description;Abnormally low fuser temperature.
Remedy;1. Remove the fuser and check for any residual media in the fuser. Remove any residual media. 2. Reinstall the fuser. Check the connector (J704) between the fuser and the product. If it is damaged, replace the fuser drive unit or fuser. 3. Reconnect the connector (J131A) on the DC controller PCA and the connectors (J109, J110) on the power line between the low-voltage power supply unit and fuser. 4. Replace the fuser.
Code;50.2
Display;50.2 Fuser Error
Description;Fuser warm-up failure.
Remedy;1. Reinstall the fuser. Check the connector (J704) between the fuser and the product. If it is damaged, replace the fuser drive unit or the fuser. 2. Reconnect the connector (J131A) on the DC controller PCA and the connectors (J109, J110) on the power line between the low-voltage power supply unit and fuser. 3. Replace the fuser.
Code;50.3
Display;50.3 Fuser Error
Description;Abnormally high fuser temperature.
Remedy;1. Reinstall the fuser. Check the connector (J704) between the fuser and the product. If it is damaged, replace the fuser drive unit or fuser. 2. Reconnect the connector (J131A) on the DC controller PCA. 3. Replace the fuser.
Code;50.4
Display;50.4 Fuser Error
Description;Fuser drive circuit is defective.
Remedy;1. Check the power source at the product location. NOTE: If the product does not meet the power requirement of 43 to 57Hz frequency, the fuser temperature control does not work correctly and this causes malfunction. 2. Reconnect the connector (J21) on the DC controller PCA. 3. Replace the low-voltage power supply unit.
Code;50.7
Display;50.7 Fuser Error
Description;The fuser is defective (pressure release mechanism abnormality).
