Code;01.0:YZ
Description;Communication with Engine PCA failed
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Remove the Formatter and reinsert it again. Ensure that it connects properly in the Engine PCA connector. • Replace the Engine PCA. • Replace the Formatter.
Code;01.1:YZ
Description;Error in the Engine PCA
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Replace the Engine PCA. 3. Replace the Formatter.
Code;01.2:YZ
Description;Failure communicating with an Ink Supply
Remedy;"1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Perform the Ink Delivery System diagnostic test. – If the test finds that the ink supply is defective, replace it. – If the test does not find any errors, remove all the ink supplies from the ISS and reboot the product. 3. Install the ink cartridges with the product booted in normal mode. Use the replacement option available from the Touch Control Panel and install the cartridges one by one. If an error appears after installing a supply, the last supply you installed is defective. Replace it. 4. Check that the cables between the Left Ink Supply Station and the Engine PCA are not damaged and are correctly connected. In case of any damage replace the cables; see Connecting the Data Harness and ISS Harness Cable 5. Replace the Left Ink Supply Station. See Left Ink Supply Station. 6. Replace the Engine PCA. See EE Box."
Code;02.1:YZ
Description;Problem with the Carriage PCA
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Check that the Trailing Cable is not damaged. Check that the Trailing Cable is correctly connected between the Engine PCA and Carriage PCA. 3. Replace the Carriage PCA. See Carriage PCA. 4. Replace the Trailing Cable and Carriage PCA Covers. 5. Replace the Engine PCA. See EE Box.
Code;03.0:10
Description;Battery of Real Time Clock ran down
Remedy;Replace the battery.
Code;03:YZ
Description;Problem with Power Supply Unit
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Replace the Power Supply Unit (PSU). See Power Supply Unit
Code;06:YZ
Description;Failure reading/writing NVM in Hard disk
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Replace the Hard Disk.
Code;07.01:11
Description;DelSol3 ASIC not found or not responding
Remedy;1. Check the condition and connections of the Interconnect data and power cable, replace if necessary
Code;07.02:11
Description;USB Cable not connected
Remedy;1. Check the condition and connections of the USB cable, replace if necessary.
Code;07.03:10
Description;USB Hub not found
Remedy;1. Make sure Interconnect board connector labeled `INPUT HUB` is properly connected. 2. Make sure Wukong board connector labeled JUSB2 is properly connected to the cable coming from Interconnect board. 3. If failure continues, troubleshoot the error by changing the USB cable from Engine PCA to Interconnect, if the error follows to the changed part the USB cable is faulty, if it does not, the part is faulty. 4. Replace the Interconnect PCA, see Interconnect PCA. 5. Replace the Formatter Board see Formatter 6. Replace the Engine PCA
Code;07.03:11
Description;USB Scanner connected to incorrect port
Remedy;Ensure that the USB cable from the Scanner to the Interconnect board is connected at the connection labeled `SCANNER` and not `HOST CON`
Code;07:10
Description;Interconnect Board or Power cable has failed
Remedy;1. Check the condition and connections of the Power Cable, replace if necessary. 2. Replace the Interconnect Board
Code;08:01:11
Description;Touch Control Panel USB Cable fails
Remedy;1. Check the condition and connections of the Touch Control Panel USB cable, replace if necessary. 2. If the error continues, replace the Touch Control Panel Touch Control Panel
Code;08:04
Description;Touch Control Panel communication to the product functions at the initialization, but during normal working the communication is lost.
Remedy;1. Check the event log at the EWS support pages to see if there is another SE (for instance 07:10) and troubleshoot the problem more accurately.Appendix C: Obtaining the product log and the diagnostics package 2. Turn off the product and turn on again, and check to see if the error remains. 3. Upgrade the firmware For more information, see Appendix B: Emergency firmware upgrade with USB flash drive 4. Replace the HDD, see Hard Disk Drive 5. Escalate the issue.
Code;08:08
Description;A feature on the Touch Control Panel hangs or will not function (copy,scan etc)
Remedy;1. Turn off the product and turn on again, and check to see if the error remains. 2. Upgrade the firmware For more information, see Appendix B: Emergency firmware upgrade with USB flash drive 3. Escalate the issue.
Code;08:11
Description;No communication between the product and the Touch Control Panel
Remedy;1. Check the event log at the EWS support pages to see if there is another SE (for instance 07:10) and troubleshoot the problem more accurately.Appendix C: Obtaining the product log and the diagnostics package 2. Check the LED’s on the formatter to see if there is another issue and troubleshoot it more accurately. 3. Turn off the product and turn on again, and check to see if the error remains. 4. Upgrade the firmware 5. Check the condition of the USB cable, check it is not damaged or incorrectly connected. Reconnect USB cable (from Engine PCA to the Interconnect PCA or from Interconnect PCA to the Touch Control Panel 6. Replace the USB cable 7. Replace the Interconnect PCA, see Interconnect PCA. 8. Replace the Engine PCA see EE Box 9. If the error continues, replace the Touch Control Panel Touch Control Panel
Code;09.01:10
Description;Scanner Motor is failing
Remedy;1. Perform the Scanner motor diagnostics. 2. Replace the Scanner Motor Scanner Motor Assembly (MFP only)
Code;09.02:10
Description;CIS A Element is failing
Remedy;Replace CIS A Element CIS Element (MFP only)
Code;09.03:10
Description;CIS B Element is failing
Remedy;Replace CIS B Element CIS Element (MFP only)
Code;09.04:10
Description;CIS C Element is failing
Remedy;Replace CIS C Element CIS Element (MFP only)
Code;09.05:10
Description;CIS D Element is failing
Remedy;Replace CIS D Element CIS Element (MFP only)
Code;09.06:10
Description;CIS E Element is failing
Remedy;Replace CIS E Element CIS Element (MFP only)
Code;09.08:11
Description;Power cable of the Scanner is failing
Remedy;Check the condition and connections of the Scanner Power cable, if necessary replace the cable.
Code;09.09:11
Description;USB cable of the Scanner is failing
Remedy;Check the condition and connections of the Scanner USB cable, if necessary replace the cable.
Code;09.10:04
Description;Scanner is in SAFE MODE
Remedy;Restart the product, if the problem persists replace the SCU. See Scanner Controller Board (MFP only).
Code;09.10:10
Description;Scanner SCU is failing
Remedy;Replace the Scanner SCU.See Scanner Controller Board (MFP only).
Code;09:01
Description;Media jam in Scanner
Remedy;1. Open the CIS to solve the media jam and close it again. 2. If no paper is seen, run Scanner Motor Diagnostic, refer to the Users Guide for further details.
Code;09:02
Description;Scanner not calibrated
Remedy;Calibrate the Scanner
Code;09:03
Description;File I/O Error
Remedy;Reboot Product
Code;09:04
Description;Contex Library failed to load
Remedy;1. Reboot the Product 2. Upgrade the firmware For more information
Code;11:YZ
Description;Trailing Cable does not seem to be detected
Remedy;"1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Check that the Trailing Cable is not damaged; replace it if necessary. Check that the Trailing Cable is correctly connected between the Engine PCA and Carriage PCA. 3. Replace the Carriage PCA. See Carriage PCA. 4. Replace the Engine PCA. See EE Box."
Code;21.1:YZ
Description;Failure moving the Primer Motor of the Service Station
Remedy;"1. Remove the Right Cover and make sure the cables from the Engine PCA to the Service Station are connected and are not damaged. In case of any damage replace the affected cable; see Engine Cables Kit 2. Perform the Primer Motor diagnostic test (listed under the service station diagnostic test) to troubleshoot the problem further. See Primer motor. 3. Replace the Service Station. See Service Station."
Code;21.2:YZ
Description;Failure testing the length of the Service Station path
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Check the Primer Tubes. Reconnect the power cord and power on the product. 2. Make sure that the Service Station path is clear. Remove any visible obstacles (screws, plastic parts, etc.) restricting the movement of the Service Station. 3. If the carriage has stopped over the service station, on the right side of the product, check that the cutter is not activated. It may happen that the cutter is blocking the carriage over the service station, preventing the service station from performing the movement correctly. The cutter is on the left side of the carriage. 4. Perform the Service Station diagnostic test to troubleshoot the problem further. See Service Station Test. 5. Replace the Service Station. See Service Station.
Code;21:YZ
Description;Failure moving Service Station
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Check the Primer Tubes. Reconnect the power cord and power on the product. 2. Make sure that the Service Station path is clear. Remove any visible obstacles (screws, plastic parts, etc.) restricting the movement of the Service Station. 3. If the carriage has stopped over the service station, on the right side of the product, check that the cutter is not activated. The cutter may be blocking the carriage over the service station, preventing the service station from performing the movement correctly. The cutter is on the left side of the carriage. 4. Perform the Service Station diagnostic test to troubleshoot the problem further. See Service Station Test. 5. Replace the Service Station. See Service Station.
Code;22.0:YZ
Description;Left Ink Supply Station error, module 0.
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Check that the cables between the Ink Supply Station and the Engine PCA are not damaged and are properly connected. In case of any damage replace the cable. 3. Perform the Ink Delivery System diagnostic test to troubleshoot the problem further. See Ink Delivery System (IDS) Test. 4. Replace the Left Ink Supply Station. See Left Ink Supply Station. 5. Replace the Engine PCA. See EE Box.
Code;22.1:YZ
Description;Left Ink Supply Station error, module 1
Remedy;1. Switch the power off from the back of the product and disconnect the power cord. Reconnect the power cord and power on the product. 2. Check that the cables between the Ink Supply Station and the Engine PCA are not damaged and are properly connected. In case of any damage replace the cable. NOTE: Check the Data Harness and ISS Harness Cable are connected in the right position onto the Engine PCA. These two connectors can be swapped by mistake causing a SE 22.1:10. Check the instructions in Connecting the Data Harness and ISS Harness Cable 3. Perform the Ink Delivery System diagnostic test to troubleshoot the problem further. See Ink Delivery System (IDS) Test. 4. Replace the Left Ink Supply Station. See Left Ink Supply Station. 5. Replace the Engine PCA. See Starwheel Assembly.
Code;24:YZ
Description;Ink Setup failure
