Code;-
Display;Comm. error
Description;The product experienced a communication error while attempting to send or receive a fax.
Remedy;Verify that the fax phone line is working correctly. Try sending or receiving the fax again. Slow down the fax speed. Turn off error correction mode.
Code;-
Display;Device error
Description;The product experienced an internal communication error.
Remedy;This is a warning message only. Job output might be affected.
Code;-
Display;Door open
Description;The cover above the print cartridge is open.
Remedy;Close the cover.
Code;-
Display;Engine comm. Error
Description;The product has experienced an internal hardware error.
Remedy;1. Turn off the power by using the power switch, and then wait at least 30 seconds. 2. If a surge protector is being used, remove it. Plug the product directly into the wall socket. 3. Turn on the power and wait for the product to initialize. If the error persists, check the FFCs, wire harnesses, and connectors between the formatter and the engine controller PCA.
Code;-
Display;Fax recv. error
Description;The product was unable to receive an incoming fax.
Remedy;Verify that the fax phone line is working correctly. Ask the person who sent the fax to send it again. Make sure that the connectors on the engine controller PCA and fax PCA are fully seated.
Code;-
Display;Fax Send error
Description;The product was unable to send the fax.
Remedy;Try sending the fax later, or confirm with the recipient that the receiving fax machine is ready.
Code;-
Display;Jam in <location>
Description;The product has detected a jam in the location indicated in the message.
Remedy;Clear the jam from the area indicated in the message, and then follow the control-panel instructions. Clearing some jams requires you to open the top cover and remove the print cartridge.
Code;-
Display;Load tray 1 PLAIN <SIZE>
Description;The product is performing a cleaning cycle.
Remedy;Load the tray with plain paper of the size indicated. Press the OK button to start the cleaning cycle.
Code;-
Display;Load tray <TYPE>, <SIZE>
Description;The tray is empty.
Remedy;Load the tray with the correct type and size of paper.
Code;-
Display;Manual duplex
Description;The product is processing a manual duplex job.
Remedy;To print the second side, place the pages face down in the tray with the top edge first.
Code;-
Display;Manual feed <SIZE>, <TYPE>
Description;The product is set for the manual feed mode.
Remedy;Load the tray with the correct size and type of paper, or press the OK button to use the paper that is in the tray.
Code;-
Display;Memory is low
Description;The product does not have enough memory to process the job.
Remedy;If the product is processing other jobs, send the job again after those jobs have finished. If the problem continues, turn off the power by using the power switch, and then wait at least 30 seconds. Turn on the power and wait for the product to initialize.
Code;-
Display;Misprint
Description;The product has experienced an internal hardware error.
Remedy;Press the OK button to continue. Job output might be affected.
Code;-
Display;No paper pickup
Description;The product has experienced an internal hardware error.
Remedy;Press the OK button to continue. Job output might be affected.
Code;-
Display;Page too complex
Description;The product could not print the current page because of its complexity.
Remedy;Press the OK button to clear the message. Allow the product to finish the job, or press the Cancel button to cancel the job
Code;-
Display;Printer jam clear paper path
Description;The product has detected a jam in the input tray.
Remedy;Clear the jam from the area indicated in the message, and then follow the control panel instructions.
Code;-
Display;Settings cleared
Description;The product has cleared job settings.
Remedy;Re-enter any appropriate job settings.
Code;22
Display;22 Scanner Error
Description;The product has experienced an internal hardware error.
Remedy;1. Check all of the FFC connections. 2. Verify that the CIS scanner-carriage can move along the track in the scanner assembly, and that the scanner motor can rotate. 3. If the error persists, replace the FFC cable (cable-scan model). 4. If the error persists, replace the scanner motor or the CIS scanner-carriage.
Code;50.X
Display;50.X Fuser Error Turn off then on
Description;The product has experienced an internal hardware error.
Remedy;1. Turn off the power by using the power switch, and then wait at least 30 seconds. 2. If a surge protector is being used, remove it. Plug the product directly into the wall socket. 3. Turn on the power and wait for the product to initialize.
Code;52
Display;52 Scanner Error Turn off then on
Description;The product has experienced a scanner error.
Remedy;Turn off the power by using the power switch, wait at least 30 seconds, and then turn on the power and wait for the product to initialize. If a surge protector is being used, remove it. Plug the product directly into the wall socket. Use the power switch to turn the product on. If the error persists, replace the scanner assembly.
