Code;-
Display;<Binname> Full Remove all paper from bin
Description;The specified output bin is full.
Remedy;Empty the bin to continue printing.
Code;-
Display;<Tray X> lifting
Description;The product is in the process of lifting paper in the indicated tray. X = 2 Tray 2 X = 3 Tray 3
Remedy;No action necessary.
Code;-
Display;[File System] device failure To clear, press OK
Description;The specified device has failed.
Remedy;Press the OK button to clear the error.
Code;-
Display;[File System] file operation failed To clear, press OK
Description;A PJL file system command attempted to perform an illogical operation.
Remedy;Press the OK button to clear the error.
Code;-
Display;[File System] file system is full To clear, press OK
Description;A PJL file system command could not store something on the file system because the file system was full.
Remedy;Press the OK button to clear the error.
Code;-
Display;[File System] is not initialized
Description;This file-storage component must be initialized before use.
Remedy;Use the HP Embedded Web Server or HP Web Jetadmin to initialize the file system.
Code;-
Display;[File System] is write protected
Description;The file system device is protected and no new files can be written to it.
Remedy;Press the OK button to clear the error.
Code;-
Display;Accept bad signature
Description;The product is performing a remote firmware upgrade, and the code signature is invalid.
Remedy;Download the correct firmware upgrade file for this product, and then reinstall the upgrade. See the product user guide for more information.
Code;-
Display;Bad optional tray connectioncted
Description;The optional tray is not connected, not connected correctly, or a connection is not working correctly.
Remedy;1. Turn the product off. 2. Remove and then reinstall the optional tray. 3. Reconnect connectors for the tray. 4. If the problem continues, replace the connector for the tray.
Code;-
Display;Calibration reset pending
Description;A calibration reset occurs when all jobs are processed.
Remedy;To begin the reset sooner, cancel all jobs by pressing the Stop button
Code;-
Display;Canceling
Description;The product is canceling the current job.
Remedy;No action is necessary.
Code;-
Display;Canceling... <jobname>
Description;The product is canceling the current job <jobname>.
Remedy;No action is necessary.
Code;-
Display;Checking engine
Description;The product is conducting an internal test.
Remedy;No action is necessary.
Code;-
Display;Checking paper path
Description;The product is checking for possible paper jams.
Remedy;No action is necessary.
Code;-
Display;Chosen personality not available To continue, press OK
Description;A print job requested a product language (personality) that is not available for this product. The job will not print and will be cleared from memory.
Remedy;Print the job by using a print driver for a different language, or add the requested language to the product (if possible). To see a list of available personalities, print a configuration page.
Code;-
Display;Cleaning do not grab paper
Description;The product is performing an automatic cleaning cycle. Printing will continue after the cleaning is complete.
Remedy;No action is necessary.
Code;-
Display;Cleaning...
Description;The product is performing an automatic cleaning cycle. Printing will continue after the cleaning is complete.
Remedy;No action is necessary.
Code;-
Display;Clearing event log
Description;This message is displayed while the event log is cleared. The product exits the menus when the event log has been cleared.
Remedy;No action is necessary.
Code;-
Display;Clearing paper path
Description;The product is attempting to eject jammed paper.
Remedy;Check progress at the bottom of the display.
Code;-
Display;Close front door
Description;The front door of the product is open.
Remedy;Close the door. Use the switch test in the manual sensor test to verify that the front-door switch is properly functioning. If the switch fails the test, replace the switch. Check the sensor flag on the front-door assembly. If it is damaged, replace the front-door assembly. If the product has been recently serviced, check the connector (j62) on the 24V interlock switch and the connectors (J61, J100, and J118) on the DC controller PCA.
Code;-
Display;Close lower right door
Description;The 1 x 500-sheet optional paper feeder right door is open.
Remedy;Open, and then close the door. Use the right-door switch (SW1) test in the Tray/Bin manual sensor test to verify that the switch is properly functioning. If the switch fails the test, replace the switch. Check the sensor flag on the right door assembly. If it is damaged, replace the lower right door assembly.
Code;-
Display;Close upper right door
Description;The message appears even though the 1 x 500-sheet optional paper feeder right door is closed.
Remedy;open, and then close the door. Check the connector (J62) on the 24V interlock switch (SW2) and the connectors (J61, J100, and J118) on the DC controller. Check the sensor flag on the upper right door assembly. If it is damaged, replace the upper right door assembly.
Code;-
Display;Creating cleaning page
Description;A cleaning page is being generated.
Remedy;No action is necessary.
Code;-
Display;Data received To print last page, press OK
Description;The product is waiting for the command to print the last page.
