Code;
Display;13.D1.FF
Description;Jam in Left Door This jam occurs when residual media is detected at the duplex switchback sensor (PS2002) or the duplex pre-registration sensor (PS2003) at power on.
Remedy;1. Open the left door and clear the jam in the indicated area. 2. Close the door to allow the product to attempt to clear the jam. 3. Replace the duplexer.
Code;10.00.00
Display;10.00.00 e-Label Memory Error
Description;The product is unable to read the cartridge data. This message indicates that the product cannot read or write to the e-label of the toner cartridge. This error can cause the supplies status feature to be disabled.
Remedy;1. Open the front door, lower the green handle, and then remove the toner cartridge. 2. Check the cartridge e-label. If it is damaged, replace the cartridge. 3. Reinsert the cartridge, push the release button, and then rotate the green handle to the locked position. 4. Close the front door. 5. If the message displays again, turn the product off then on. 6. If the error persists, replace the toner cartridge.
Code;10.00.10
Display;10.00.10 e-Label Missing Memory Error
Description;The product is unable to detect the e-label. This message indicates that the product has determined that the e-label is missing. This error can cause the supplies status feature to be disabled.
Remedy;1. Open the front door, lower the green handle, and then remove the toner cartridge. 2. Check the cartridge e-label. If it is damaged, replace the cartridge. 3. Reinsert the cartridge, push the release button, and then rotate the green handle to the locked position. 4. Close the front door. 5. If the message displays again, turn the product off then on. 6. If the error persists, replace the toner cartridge. 7. If the error persists, reconnect the connector (J304) on the DC controller PCA.
Code;10.00.15
Display;10.YY.15 Install <supply>
Description;"The indicated supply has been removed or installed incorrectly.
 Black toner cartridge"
Remedy;Replace or install the indicated supply.
Code;10.00.33
Display;10.XX.33 Used Supply In Use
Description;The toner cartridge is used. Black toner cartridge
Remedy;Using a cartridge that is near its end-of-life can cause this event code.
Code;10.00.34
Display;10.XX.34 Used Supply In Use
Description;The toner cartridge is used. Black toner cartridge
Remedy;Removing a cartridge from one product and then installing it in a different product (for testing functionality) will cause this event code.
Code;10.00.35
Display;10.YY.35 Incompatible <supply>
Description;The indicated supply is not compatible with this product. Black toner cartridge
Remedy;The fuser might be hot. Be careful when removing the fuser. Install a supply that is designed for this product.
Code;10.00.40
Display;10.XX.40 Genuine HP Supplies Installed
Description;A genuine HP toner cartridge has been installed. Black toner cartridge
Remedy;No action necessary.
Code;10.00.41
Display;10.XX.41 Unsupported Supply in Use
Description;"The installed toner cartridge is for a different product.
 Black toner cartridge"
Remedy;Remove the toner cartridge, and then install the correct cartridge for this product.
Code;10.00.50
Display;10.00.50 Cartridge seal roll up error
Description;The product encountered a toner cartridge roll up error.
Remedy;2. Turn the product off and then on. 3. Reconnect the connector (J305) on the DC controller PCA. 4. Replace the cartridge sensor assembly. 5. Replace the DC controller PCA.
Code;10.00.70
Display;10.XX.70 Printing past very low
Description;The product indicates when a supply level is very low. The actual remaining toner cartridge life might vary. Black toner cartridge
Remedy;If print quality is no longer acceptable, replace the toner cartridge.
Code;10.23.15
Display;10.YY.15 Install <supply>
Description;The indicated supply has been removed or installed incorrectly. Fuser kit
Remedy;Replace or install the indicated supply.
Code;10.23.35
Display;10.YY.35 Incompatible <supply>
Description;The indicated supply is not compatible with this product. Fuser kit
Remedy;The fuser might be hot. Be careful when removing the fuser. Install a supply that is designed for this product.
Code;10.23.50
Display;10.23.50
Description;The fuser kit life was reset above the order threshold.
Remedy;No action necessary.
Code;10.23.51
Display;10.23.51
Description;The fuser kit life was reset above the replace threshold.
Remedy;No action necessary.
Code;10.23.52
Display;10.23.52
Description;The fuser kit life was reset above the reset threshold.
Remedy;No action necessary.
Code;10.23.70
Display;10.23.70 Printing Past Very Low
Description;The product indicates when the fuser kit is very low. The actual remaining fuser kit life might vary. You do not need to replace the fuser kit at this time unless print quality is no longer acceptable. After an HP supply has reached the very low threshold, the HP premium protection warranty ends.
Remedy;If print quality is no longer acceptable, replace the fuser kit. See the parts chapter in the service manual for the fuser kit part number. Advise the customer that HP recommends that they have replacement supplies available to install when the print quality is no longer acceptable.
Code;10.32.00
Display;10.32.00 Unauthorized supply
Description;This error message displays when a supply (or supplies) has been inserted into the product and the product determines that HP is in the OEM field, but the supply (or supplies) does not pass the new authentication test. This error will only be shown if the product currently has all genuine supplies.
Remedy;Choose to continue past this error by touching OK.
Code;11.00.01
Display;11.00.01 Internal clock error
Description;This message indicates a problem with the formatter`s real time clock. The product real time clock has experienced an error. 01=dead clock 02=dead real time clock
Remedy;1. Whenever the product is turned off and then turned on again, set the time and date on the control panel. 2. If the error persists, you might need to replace the formatter.
Code;11.00.02
Display;11.00.01 Internal clock error
Description;This message indicates a problem with the formatter`s real time clock. The product real time clock has experienced an error. 01=dead clock 02=dead real time clock
Remedy;1. Whenever the product is turned off and then turned on again, set the time and date on the control panel. 2. If the error persists, you might need to replace the formatter.
Code;13.60.Az
Display;13.60.Az
Description;"Stacker Entrance Sensor Stay Jam . Jam in the top left door Finishers upper-feed-path-entry sensor (PI103) is remaining activated longer than expected, suggesting that paper has jammed at the sensor.
 The specific jam error code will be one of the following forms: • 13.60.A1 • 13.60.A2 • 13.60.A3"
Remedy;1. Remove any media in the upper paper path that might be activating sensor PI33.. 2. Verify that the sensor flag is not damaged, moves freely, and is correctly aligned with the sensor body. 3. Carefully clean the sensor body by gently blowing clean air across the sensor to remove dust and debris. 4. Verify that the wiring at the sensor is not damaged and that the connector J708 on the stacker controller PCA is fully seated
Code;13.60.Dz
Display;13.60.Dz
