Code;04H
Description;"Printer control board malfunction
 • Communications with the M/C expansion IO G/A (IC on the printer control board) are not properly carried out."
Remedy;1 Check the PRCB connector for proper connection and correct as necessary. 2 Change PRCB.
Code;05H
Description;"Flash ROM malfunction
 • Engine firmware upgrading has failed."
Remedy;1 Check the PRCB connector for proper connection and correct as necessary. 2 Change PRCB.
Code;08H
Description;"Main motor malfunction
 • The motor lock signal remains HIGH for a predetermined consecutive period of time while the main motor remains energized. • The motor lock signal remains LOW for a predetermined consecutive period of time while the main motor remains deenergized."
Remedy;1 Check the M1 connector for proper connection and correct as necessary. 2 Check M1 for proper drive coupling and correct as necessary. 3 Check the PRCB connector for proper connection and correct as necessary. 4 M1 operation check. PRCB PJ8PRCB-5 (REM) PRCB PJ8PRCB-8 (LOCK) C-4. 5 Change PRCB. 6 Change DCPU1.
Code;0BH
Description;"Ventilation fan motor malfunction
 • The fan motor lock signal remains HIGH for a predetermined consecutive period of time while the ventilation fan motor remains energized."
Remedy;1 Check the FM2 connector for proper connection and correct as necessary. 2 Check FM2 for proper drive coupling and correct as necessary. 3 Check the PRCB connector for proper connection and correct as necessary. 4 FM2 operation check. PRCB PJ10PRCB-1 (REM) PECB PJ10PRCB-3 (LOCK) C-4. 5 Change PRCB. 6 Change DCPU1.
Code;0CH
Description;"Power supply cooling fan motor malfunction
 • The fan motor lock signal remains HIGH for a predetermined consecutive period of time while the power supply cooling fan motor remains energized."
Remedy;1 Check the FM1 connector for proper connection and correct as necessary. 2 Check FM1 for proper drive coupling and correct as necessary. 3 Check the PRCB connector for proper connection and correct as necessary. 4 M1 operation check. PRCB PJ4PRCB-1 (REM) PRCB PJ4PRCB-3 (LOCK) C-2. 5 Change PRCB. 6 Change DCPU1.
Code;0FH
Description;Duplex cooling fan motor malfunction
Remedy;
Code;101H
Description;"Scanner motor malfunction
 • A low motor lock signal is not detected even after the lapse of a predetermined period of time after the scanner motor has been started. • The motor lock signal remains HIGH for a predetermined consecutive period of time while the scanner motor remains energized."
Remedy;1 Check to see if the lock lever of the Scanner unit is unlocked and unlock the lock lever if it is locked. 2 Check the M5 connector for proper connection and correct as necessary. 3 Check M5 for proper drive coupling and correct as necessary. 4 Check the PRCB connector for proper connection and correct as necessary. 5 M5 operation check. IPB J9IPB-1 to 4 (Pulse Output) L-10. 6 Change PRCB. 7 Change DCPU2. 8 Change DCPU1.
Code;102H
Description;"Faulty ir exposure lamp
 • The intensity of the light emitted from the exposure lamp of the scanner falls short of the specified value."
Remedy;1 Check the exposure lamp for lighting condition when the power switch is turned ON and, if any faulty symptom is evident, correct the Scanner Unit. 2 Check the PRCB connector for proper connection and correct as necessary. 3 Change scanner unit. 4 Change PRCB.
Code;10H
Description;"Polygon motor malfunction
 • A low motor lock signal is not detected even after the lapse of a predetermined period of time after the polygon motor has been started. • The motor lock signal remains HIGH for a predetermined consecutive period of time while the polygon motor remains energized."
Remedy;1 Check the cable and connector for proper connection and correct as necessary. 2 Change PH unit. 3 Change PRCB.
Code;12H
Description;"Laser malfunction
 • The SOS signal is not detected within a predetermined period of time after the output of a laser has been started. • The SOS signal is never detected in the image area."
Remedy;1 Check the cable and connector for proper connection and correct as necessary. 2 Change PH unit. 3 Change PRCB.
Code;14H
Description;"2nd image transfer pressure /retraction failure
 • The state of the retraction position sensor/2nd image transfer is not changed from the unblocked to blocked state even after the lapse of a predetermined period of time during predrive. • The retraction position sensor/2nd image transfer is in the unblocked state even after the lapse of a predetermined period of time during predrive. • The retraction position sensor/2nd image transfer is not blocked (roller in the retracted position) within a predetermined period of time after the retraction sequence of the 2nd transfer roller has been started. • The retraction position sensor/2nd image transfer is not unblocked (roller in the pressed position) within a predetermined period of time after the pressure sequence of the 2nd transfer roller has been started."
Remedy;1 Check the M1 connector for proper connection and correct as necessary. 2 Check M1 for proper drive coupling and correct as necessary. 3 Check the SD4 connector for proper connection and correct as necessary. 4 Check the PRCB connector for proper connection and correct as necessary. 5 PS5 sensor check. PRCB PJ14PRCB-3 (ON) J to K-3. 6 SD4 operation check. PRCB PJ11PRCB-2 (REM) J to K-1. 7 M1 operation check. PRCB PJ8PRCB-5 (REM) PRCB PJ8PRCB-8 (LOCK) C-4. 8 Change PRCB.
Code;15H
Description;"Cleaning blade pressure /retraction failure
 • The state of the retraction position sensor/cleaning blade is not changed from the blocked to unblocked state even after the lapse of a predetermined period of time during predrive. • The retraction position sensor/cleaning blade is in the blocked state even after the lapse of a predetermined period of time during predrive. • The retraction position sensor/cleaning blade is not unblocked (blade in the retracted position) within a predetermined period of time after the retraction sequence of the cleaning blade has been started. • The retraction position sensor/cleaning blade is not blocked (blade in the pressed position) within a predetermined period of time after the pressure sequence of the cleaning blade has been started."
