Code;1E
Description;The drum unit reached its life and requires replacement.
Causes;
Remedy;• Replace the drum unit with a new one.
Code;1F
Description;Two or more optional trays are installed
Causes;Connector: 54702-1219 failure. Main PCB failure
Remedy;• Install one optional tray. (Only one optional tray is supported.). Replace the connector: 54702-1219. Replace the main PCB ASSY.
Code;24
Description;Internal temperature sensor failure
Causes;Harness connection failure of internal temperature sensor. Internal temperature sensor failure. Main PCB failure.
Remedy;Check the harness connection of the internal temperature sensor and reconnect it. Replace the internal temperature sensor. Replace the main PCB ASSY.
Code;35
Description;EEPROM of main PCB failure
Causes;Main PCB failure
Remedy;Replace the main PCB ASSY.
Code;36
Description;HVPS PCB during standby failure
Causes;HVPS PCB unit failure. Main PCB failure
Remedy;Replace the HVPS PCB unit. Replace the main PCB ASSY.
Code;3B
Description;Main PCB RAM failure
Causes;Main PCB failure
Remedy;Replace the main PCB ASSY.
Code;3C
Description;EEPROM writing error (Not applicable)
Causes;
Remedy;
Code;3D
Description;EEPROM reading error (Not applicable)
Causes;
Remedy;
Code;3E
Description;EEPROM bus error (Not applicable)
Causes;Main PCB failure
Remedy;Replace the main PCB ASSY.
Code;44
Description;No toner cartridge
Causes;Dirt on electrodes on toner cartridge and machine body. HVPS PCB unit failure. Main PCB failure
Remedy;Clean both electrodes. Replace the HVPS PCB unit. Replace the main PCB ASSY.
Code;50
Description;The drum unit reached its life and requires replacement.
Causes;
Remedy;• Replace the drum unit with a new one.
Code;51
Description;The paper feed kit MP reached its life and requires replacement.
Causes;Replacement time of the paper feed kit MP.
Remedy;Replace the paper feed kit MP.
Code;52
Description;The paper feed kit T1 reached its life and requires replacement.
Causes;Replacement time of the paper feed kit tray 1.
Remedy;Replace the paper feed kit tray 1.
Code;53
Description;The paper feed kit T2 reached its life and requires replacement.
Causes;Replacement time of the paper feed kit tray 2
Remedy;Replace the paper feed kit tray 2.
Code;54
Description;The fuser unit reached its life and requires replacement.
Causes;Replacement time of the fuser unit
Remedy;Replace the fuser unit.
Code;55
Description;The laser unit reached its life and requires replacement.
Causes;Replacement time of the laser unit
Remedy;Replace the laser unit.
Code;56
Description;Back cover is opened
Causes;Harness connection failure of relay rear PCB ASSY. Relay rear PCB ASSY failure. Main PCB failure
Remedy;Check the harness connection of the relay rear PCB ASSY and reconnect it. Replace the relay rear PCB ASSY. Replace the main PCB ASSY.
Code;57
Description;Paper jam (Duplex tray)
Causes;Duplex feed ASSY failure. Main PCB failure. Plate gear damaged
Remedy;Replace the Duplex feed ASSY. Replace the main PCB ASSY. Replace the main frame L unit.
Code;58
Description;Fuser unit failure
Causes;
Remedy;
Code;59
Description;Fuser unit failure (Detect fuser failure at start-up)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;63
Description;Toner life end
Causes;Relay front PCB ASSY failure. Main PCB failure
Remedy;Replace the relay front PCB ASSY. Replace the main PCB ASSY.
Code;67
Description;Toner low
Causes;Toner sensor PCB ASSY failure. Main PCB failure
Remedy;Replace the toner sensor PCB ASSY. Replace the main PCB ASSY.
Code;68
Description;Temperature rise when heater is off
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;69
Description;Mis-connect center thermistor connector
Causes;Harness connection failure of fuser unit. Harness connection failure of relay rear PCB ASSY. Fuser unit failure. Main PCB failure
Remedy;Check the harness connection of fuser unit and reconnect it. Check the harness connection of the relay rear PCB ASSY and reconnect it. Replace the fuser unit. Replace the main PCB ASSY.
Code;6A
Description;Fuser temperature does not reach 60°C within the specified time (center thermistor)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;6B
Description;Fuser temperature does not reach 100°C within the specified time (center thermistor)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;6C
Description;Fuser temperature exceeds its higher limit (center thermistor)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;6D
Description;Fuser temperature exceeds its lower limit (center thermistor)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;6E
Description;Fuser temperature does not rise (center thermistor)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;6F
Description;Hardware detects extremely high temperature of the center or side thermistors
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;70
Description;Fuser motor error
Causes;Motor failure. Main PCB failure
Remedy;Replace the main motor. Replace the main PCB ASSY.
Code;71
Description;Laser unit polygon motor failure
Causes;Laser unit failure. Main PCB failure
Remedy;Replace the laser unit. Replace the main PCB ASSY.
Code;72
Description;Laser beam emission failure
Causes;Laser unit failure. Main PCB failure
Remedy;Replace the laser unit. Replace the main PCB ASSY.
Code;75
Description;Sensor of the inside temperature for detection detected higher than normal temperature
Causes;Thermistor ASSY failure. Main PCB failure
Remedy;Replace the laser scanner unit. Replace the main PCB ASSY.
Code;76
Description;Rapid temperature rising failure (center thermistor)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;78
Description;Rapid temperature falling failure (center thermistor)
Causes;Fuser unit failure. Main PCB failure
Remedy;Replace the fuser unit. Replace the main PCB ASSY.
Code;7A
Description;No detection of main motor synchronous signal
Causes;Motor failure. Main PCB failure
Remedy;Replace the main motor. Replace the main PCB ASSY.
Code;7D
Description;Dirt on corona wire (detect discharge error)
Causes;Dirt or dust on drum unit electrodes. Charge HVPS PCB failure. Main PCB failure
Remedy;Clean the electrodes of the main body and the drum unit. Replace the charge HVPS PCB ASSY. Replace the main PCB ASSY.
Code;7F
Description;Fax paper setting mismatch (The setting paper becomes besides the A4/Letter/Legal/ Folio) (Not applicable)
Causes;Registration front actuator 2 catching on some position. Main PCB failure
Remedy;Correct catching of the registration front actuator 2. Replace the main PCB ASSY.
Code;80
Description;Fax paper size is incorrect (The paper is smaller 10mm than the letter size (11inch) in Fax List/ Report)
Causes;Registration front actuator 2 catching on some position. Main PCB failure
Remedy;Correct catching of the registration front actuator 2. Replace the main PCB ASSY.
Code;83
Description;Failure of discharge detection (Printing becomes unable until the drum is replaced with a new one.) (Discharge detection becomes unable until the drum counter reaches the double of the drum life.)
Causes;Main PCB failure.
Remedy;Replace the main PCB ASSY.
Code;84
Description;Paper jam
Causes;Harness connection failure of relay rear PCB ASSY. Eject actuator catching on some position. Paper eject sensor PCB failure. Main PCB failure
Remedy;"Check the harness connection of the relay rear PCB ASSY and reconnect it. Correct catching of the eject actuator. Check the sensor performance following the procedure described in ""4.10 Sensor Operational Check (Function code 32)"" in Chapter 6. If any problem occurs, replace the relay rear PCB ASSY."
Code;85
Description;Tray 1 is not installed into the machine
Causes;Tray 1 PE/edge sensor PCB/ Tray 2 PE/edge sensor PCB failure. Harness connection failure of Tray 1 PE/edge sensor PCB/ Tray 2 PE/edge sensor PCB. Main PCB failure. Connector 55533-1219 failure (only Tray 2)
