Code;111.00 ... 111.69
Description;111.00 Pel clock check failed. 111.01 Downlevel ASIC detected. 111.20 Mirror motor lock is asserted before the motor is turned on 111.30 Failed to identify the printhead. 111.31 Printhead never delivered HSYNCs. 111.32 Printhead lost HSYNCs. 111.33 Printhead lost HSYNCs during servo. 111.34 Mirror motor lost lock. 111.35 Mirror motor was never locked first. 111.36 Mirror motor lock was never stabilized. 111.37 Page reached input sensor but the mirror motor was not locked. 111.38 Page reached input sensor but the printhead startup was not completed. 111.40 Wrong printhead installed 111.50 Open-loop printhead error, open-loop sweep state. 111.51 Open-loop printhead error, open-loop sweep state. 111.52 Open-loop printhead error, check prelim amp state. 111.53 Open-loop printhead error, enable amp Kp state. 111.54 Closed-loop printhead error, amp Kp failed to converge. 111.55 Closed-loop printhead error while waiting for amp Kp to converge. 111.56 Closed-loop printhead error, amp Ki failed to converge. 111.57 Closed-loop printhead error while waiting for amp Ki to converge. 111.58 Closed-loop printhead error, load scan regs state. 111.59 Closed-loop printhead error, forward and reverse capture times differ by too much. 111.60 Closed-loop printhead sweep error, check sweep accuracy state. 111.61 Printhead drive control out of range due to an external event beyond what the control is designed to handle. 111.62 Closed-loop printhead error, off-resonant PI effort state. 111.63 Timed out on POR sweep. 111.64 Attempted to exceed open loop drive limits. 111.65 Attempted to exceed open loop drive limits. 111.66 Failed alignment of printhead. 111.67 Attempted to exceed open loop drive limits. 111.68 Too many fake HSYNCs while aligning printhead. 111.69 Attempted to exceed open loop drive limits.
Remedy;Step 1 Reseat the cables and connector between the LSU and controller board. Does the problem remain? Go to step 2. The problem is solved. Step 2 Check the cables for damages, and replace if necessary. Does the problem remain? Go to step 3. The problem is solved. Step 3 Check the LSU for proper installation. a. POR into the Diagnostics menu, and then perform a feed test: Diagnostics Menu > Input Tray Test > Feed Test > select a tray b. Check the display to determine whether the test is successful. c. If the test fails, then perform the service check to resolve the error code shown. Does the problem remain? Go to step 4. The problem is solved. Step 4 Check the LSU for damages, and replace if necessary. Installation note: Mechanical and electronic LSU adjustments are required to complete the installation of the LSU. See Printhead assembly adjustments. Does the problem remain? Go to step 5. The problem is solved. Step 5 Check the LSU and controller board connector for damaged or bent pins. Replace the part with damaged pins. Does the problem remain? Go to step 6. The problem is solved. Step 6 Replace the controller board. Does the problem remain? Contact the next level of support. The problem is solved.
Code;121.07 ... 121.37
Description;121.07 Fuser has been on for more than allowed after a gap blowout, and the temperature is still too cold. 121.08 Fuser was under temp when page was in fuser. 121.20 Fuser undertemp during steady state control. Can occur in printing or standby modes. 121.22 Fuser did not warm enough to start line voltage detection. 121.23 Fuser took too long to heat to line detection temp. 121.24 Fuser never reached detection temperature. 121.25 After line voltage detection, control did not roll over to steady state control in time. 121.26 Failed to reach temperature during warm up. 121.28 Failed to reach EP warm up temperature in time. 121.29 Fuser failed to reach pre-heat temperature for motor start during warm up. 121.30 Fuser failed to reach printing temperature by the time a page reached the fuser. 121.31 Fuser is too hot. Global temperature check. 121.32 Open fuser main thermistor. 121.33 Open fuser edge thermistor. 121.34 Open fuser backup roll thermistor. 121.35 Attempting to POR after receiving a 121.34. 121.36 Fuser did not heat to allow compression jog. 121.37 Fuser heated faster than allowed during line voltage detection.
Remedy;Step 1 1. Restore the engine settings to their defaults: Diag Menu >Printer Setup >Defaults 2. Restore the EP setup settings to their defaults: Diag Menu >EP Setup >EP Defaults Does the problem remain? Go to step 2. The problem is solved. Step 2 • Check the fuser cables JTHERM1 and JEXIT for proper connection to the controller board. • Check the cable PCN5 for proper connection to the power supply. Are they properly connected? Go to step 3. Reseat the cables. Step 3 Are the cables JTHERM1, JEXIT and PCN5 free of damage? Go to step 4. Replace the fuser. See Fuser removal. Step 4 1. Turn off the printer. 2. Remove the rear door and cover. 3. Disconnect the fuser cable connected to PCN5 of the power supply. 4. Check for approximate correct resistance on the fuser cable: - 220V fuser-43 ohms - 110V fuser-10 ohms - 100V fuser-8 ohms Is the resistance equal to any of the above values? Perform an LVPS service check. See LVPS service check. Replace the fuser. See Fuser removal. Step 5 Check the fuser rollers, belts and gears for damage and debris. Are they free of damage and debris? Perform a cooling fan service check and LVPS service check. See Cooling fan service check and LVPS service check. Replace the fuser. See Fuser removal.
Code;126.01, 126.02
Description;126.01 Line frequency outside operating range of device. 126.02 No line frequency detected.
Remedy;Step 1 1. Check the power cord for continuity. If necessary, replace. 2. Make sure the nominal voltage source is within specification. See Electrical specifications. Does the problem remain? Go to step 2. The problem is solved. Step 2 Check if the power supply cable is properly connected to the controller board. Is it properly connected? Go to step 3. Reseat the cables. Step 3 1. Turn off the printer. 2. Remove the power cord. 3. Measure the resistance between terminals A and D of the power supply socket. Is the resistance approximately 30 ohms? Contact your next level of support. Replace the power supply. See Power supply removal.
Code;132.01 ... 132.34
