Code;C0002
Description;Paper feed communication error When the paper feed/transport drive board (PFTDB) is receiving data, a communication error is detected.
Causes;• Paper feed/transport drive board (PFTDB) • Printer control board (PRCB)
Remedy;1 Turn OFF the main power switch, disconnect and then connect the power cord. Wait for 10 sec. or more after connect the power cord, and turn ON the main power switch. 2 Rewrite the firmware. 3 PFTDB ICP3 conduction check. 4 PRCB ICP16 conduction check. 5 Replace PFTDB. 6 Replace PRCB.
Code;C0104
Description;Tray 3/4 feeder transportation motor failure to turn The lock signal remains HIGH for a predetermined continuous period of time while the motor is turning.
Causes;• LCC transport motor (M25) • Paper feed/transport drive board (PFTDB) • Printer control board (PRCB)
Remedy;1 Check the connector between M25-PFTDB CN17 for proper connection and correct as necessary. 2 Check the connector of M25 for proper drive coupling and correct as necessary. 3 M25 operation check PFTDB CN17-1 to 7 11-X. 4 Replace M25. 5 PFTDB ICP6 conduction check. 6 Replace PFTDB. 7 Replace PRCB.
Code;C0105
Description;Tray 3/4 feeder transportation motor turning at abnormal timing The lock signal remains LOW for a predetermined continuous period of time while the motor remains stationary.
Causes;• LCC transport motor (M25) • Paper feed/transport drive board (PFTDB) • Printer control board (PRCB)
Remedy;1 Check the connector between M25-PFTDB CN17 for proper connection and correct as necessary. 2 Check the connector of M25 for proper drive coupling and correct as necessary. 3 M25 operation check PFTDB CN17-1 to 7 11-X. 4 Replace M25. 5 PFTDB ICP6 conduction check. 6 Replace PFTDB. 7 Replace PRCB.
Code;C0202
Description;Tray 1 feeder up/down abnormality The tray 1 upper limit sensor (PS6) is not blocked even after the lapse of a given period of time after the lifting motion has been started
Causes;• Tray 1 upper limit sensor (PS6) • Tray 1 lift-up motor (M6) • Paper feed/transport drive board (PFTDB) • Printer control board (PRCB)
Remedy;1 Check the connector between M6-PFTDB CN27 for proper connection and correct as necessary. 2 Check the connector of M6 for proper drive coupling and correct as necessary. 3 Check the connector between PS6-relay CN145- PFTDB CN15 for proper connection and correct as necessary. 4 PS6 I/O check, sensor check PFTDB CN15-3 (ON) 1-P 5 M6 operation check PFTDB CN27-10 to 11 2 to 3-X. 6 Replace M6. 7 Replace PFTDB. 8 PRCB ICP10 conduction check. 9 Replace PRCB.
Code;C0204
Description;Tray 2 feeder up/down abnormality The tray 2 upper limit sensor is not blocked even after the lapse of a given period of time after the lifting motion has been started.
Causes;• Tray 2 upper limit sensor (PS14) • Tray 2 lift-up motor (M8) • Paper feed/transport drive board (PFTDB) • Printer control board (PRCB)
Remedy;1 Check the connector between M8-PFTDB CN26 for proper connection and correct as necessary. 2 Check the connector of M8 for proper drive coupling and correct as necessary. 3 Check the connector between PS14-relay CN155BPFTDB CN14 for proper connection and correct as necessary. 4 PS14 I/O check, sensor check PFTDB CN14-9 (ON) 4-P. 5 M8 operation check PFTDB CN26-10 to 11 4-X. 6 Replace M8. 7 PFTDB ICP10 conduction check. 8 Replace PFTDB. 9 Replace PRCB.
Code;C0206
Description;Tray 3 feeder up/down abnormality The tray 3 upper limit sensor is not blocked even after the lapse of a given period of time after the lifting motion has been started.
Causes;• Tray 3 upper limit sensor (PS22) • Tray 3 lift-up motor (M23) • Paper feed/transport drive board (PFTDB) • Printer control board (PRCB)
Remedy;1 Check the connector between M23-PFTDB CN18 for proper connection, and correct as necessary. 2 Check the connector of M23 for proper drive coupling and correct as necessary. 3 Check the connectors between PS22-relay CN193- relay CN113B-PFTDB CN20 for proper connection, and correct as necessary. 4 PS22 I/O check, sensor check PFTDB CN20-6 (ON) 6-X. 5 M23 operation check PFTDB CN18-3 to 4 9-X. 6 Replace M23. 7 PFTDB ICP7 conduction check. 8 Replace PFTDB. 9 Replace PRCB.
Code;C0208
Description;Tray 4 feeder up/down abnormality The tray 4 upper limit sensor is not blocked even after the lapse of a given period of time after the lifting motion has been started.
Causes;• Tray 4 upper limit sensor (PS27) • Tray 4 lift-up motor (M24) • Paper feed/transport drive board (PFTDB) • Printer control board (PRCB)
