Code;AF
Description;Original on document feeder placed wrong
Code;C00
Description;Battery problem or main board
Code;C01
Description;Battery problem or main board
Code;C2
Description;Drive problem
Code;C20
Description;Drive problem
Code;C21
Description;Duplex side to side registration
Code;C3
Description;Scan
Code;C4
Description;Lens motor
Code;C40
Description;Lens motor
Code;C41
Description;Mirror motor
Code;C5
Description;Coronas
Code;C6
Description;Low fuser temperature
Code;C60
Description;High fuser temperature
Code;C61
Description;Loe fuser temperature
Code;C7
Description;"DV unit shift problem; color unit dip switch; bad fuser thermofuse"
Code;C70
Description;"DV unit shift problem; color unit dip switch; bad fuser thermofuse"
Code;C71
Description;"DV unit shift problem; color unit dip switch; bad fuser thermofuse"
Code;U1
Description;Key counter
Code;UF
Description;Color unit out
