Code;0030
Description;FAX PWB system error The FAX process cannot be continued due to the malfunction of the FAX PWB.
Remedy;FAX PWB 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Reinstall the FAX firmware. 3. Replace the FAX PWB.
Code;0070
Description;FAX PWB incompatible detection error In the initial communication with the FAX PWB, any normal communication command is not transmitted.
Remedy;Main/engine PWB Replace the main/engine PWB.
Code;0100
Description;Backup memory device error Outputs an abnormal status from the flash memory.
Remedy;Flash memory (Main/Engine PWB) 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Check that the connectors on the main/engine PWB are properly connected, and if not, re-connect them. 3. Replace the main/engine PWB.
Code;0120
Description;MAC address data error In case MAC address is invalid data
Remedy;Flash memory (Main/Engine PWB) 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Check the MAC address on the network status page. 3. If it is blank, obtain an EEPROM with its MAC address written by the service support and install it. 4. Replace the main/engine PWB.
Code;0130
Description;Backup memory Read/write error (Main/ Engine PWB) Read/write to the NAND memory cannot be executed.
Remedy;Flash memory (Main/Engine PWB) 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Check that the connectors on the main/engine PWB are properly connected, and if not, re-connect them. 3. Replace the main/engine PWB.
Code;0140
Description;Backup memory data error (Main/Engine PWB) At power up, the data that was read from the NAND memory has been determined to be a error.
Remedy;Flash memory (Main/Engine PWB) 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Execute U021 initialize memory. 3. Replace the main/engine PWB.
Code;0150
Description;EEPROM read/ write error (Main/Engine PWB) No response is issued from the device in reading/ writing for 5 ms or more and this problem is repeated 5 times successively. Mismatch of reading data from two locations occurs 8 times successively. Mismatch between writing data and reading data occurs 8 times successively.
Remedy;EEPROM (Main/Engine PWB) 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Check that the EEPROM is properly installed on the main/ engine PWB and if not, reinstall it. 3. Replace the main/engine PWB. 4. Check the EEPROM and if it is damaged, contact the service support.
Code;0160
Description;EEPROM data error (Main/Engine PWB) Reading data from EEPROM is detected abnormal.
Remedy;EEPROM (Main/Engine PWB) 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Execute U021 initialize memory. 3. If the EEPROM data is corrupted, contact the service support.
Code;0170
Description;Billing counting error Mismatch between the value of the main/engine PWB and EEPROM, in one of the value of billing counter, life counter, or scanner counter.
Remedy;EEPROM (Main/Engine PWB) 1. Check that the EEPROM installed in the main/ engine PWB is correct and, if not, install the correct EEPROM for the model. 2. Replace the main/engine PWB. 3. If the EEPROM data is corrupted, contact the service support.
Code;0180
Description;Machine number mismatch When the power is turned on, the machine number does not match the one stored in the main/engine PWB.
Remedy;"EEPROM (Main/Engine PWB) 1. Check that the EEPROM installed in the main/ engine PWB is correct and, if not, install the correct EEPROM for the model. 2. Confirm the serial number data for the main/ engine PWB by using U004. If the mutually different machine number data between ""Machine No. (Main)"" and ""Machine No. (Eng)"" is displayed, or if there is a difference between the actual machine number and the number of ""Machine No. (Eng)"", install the correct EEPROM, and then execute U004."
Code;0190
Description;Backup memory device error (engine) Unable to read out data from the IC on the main unit PWB. Read out data from the IC on the main unit PWB. (3 retrials)
Remedy;EEPROM (Main/Engine PWB) 1. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. 2. Check that the connectors on the main/engine PWB are properly connected, and if not, re-connect them. 3. Contact service headquarters to get an EEPROM to install.
Code;0800
Description;Image formation problems The printing sequence JAM (J010X) is detected for 2 consecutive times.
Remedy;Main/Engine PWB 1. Check if the problem is a printing operation error detection in a particular file, and if it is possible to obtain the reproduction of the phenomena by the identification of the job that detected the error, and take the job log. 2. If the problem occurs in an unspecified job, check the connectors on the main/engine PWB, and reattach it. 3. Replace the main/engine PWB.
Code;0830
Description;FAX PWB flash Program area Checksum error The program stored in the flash memory on the FAX PWB is broken and cannot be executed.
Remedy;FAX firmware Reinstall the FAX firmware. FAX PWB 1. Unplug the power cord from the wall outlet, and reinstall the FAX PWB, and then plug in the power cord and turn the power on. 2. Check the connection failure between the KUIO connector of the main/engine PWB and FAX PWB, and reconnect it. 3. Execute [Initializing] by U600. 4. Replace the FAX PWB.
Code;0840
Description;Faults of RTC [Check at powerup] The RTC setting has reverted to a previous state. Or, the machine has not been turned on for 5 years (regularly compared with a set value stored in the EEPROM). The RTC setting is older than 00:01 on January 1, 2000. [Checked periodically (at every 5 minutes) after powerup.] The RTC setting has reverted to a state older than the last time it was checked. 10 minutes have been passed since the previous check.
Remedy;Settings of RTC Execute Date Setting using the system menu. Backup battery (Main/Engine PWB) 1. Check if the backup battery on the main/engine PWB is not short-circuited. 2. Unplug the power cord from the wall outlet, and wait five seconds. Then plug in the power cord and then turn on the power switch. Then plug in the power cord and then turn on the power switch. If the same service call error is displayed, replace the backup battery. Main/Engine PWB 1. If the communication error (due to a noise, etc.) is present with the RTC on the main/engine PWB, check that the PWB is properly grounded or secured by screws. 2. Replace the main/engine PWB.
Code;0870
Description;FAX PWB - Main/Engine PWB image data transfer error High-capacity data transfer between the FAX PWB and the main/engine PWB was not normally performed even if the data transfer was retried the specified times.
Remedy;FAX PWB 1. Unplug the power cord from the wall outlet, and wait five seconds. Reinstall the FAX PWB, and then plug in the power cord and turn the power on. 2. Check the connection failure between the KUIO connector of the main/engine PWB and FAX PWB, and reconnect it. 3. Replace the FAX PWB. Main/Engine PWB Replace the main/engine PWB.
Code;0920
Description;Fax file system error The backup data is not retained for file system abnormality of the flash memory of the FAX PWB.
Remedy;FAX PWB 1. Execute [Initializing] by U600.Reinstall the FAX firmware. 2. Unplug the power cord from the wall outlet, and wait five seconds. Reinstall the FAX PWB, and then plug in the power cord and turn the power on. 3. Check the connection failure between the KUIO connector of the main/engine PWB and FAX PWB, and reconnect it. 4. Replace the FAX PWB.
Code;0970
Description;24V power down detect
