Code;0100
Description;Backup memory read/write error
Causes;Defective main PWB.
Remedy;Defective main PWB. Replace the main PWB.
Code;0110
Description;Backup memory data error
Causes;Defective main PWB.
Remedy;Defective main PWB. Replace the main PWB.
Code;0120
Description;MAC address data error For data in which the MAC address is invalid.
Causes;Defective main PWB.
Remedy;Defective main PWB. Replace the main PWB.
Code;0150
Description;Engine PWB (EEPROM) error Data read from EEPROM is judged abnormal.
Causes;Improper installation EEPROM. Defective engine PWB.
Remedy;Defective EEPROM. Replace the engine PWB. Defective engine PWB. Replace the engine PWB.
Code;0170
Description;Billing counting error
Causes;Defective main PWB.
Remedy;Defective main PWB. Replace the main PWB.
Code;0420
Description;Paper feeder communication error Communication error between engine PWB and optional paper feeder.
Causes;Improper installation paper feeder. Defective harness between PF main PWB (YC3, YC5) and paper feeder interface connector, or improper connector insertion. Defective PF main PWB. Defective harness between engine PWB (YC33) and paper feeder interface connector, or improper connector insertion. Defective engine PWB.
Remedy;Improper installation paper feeder. Follow installation instruction carefully again. Defective harness between PF main PWB (YC3, YC5) and paper feeder interface connector, or improper connector insertion. Reinsert the connector. Also check for continuity within the connector harness. If none, remedy or replace the harness. (Refer to the service manual for the paper feeder). Defective PF main PWB. Replace the PF main PWB (Refer to the service manual for the paper feeder). Defective harness between engine PWB (YC33) and paper feeder interface connector, or improper connector insertion. Reinsert the connector. Also check for continuity within the connector harness. If none, remedy or replace the harness. Defective engine PWB. Replace the engine PWB.
Code;0600
Description;Expanded memory (DIMM) installing error The expansion memory modules (DIMM) are not correctly mounted.
Causes;Improper installation expanded memory (DIMM).
Remedy;Improper installation expanded memory (DIMM). Check the installation of the expanded memory (DIMM) and remedy if necessary.
Code;0610
Description;Expanded memory (DIMM) error The expansion memory modules (DIMM) mounted on the main PWB does not operate correctly.
Causes;Defective expanded memory (DIMM). Defective main PWB.
Remedy;Defective expanded memory (DIMM). Replace the expanded memory (DIMM). Defective main PWB. Replace the main PWB.
Code;0640
Description;Hard disk error
Causes;Defective hard disk. Defective main PWB.
Remedy;Defective hard disk. Replace the hard disk. Defective main PWB. Replace the main PWB.
Code;0930
Description;I2C bus error
Causes;Defective RFID. Defective drum PWB (EEPROM). Defective engine PWB (EEPROM). Defective main PWB. Defective engine PWB.
Remedy;Defective RFID. Replace the RFID. Defective drum PWB (EEPROM). Replace the drum unit. Defective engine PWB (EEPROM). Replace the engine PWB (EEPROM). Defective main PWB. Replace the main PWB. Defective engine PWB. Replace the engine PWB.
Code;1010
Description;Lift motor error When the lift motor is driven, the lift motor over-current detection signal is detected continuously for 50 times (5 s) at 100 ms intervals. After the lift motor is driven, the ON status of lift limit sensor cannot be detected for 8 seconds. The cassette installed confirmation message is displayed on the printer operation panel, and even if the cassette is opened and closed, the cassette installed confirmation message is displayed 5 times successively.
Causes;Defective bottom plate elevation mechanism in the cassette. Defective drive transmission system of the lift motor. Defective lift motor. Defective engine PWB.
Remedy;Defective bottom plate elevation mechanism in the cassette. Check to see if the bottom plate can move smoothly and repair it if any problem is found. Defective drive transmission system of the lift motor. Check if the rollers and gears rotate smoothly. If not, grease the bushings and gears. Check for broken gears and replace if any. Defective lift motor. Replace the lift motor. Defective engine PWB. Replace the engine PWB.
Code;1020, 1030, 1040 , 1050
Description;PF lift motor error (Option paper feeder) When the PF lift motor is driven, the PF lift motor over-current detection signal is detected continuously for 50 times (5 s) at 100 ms intervals. After the PF lift motor is driven, the ON status of PF lift limit sensor cannot be detected for 8 seconds. The cassette installed confirmation message is displayed on the printer operation panel, and even if the cassette is opened and closed, the cassette installed confirmation message is displayed 5 times successively. 1020: Paper feeder 1 1030: Paper feeder 2 1040: Paper feeder 3 1050: Paper feeder 4
