Code;C0060
Description;Main PWB type mismatch error
Causes;Poor contact in the connector terminals.
Remedy;Poor contact in the connector terminals. Check the connection of connector YC26 on the main PWB and relay board, and the continuity across the connector terminals. Repair if necessary. If the problem is not solved, run maintenance item U935 and return the relay board to the Service Administrative Division.
Code;C0100
Description;Backup memory read/write problem • Read and write data does not match.
Causes;Defective main PWB.
Remedy;Defective main PWB. Replace the main PWB and check for correct operation.
Code;C0110
Description;Backup memory data problem (main PWB) • Data in the specified area of the backup memory does not match the specified values.
Causes;Problem with the backup memory data. Defective main PWB.
Remedy;Problem with the backup memory data. Run maintenance item U021 to set the contents of the backup memory data again. Defective main PWB. If the C0110 is displayed after initializing the backup memory, replace the main PWB and check for correct operation.
Code;C0130
Description;Backup memory (EEPROM) device problem
Causes;Defective main PWB. Device damage of EEPROM.
Remedy;Defective main PWB. Replace the main PWB and check for correct operation. Device damage of EEPROM. Contact the Service Administrative Division.
Code;C0140
Description;Backup memory (EEPROM) data problem
Causes;Data damage of EEPROM.
Remedy;Data damage of EEPROM. Contact the Service Administrative Division.
Code;C0150
Description;Backup memory device problem (Engine PWB) • An error occurs in backup data read or write for the engine PWB.
Causes;Data damage of EEPROM.
Remedy;Data damage of EEPROM. Contact the Service Administrative Division.
Code;C0160
Description;Backup memory data problem (Engine PWB) • Data for backup data check is changed at the check after startup.
Causes;Problem with the backup memory data. Defective engine PWB.
Remedy;Problem with the backup memory data. Run maintenance item U022 to initialize the backup memory data. Defective engine PWB. If the C0160 is displayed after initializing the backup memory, replace the engine PWB and check for correct operation.
Code;C0170
Description;Copy counts problem • A checksum error is detected in the main and engine backup memories for the copy counters.
Causes;Data damage of EEPROM. Defective main PWB. Defective engine PWB.
Remedy;Data damage of EEPROM. Contact the Service Administrative Division. Defective main PWB. Replace the main PWB and check for correct operation. Defective engine PWB. Replace the engine PWB and check for correct operation.
Code;C0180
Description;Machine number mismatch error • Machine number of main PWB and engine PWB does not match.
Causes;Data damage of EEPROM.
Remedy;Data damage of EEPROM. Contact the Service Administrative Division.
Code;C0210
Description;CPU communication problem • Synchronization cannot be taken between the main CPU and engine CPU.
Causes;Defective main PWB. Poor contact in the connector terminals. Defective engine PWB.
Remedy;Defective main PWB. Replace the main PWB. Poor contact in the connector terminals. Check the connection of connector YC1 on the main PWB and YC1 on the engine PWB, and the continuity across the connector terminals. Repair or replace if necessary. Defective engine PWB. Replace the engine PWB.
Code;C0220
Description;CPU communication problem • Synchronization cannot be taken between the main CPU and scanner CPU.
Causes;Defective main PWB. Poor contact in the connector terminals. Defective scanner PWB.
Remedy;Defective main PWB. Replace the main PWB. Poor contact in the connector terminals. Check the connection of connector YC2 on the engine PWB and YC5 on the scanner PWB, and the continuity across the connector terminals. Repair or replace if necessary. Defective scanner PWB. Replace the scanner PWB.
Code;C0240
Description;Printer board communication problem • The printer board does not respond 120 seconds after the power is turned on.
Causes;Poor contact in the connector terminals. DIMM installed incorrectly. Defective main PWB or printer board.
Remedy;Poor contact in the connector terminals. Check the connection of connector YC9 on the main PWB and YC5 on the printer board, and the continuity across the connector terminals. Repair or replace if necessary. DIMM installed incorrectly. Check the connection. Repair or replace if necessary. Defective main PWB or printer board. Replace the main PWB or printer board and check for correct operation.
Code;C0250
Description;Network scanner board communication problem • The response to the alive command to the network scanner transmitted once to 30 s does not come on the contrary three consecutive times or more. • The response to the communication command transmitted to the network scanner does not return 75 s or more.
Causes;Poor contact in the connector terminals. Defective main PWB or network scanner board.
Remedy;Poor contact in the connector terminals. Check the connection of connector YC3 on the main PWB and the connector on the network scanner board, and the continuity across the connector terminals. Repair or replace if necessary. Defective main PWB or network scanner board. Replace the main PWB or network scanner board and check for correct operation.
Code;C0330
Description;Relay board communication problem
Causes;Poor contact in the connector terminals.
Remedy;Poor contact in the connector terminals. Check the connection of connector YC26 on the main PWB and relay board, and the continuity across the connector terminals. Repair if necessary. If the problem is not solved, run maintenance item U935 and return the relay board to the Service Administrative Division.
Code;C0410
Description;DP communication problem • There is no reply after 5 retries at communication or a communication error occurs.
Causes;Poor contact in the connector terminals. Defective DP main PWB.
