Code;C0070
Description;FAX PWB incompatible detection error
Causes;Abnormal detection of FAX control PWB incompatibility in the initial communication with the FAX control PWB, any normal communication command is not transmitted.
Remedy;1 Checking the FAX PWB The incompatible FAX PWB is installed. Install the FAX PWB for the applicable model. 2 Firmware upgrade The firmware is not the latest version. Upgrade the fax firmware to the latest version. Firmware Update 3 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0080
Description;Optional Printing System device error Object: Printing System16 (120V / 230V (Europe) / 240V)
Causes;The FPGA version of the interface PWB to control Fiery cannot be read. (FPGA failure)
Remedy;1 Resetting the main power The flash memory does not operate properly. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Replacing the interface PWB The interface PWB for other models is installed. Replace with the interface PWB for the applicable models. Printing System Installation Guide 3 Firmware upgrade The firmware is not the latest version. Upgrade the main firmware to the latest version. Firmware Update 4 Checking the connection The connector is not properly connected. Or, the USB cable is faulty. Clean the terminal of the following USB connector and reconnect the connectors. If there is no continuity, replace the USB cable. • Interface PWB - Main PWB Wiring diagram 5 4 Replacing the interface PWB The interface PWB is faulty. Replace the interface PWB. Printing System Installation Guide 6 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0100
Description;Backup memory device error
Causes;An abnormal status is output from the flash memory.
Remedy;1 Resetting the main power The flash memory does not operate properly. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Checking the main PWB The main PWB is faulty. Reinsert all the connectors on the main PWB. If the wire is pinched by other parts or it is damaged, repair or replace the wire. If not repaired, replace the main PWB. Detaching and reattaching the main PWB
Code;C0120
Description;MAC address data error (For the internal count)
Causes;The MAC address data is incorrect.
Remedy;1 Resetting the main power The flash memory does not operate properly. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Checking the MAC address The MAC address is incorrect. Replace the main PWB when the MAC address is not indicated on the network status page. Detaching and reattaching the main PWB
Code;C0130
Description;Backup memory read / write error
Causes;The reading or writing into the flash memory is unavailable.
Remedy;1 Resetting the main power The flash memory does not operate properly. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Checking the main PWB The main PWB is faulty. Reconnect the connectors on the main PWB. At that time, fix or replace the wires if they are pinched by other parts or have any damage. When the issue is not resolved, replace the main PWB. Detaching and reattaching the main PWB
Code;C0150
Description;Engine EEPROM reading / writing error
Causes;1. No response from the device is detected for 5s or more 5 times continuously when reading / writing data. 2. The data read reading in 2 points mismatches 8 times continuously. 3. The read data and the write data mismatch 8 times continuously.
Remedy;1 Resetting the main power The EEPROM on the engine PWB does not operate properly. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Checking the EEPROM on the engine PWB The EEPROM is not properly installed. Reattach the EEPROM on the engine PWB. Detaching and reattaching the EEPROM 3 Checking the EEPROM on the engine PWB The EEPROM is faulty. Replace the EEPROM on the engine PWB and execute U004. Detaching and reattaching the EEPROM 4 Replacing the engine PWB The engine PWB is faulty. Replace the engine PWB. Detaching and reattaching the engine PWB
Code;C0160
Description;Engine PWB EEPROM data error (For the internal count)
Causes;The data read from the EEPROM is judged as abnormal.
Remedy;1 Resetting the main power The EEPROM on the engine PWB does not operate properly. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Executing U021 The storage data in the EEPROM on the engine PWB is faulty. Execute U021. Executing U021 3 Replacing the EEPROM The EEPROM is faulty. Replace the EEPROM on the engine PWB and execute U004. Detaching and reattaching the EEPROM
Code;C0170
Description;Charger count error
Causes;The values in one of the billing counters, life counter or the scanner counter mismatch between the main side and the engine side.
Remedy;1 Checking the machine serial No. of the main PWB The main PWB for the different main unit is installed. Check the machine serial Nos of MAIN and ENGINE at U004, and install the correct main PWB if the MAIN No. differs. Executing U004 2 Checking the machine serial No. in the EEPROM on the engine PWB The EEPROM for the different main unit is installed. Check the machine serial Nos of MAIN and ENGINE at U004, and install the correct EEPROM on the engine PWB if the ENGINE machine serial No. differs. Executing U004 3 Replacing the main PWB The main PWB is faulty. If the serial number at the main is different at U004, execute U004 after replacing the main PWB. Detaching and reattaching the main PWB 4 Checking the EEPROM on the engine PWB The EEPROM is faulty. If the serial number at the engine is different at U004, reinstall the EEPROM on the engine PWB. If not repaired, replace the EEPROM and execute U004. Note: Please do not execute U004 in condition the serial number is different. (by selecting [Execute] and pressing [Start] key). Different serial number will be overwritten. Executing U004 5 Replacing the engine PWB The engine PWB is faulty. Replace the engine PWB. Detaching and reattaching the engine PWB
Code;C0180
Description;Machine serial number mismatch
Causes;The machine serial Nos. in the main PWB and the EEPROM on the engine PWB mismatch when turning the power on.
Remedy;1 Checking the machine serial No. of the main PWB The main PWB for the different main unit is installed. Check the machine serial Nos of MAIN and ENGINE at U004, and install the correct main PWB if the MAIN No. differs. Executing U004 2 Checking the machine serial No. in the EEPROM on the engine PWB The EEPROM for the different main unit is installed. Check the machine serial Nos of MAIN and ENGINE at U004, and install the correct EEPROM on the engine PWB if the ENGINE machine serial No. differs. Executing U004 3 Replacing the main PWB The main PWB is faulty. If the serial number at the main is different at U004, execute U004 after replacing the main PWB. Detaching and reattaching the main PWB 4 Checking the EEPROM on the engine PWB The EEPROM is faulty. If the serial number at the engine is different at U004, reinstall the EEPROM on the engine PWB. If not repaired, replace the EEPROM and execute U004. Note: Please do not execute U004 in condition the serial number is different. (by selecting [Execute] and pressing [Start] key). Different serial number will be overwritten. Executing U004 5 Replacing the engine PWB The engine PWB is faulty. Replace the engine PWB. Detaching and reattaching the engine PWB
Code;C0350
Description;Panel PWB communication error (Electronic volume I2C communication error) (For the internal count)
Causes;Since NACK was received during the I2C communication, the retry was repeated 5 times and the initial command was transmitted, and then the retry was repeated 5 times again. After that, NACK was also received.
Remedy;1 Resetting the main power The operation of the operation panel main PWB is faulty. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Checking the connection The connector is not properly connected. Or, the wire is faulty. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. • Operation panel main PWB - Main PWB • Operation panel main PWB - NFC PWB Wiring diagram 3 Replacing the operation panel main PWB The operation panel main PWB is faulty. Replace the panel main PWB. Detaching and reattaching the operation panel PWB 4 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB 5 Replacing the NFC PWB The NFC PWB is faulty. Replace the NFC PWB.
Code;C0360
Description;Engine CPU - Feed ASIC communication error
Causes;The communication with the feed ASIC failed 10 times continuously.
Remedy;1 Resetting the main power The engine PWB does not operate properly. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 2 Firmware upgrade The firmware is not the latest version. Upgrade the engine firmware to the latest version Firmware Update 3 Checking the connection The connector is not properly connected. Or, the wire is faulty. Clean the terminal of the following wire connectors and reinsert the connectors. Replace the wire when it has no continuity. • Feed PWB - Engine PWB Wiring diagram 4 Replacing the feed PWB The feed PWB is faulty. Replace the feed PWB. 5 Replacing the engine PWB The engine PWB is faulty. Replace the engine PWB. Detaching and reattaching the engine PWB
Code;C0630
Description;DMA error
Causes;DMA transmission of the image data does not finish within the certain time.
Remedy;2 Checking the connection 3 Replacing the wire The connector is not properly connected. Or, the SATA cable or the wire is faulty. Clean the terminal of the following SATA cable connector and the wire connectors and reconnect the connectors. If there is no continuity, replace the SATA cable or the wire. • DPCIS - DP relay PWB • DP relay PWB - Main PWB Wiring diagram 4 Replacing the DP relay PWB The DP relay PWB is faulty. Replace the DP relay PWB. Detaching and reattaching the DP relay PWB 5 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0640
Description;Hard Disk error
Causes;The HDD cannot be accessed properly.
Remedy;1 (When abnormal sounds occur) Replacing the HDD The HDD is faulty. Replace the HDD when the abnormal sounds are from the HDD. Detaching and reattaching the HDD 2 Checking the connection The connector is not properly connected. Or, the SATA cable or the wire is faulty. Clean the terminal of the following SATA cable connector and the wire connectors and reconnect the connectors. If there is no continuity, replace the SATA cable or the wire. • DPCIS - DP relay PWB • DP relay PWB - Main PWB Wiring diagram 3 Initializing the HDD The HDD storage data is faulty. Execute U024 [HDD Format] > [FULL]. Executing U024 4 Replacing the HDD The HDD is faulty. Replace the HDD. Detaching and reattaching the HDD 5 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0650
Description;FAX image storage pair-check error
Causes;The SSD (FAX image storage) used in other main unit is installed.
Remedy;1 Checking the SSD The SSD (FAX image storage) already used in other unit is installed. When installing the SSD used once, replace with the correct SSD. Detaching and reattaching the SSD 2 Executing U671 The SSD (FAX image storage) already used in other unit is reused without executing U671. If installing the used SSD, execute U671 [FAX Data CLEAR]. Executing U671 3 Reinstalling the SSD The SSD (FAX image storage) is not properly installed. Be sure to install the SSD to the connector on the main PWB. Detaching and reattaching the SSD 4 Replacing the SSD The SSD (FAX image storage) is faulty. Replace with the new SSD. Detaching and reattaching the SSD 5 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0660
Description;Hard Disk encryption key error
Causes;1. The encrypted password input when replacing the main PWB is not correct. 2. The SSD which was used in other main unit is installed.
Remedy;1 (When the issue occurs after replacing the main PWB) Executing U004 The encryption key after replacing the main PWB is faulty. Execute U004 when this issue occurs after replacing the main PWB. Executing U004 2 (When abnormal sounds occur) Replacing the HDD The HDD is faulty. Replace the HDD when the abnormal sounds are from the HDD. Detaching and reattaching the HDD 3 Checking the connection The connector is not properly connected. Or, the SATA cable or the wire is faulty. Clean the following SATA cable or the terminal of the wire connectors and reconnect the connectors. If there is no continuity, replace the SATA cable or the wire. • HDD - Main PWB Wiring diagram 4 Initializing the HDD The HDD storage data is faulty. Execute U024 [HDD Format] > [FULL]. Executing U024 5 Replacing the HDD The HDD is faulty. Replace the HDD. Detaching and reattaching the HDD 6 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0670
Description;Hard Disk overwriting error
Causes;The area that cannot be properly overwritten exists in a part of the HDD.
Remedy;1 (When abnormal sounds occur) Replacing the HDD The HDD is faulty. Replace the HDD when the abnormal sounds are from the HDD. Detaching and reattaching the HDD 2 Checking the connection The connector is not properly connected. Or, the SATA cable or the wire is faulty. Clean the following SATA cable or the terminal of the wire connectors and reconnect the connectors. If there is no continuity, replace the SATA cable or the wire. • HDD - Main PWB Wiring diagram 3 Initializing the HDD The HDD storage data is faulty. Execute U024 [HDD Format] > [FULL]. Executing U024 4 Replacing the HDD The HDD is faulty. Replace the HDD. Detaching and reattaching the HDD 5 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0680
Description;SSD error
Causes;The SSD cannot be accessed, or the error occurs when accessing to the SSD.
Remedy;1 Checking the SSD (if lit after replacing the SSD) An SSD out of specification is installed. Install the SSD matching the memory capacity specification. 2 Resetting the main power The SSD is faulty. Turn the power switch and the main power switch off . After 5s passes, turn the main power switch and the power switch on. 3 Reinstalling the SSD The SSD is not properly installed. Reinstall the SSD on the main PWB. Detaching and reattaching the SSD 4 Initializing the SSD The data stored in the SSD is faulty. Retrieve the SSD storage data at U026, and then initialize the SSD at U024. Executing U026 / U024 5 Replacing the SSD The SSD is faulty. Retrieve the SSD storage data at U026, and replace the SSD. Executing U026 / detaching and reattaching the SSD 6 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0800
Description;Image processing error
Causes;The print sequence jam (J010x) was detected 2 times continuously.
Remedy;1 Checking the image data The image data is faulty. When this issue occurs only when handling the certain image data, check if the image data is faulty. 2 Checking the situation The printing operation of the certain file is faulty. Acquire the jobs logif the phenomenon can be reproduced by specifying the job when the error was detected.` 3 Checking the connection The connector is not properly connected. Or, the wire is faulty. Reinsert all the connectors on the main PWB. If the wire is pinched by other parts or it is damaged, repair or replace the wire. Detaching and reattaching the main PWB 4 Replacing the main PWB The main PWB is faulty. Replace the main PWB. Detaching and reattaching the main PWB
Code;C0830
Description;FAX PWB flash program area checksum error
Causes;The program stored in the flash memory on the FAX PWB is broken so it cannot perform.
Remedy;1 Firmware upgrade The firmware is not the latest version. Upgrade the fax firmware to the latest version. Firmware Update 2 Checking the FAX PWB The FAX PWB is not properly connected. Turn the power switch and the main power switch off . After 5s passes, reattach the FAX PWB and turn the main power switch and the power switch on. FAX Installation Guide 3 Initializing the fax The data in the FAX PWB is faulty. Execute U600 to initialize the FAX. Executing U600 4 Replacing the FAX PWB The FAX PWB is faulty. Replace the FAX PWB. FAX Installation Guide
Code;C0840
