Code;900
Description;RIP Software
Remedy;Contact color support center
Code;901
Description;Yellow developer clutch error (DCLY)
Remedy;1 Turn printer off and remove right cover. Is developer clutch cable properly connected? Go to step 2. Properly connect cable. Go to step 5.  2 Is developer clutch cable damaged? Replace developer drive assembly. Go to step 3.  3 Disconnect clutch cable. On clutch side, measure resistance between two outer pins. Is resistance between 139 and 171 ohms? Go to step 4. Replace developer drive assembly.  4 Remove I/O board shield. Disconnect cable from DCN10 on I/O board. Check cable continuity from DCN10 pins 21 and 22 to connector that attaches to yellow developer clutch cable. Ensure that pins are not shorted. Is cable okay? Replace I/O board. Go to step 5. Replace cable. Go to step 5.  5 If waste toner bottle is removed, reinsert it. Ensure rear cover assembly cover is shut. Override top and front cover interlock switches. For location, Reconnect operator panel. Turn printer on. Does 901 error reappear? Go to step 6. Problem solved.  6 Turn printer off and remove engine controller board shield. Check cable that connects I2CN on engine controller board to DCN3 on I/O board for proper connection, damage, pin shorting and continuity. Is cable okay? Replace engine controller board.
Code;902
Description;Magenta developer clutch error (DCLM)
Remedy;1 Turn printer off and remove right cover. Is developer clutch cable properly connected? Go to step 2. Properly connect cable. Go to step 5.  2 Is developer clutch cable damaged? Replace developer drive assembly. Go to step 3.  3 Disconnect clutch cable. On clutch side, measure resistance between two outer pins. Is resistance between 139 and 171 ohms? Go to step 4. Replace developer drive assembly.  4 Remove I/O board shield. Disconnect cable from DCN10 on I/O board. Check cable continuity from DCN10 pins 19 and 20 to connector that attaches to magenta developer clutch cable. Ensure that pins are not shorted. Is cable okay? Replace I/O board. Go to step 5. Replace cable. Go to step 5.  5 If waste toner bottle is removed, reinsert it. Ensure rear cover assembly cover is shut. Override top and front cover interlock switches. For location, Reconnect operator panel. Turn printer on. Does 901 error reappear? Go to step 6. Problem solved.  6 Turn printer off and remove engine controller board shield. Check cable that connects I2CN on engine controller board to DCN3 on I/O board for proper connection, damage, pin shorting and continuity. Is cable okay? Replace engine controller board. Replace cable.
Code;903
Description;Cyan developer clutch error (DCLC)
Remedy;1 Turn printer off and remove right cover. Is developer clutch cable properly connected? Go to step 2. Properly connect cable. Go to step 5.  2 Is developer clutch cable damaged? Replace developer drive assembly. Go to step 3.  3 Disconnect clutch cable. On clutch side, measure resistance between two outer pins. Is resistance between 139 and 171 ohms? Go to step 4. Replace developer drive assembly.  4 Remove I/O board shield. Disconnect cable from DCN10 on I/O board. Check cable continuity from DCN10 pins 17 and 18 to connector that attaches to cyan developer clutch cable. Ensure that pins are not shorted. Is cable okay? Replace I/O board. Go to step 5. Replace cable. Go to step 5.  5 If waste toner bottle is removed, reinsert it. Ensure rear cover assembly cover is shut. Override top and front cover interlock switches. For location, Reconnect operator panel. Turn printer on. Does 901 error reappear? Go to step 6. Problem solved.  6 Turn printer off and remove engine controller board shield. Check cable that connects I2CN on engine controller board to DCN3 on I/O board for proper connection, damage, pin shorting and continuity. Is cable okay? Replace engine controller board. Replace cable.
Code;904
Description;Black developer clutch error (DCLK)
