Code;31
Description;Missing or Defective Cart.
Remedy;The cartridge may be missing and the front door closed. Return the cartridge. Or, the cartridge may be defective. Replace the cartridge.
Code;32
Description;Unsupported Print Cartridge
Remedy;Error 32 displays when the top cover is closed and an unsupported print cartridge is detected. It may take the printer 10-20 seconds to determine if the print cartridge is supported. Depending on the setting of the Machine Class ID, the printer may be allowed to print pages during this 10-20 second interval. If pages are allowed to print, then they are not reprinted once a good print cartridge is inserted. Replace the cartridge.
Code;34
Description;Short Paper
Remedy;The printer determines the paper length is too short to print the formatted data. This occurs when the printer does not know the actual paper size loaded in the tray. Make sure the Paper Size setting is correct for the size paper that is being used. The following actions may be taken: • Press Go to clear the message and continue printing. • Press Menu until Busy/Waiting displays. Select one of the following: –Cancel Job –Reset Printer
Code;35
Description;Res Save Off Deficient Memory
Remedy;The printer lacks sufficient memory to enable Resource Save. The following actions may be taken: • Press Go to clear the message. The printer disables Resource Save. • Install additional memory. • Set link buffers to Auto, return to Ready and enable Resource Save and reset the link buffers.
Code;37
Description;Insufficient Collation Area
Remedy;This message displays when the printer memory is insufficient to perform the Flash Memory Defragment operation. Note: This message is posted prior to the actual start of the defragment operation. The printer code determines if enough printer memory is available to complete the defragment operation. The user should not be concerned with losing resources stored in the flash option. The following actions may be taken: • Press Go to clear the message. • Press Menu until Busy/Waiting appears. The following actions are available: –Cancel Job –Reset Printer
Code;37
Description;Insufficient Defrag Memory
Remedy;This message displays when the printer memory is fragmented. Defragmentation is required and additional memory is required to complete the task. • Press Go to clear the message. Defragmentation will not continue and no changes are made to memory and no resources are lost. • Press Menu until Busy/Waiting appears. The following functions may be available: –Cancel Job –Reset Printer The user may clear memory for a defragmentation by: • Deleting fonts, macros, and other data in RAM. • Installing additional memory.
Code;37
Description;Insufficient Memory Held Jobs may be lost
Remedy;This message displays when there is not enough memory available to continue processing a job and Print and Hold feature is in use. The printer frees memory by deleting the oldest Reserve Print and Verify Print jobs. It deletes only the amount needed to continue the incoming job. Some or all of the jobs may not be restored. If, while printing the current job, it runs out of memory again, another message is not posted. • Press Go to clear the message. Some of the Print and Hold jobs on the disk will not be restored. They remain on the disk, but cannot be accessed. • Press Menu until Busy/Waiting appears. The function, Reset Printer, may be available.
Code;38
Description;Memory Full
Remedy;This message displays when the printer is processing an incoming job and there is insufficient memory available to continue processing the job. The following actions may be taken: • Press Go to clear the message. Perform the defragment operation: – Simplify the print job. –Delete fonts, macros, and other data in RAM – Install additional memory • Press Menu to display Busy/Waiting. The following functions may be available: –Cancel Job –Reset Printer
Code;39
Description;Complex Page
Remedy;This message displays when the page is too complex to print. The following actions may be taken: • Press Go to clear the message and continue the job. Some data loss may occur. Simplify the print job and reprint, if necessary. • Press Menu until Busy/Waiting appears. The following selections are possible: –Cancel Job –Reset Printer
Code;40
Description;Unsupported Firmware Card
Remedy;A firmware card containing network code is installed on a non-network printer or a nonnetwork card is installed on a network printer. Press and hold Go while powering the printer. The unsupported card will be ignored. Remove the card.
Code;41
Description;Unsupported Firmware Card
Remedy;A firmware card containing unsupported code is detected. Press and hold Go while powering the printer. The unsupported card will be ignored. Remove the card.
Code;50
Description;PPDS Font Error
Remedy;This message displays when the PPDS interpreter has encountered a font error. Note: This error may only occur when the printer is formatting PPDS print data. The following actions may be taken: • Press Go to clear the message and continue processing the job. • Press Menu until Busy/Waiting appears. The following are available: –Cancel Job –Reset Printer
Code;51
