Code;111.01
Description;Service printhead error LED printhead (K) failure Open circuit detected in the LED printhead.
Remedy;1 Check the LED Printhead (K) for proper installation. Is the LED Printhead (K) properly installed? Go to step 2. Install the LED Printhead (K) properly. 2 Check the event log for the history of errors that occurred. 1. Enter the Diagnostics Menu. 2. Navigate to EVENT LOG. 3. Touch Display Event Log. Has any connection-related errors occurred? Go to step “111.02–111.04 LED printhead (K) signal failure”. Replace the LED Printhead (K). Go to “LED printhead removal”.
Code;111.02 ... 111.04
Description;Open circuit detected in the LED printhead. 111.02 Service printhead error LED printhead (K) failure 111.03 Service printhead error LED printhead (K) failure 111.04 Service printhead error LED printhead (K) failure
Remedy;1 Check the LED printhead. Is the above component properly connected? Go to step 2. Replace the connections. Replace the printhead flat data cable. 2 Replace the LED printhead. Go to “LED printhead removal”. Does the error remain? Go to step 3. Problem resolved 3 Replace the printhead interface contact. Does the error remain? Go to step 4. Problem resolved 4 POR the machine. Does the error continue? Replace the upper printer engine PCBA. Go to “Upper printer engine PCBA removal”. Problem resolved
Code;112.01
Description;Service printhead error LED printhead (C) failure Open circuit detected in the LED printhead.
Remedy;1 Check the LED Printhead (C) for proper installation. Is the LED Printhead (C) properly installed? Go to step 2. Install the LED Printhead (C) properly. 2 Check the event log for the history of errors that occurred 1. Enter the Diagnostics Menu. 2. Navigate to EVENT LOG. 3. Touch Display Event Log. Has any connection-related errors occurred? Go to step “112.02–112.04 LED printhead (C) signal failure”. Replace the LED Printhead (C). Go to “LED printhead removal”.
Code;112.02 ... 112.04
Description;Open circuit detected in the LED printhead. 112.02 Service printhead error LED printhead (C) failure 112.03 Service printhead error LED printhead (C) failure 112.04 Service printhead error LED printhead (C) failure
Remedy;1 Check the LED printhead. Is the above component properly connected? Go to step 2. Replace the connections. Replace the printhead flat data cable. 2 Replace the LED printhead. Go to “LED printhead removal”. Does the error remain? Go to step 3. Problem resolved 3 Replace the printhead interface contact. Does the error remain? Go to step 4. Problem resolved 4 POR the machine. Does the error continue? Replace the upper printer engine PCBA. Go to “Upper printer engine PCBA removal”. Problem resolved
Code;113.01
Description;Service printhead error LED printhead (M) failure Open circuit detected in the LED printhead.
Remedy;1 Check the LED printhead (M) for proper installation. Is the LED printhead (M) properly installed? Go to step 2. Install the LED printhead (M) properly. 2 Check the event log for the history of errors that occurred. 1. Enter the Diagnostics Menu. 2. Navigate to EVENT LOG. 3. Touch Display Event Log. Has any connection-related errors occurred? Go to step “113.02–113.04 LED printhead signal failure (M)”. Replace the LED Printhead (M). Go to “LED printhead removal”.
Code;113.02 ... 113.04
Description;Open circuit detected in the LED printhead. 113.02 Service printhead error LED printhead (M) failure 113.03 Service printhead error LED printhead (M) failure 113.04 Service printhead error LED printhead (M) failure
Remedy;1 Check the LED printhead. Is the above component properly connected? Go to step 2. Replace the connections. Replace the printhead flat data cable. 2 Replace the LED printhead. Go to “LED printhead removal”. Does the error remain? Go to step 3. Problem resolved 3 Replace the printhead interface contact. Does the error remain? Go to step 4. Problem resolved 4 POR the machine. Does the error continue? Replace the upper printer engine PCBA. Go to “Upper printer engine PCBA removal”. Problem resolved
Code;114.01
Description;Service printhead error LED printhead (Y) failure Open circuit detected in the LED printhead.
Remedy;1 Check the LED printhead (Y) for proper installation. Is the LED printhead (Y) properly installed? Go to step 2. Install the LED printhead (Y) properly. 2 Check the event log for the history of errors that occurred. 1. Enter the Diagnostics Menu. 2. Navigate to EVENT LOG. 3. Touch Display Event Log. Has any connection-related errors occurred? Go to “113.02–113.04 LED printhead signal failure (M)”. Replace the LED printhead (Y). Go to “LED printhead removal”.
Code;114.02 ... 114.04
Description;Open circuit detected in the LED printhead. 114.02 Service printhead error LED printhead (Y) failure 114.03 Service printhead error LED printhead (Y) failure 114.04 Service printhead error LED printhead (Y) failure
Remedy;1 Check the LED printhead. Is the above component properly connected? Go to step 2. Replace the connections. Replace the printhead flat data cable. 2 Replace the LED printhead. Go to “LED printhead removal”. Does the error remain? Go to step 3. Problem resolved 3 Replace the printhead interface contact. Does the error remain? Go to step 4. Problem resolved 4 POR the machine. Does the error continue? Replace the upper printer engine PCBA. Go to “Upper printer engine PCBA removal”. Problem resolved
Code;115.01
Description;Service printhead error Multiple LED printhead power supply failure Power is not supplied correctly in more than one LED printhead.
Remedy;1 Check each LED printhead for proper connections. Is the above component properly connected? Go to step 2. Replace the connections. 2 Replace the printhead flat data cable assembly. Does the error remain? Go to step 3. Problem resolved 3 Replace the printhead interface contact. Does the error remain? Go to step 4. Problem resolved 4 POR the machine. Does the error continue? Replace the lower engine PCBA card assembly. Go to “Lower engine PCBA removal”. Go to step 5. Problem resolved 5 POR the machine. Does the error continue? Replace the upper printer engine PCBA. Go to “Upper printer engine PCBA removal”. Problem resolved
Code;115.02
Description;Service printhead error Single LED printhead power supply failure Power is not supplied correctly in one LED printhead.
Remedy;1 Check the LED printhead for proper connections. Is the above component properly connected? Go to step 3. Replace the connections. 2 Replace the printhead flat data cable assembly. Does the error remain? Go to step 3. Problem resolved 3 Replace the printhead interface contact. Does the error remain? Go to step 4. Problem resolved 4 POR the machine. Does the error continue? Replace the lower engine PCBA card assembly. Go to “Lower engine PCBA removal”. Go to step 5. Problem resolved 5 POR the machine. Does the error continue? Replace the upper printer engine PCBA. Go to “Upper printer engine PCBA removal”. Problem resolved
Code;115.03
Description;Service printhead error Multiple LED printhead download failure An error occurs in downloading data from more than one LED printhead.
Remedy;1 Check the LED printhead for proper connections. Is the above component properly connected? Go to step 3. Replace the connections. 2 Replace the printhead flat data cable assembly. Does the error remain? Go to step 3. Problem resolved 3 Replace the printhead interface contact. Does the error remain? Go to step 4. Problem resolved 4 POR the machine. Does the error continue? Replace the lower engine PCBA card assembly. Go to “Lower engine PCBA removal”. Go to step 5. Problem resolved 5 POR the machine. Does the error continue? Replace the upper printer engine PCBA. Go to “Upper printer engine PCBA removal”. Problem resolved
Code;115.04
Description;Service printhead error Single LED printhead download failure An error occurs in downloading data from one LED printhead.
