Code;001
Display;
Description;Machine Check Exception Hardware fault detected. (Board defectiveness or Shortage of power supply volume)
Remedy;Replace TB3 board
Code;002 ... 007
Display;Service call 002: Error 005: Error
Description;CPU Excepption
Remedy;Is the error message displayed again? If the RAM DIMM is mounted, remove it and turn the power supply off/ON. Replace TB3 board Remount RAM DIMM Replace RAMDIMM
Code;020
Display;Service call 020:Error
Description;CU ROM Hash Check Error
Remedy;Does error display reappear? Power OFF/ON Replace TB3 board
Code;025
Display;Service call 025:Error
Description;CU Font ROM Hash Check Error
Remedy;A font ROM hash check error was detected. (On printers for domestic market only) Power OFF/ON Replace TB3 board
Code;030
Display;Service call 030: Error
Description;CU RAM Check Error
Remedy;Is the error message displayed again? Power supply OFF/ON Replace TB3 board
Code;031
Display;Service call 031: Error
Description;CU Optical RAM Check Error
Remedy;Is RAM DIMM installed properly? Does it restore by exchanging RAM DIMM? Remount RAM DIMM Replace RAMDIMM Replace TB3 board
Code;036
Display;Service call 036:Error
Description;RAM Spec Error Unsupported DIMM specification of the CU RAM
Remedy;Is a genuine RAM DIMM in use? Is the RAM DIMM installed properly? Is the fault recovered when the RAM DIMM is replaced? Use genuine RAM DIMM. Reset RAM DIMM. Replace RAM DIMM. Replace TB3 board
Code;040
Display;Service call 040: Error
Description;CU EEPROM Error
Remedy;Is the error message displayed again? Power supply OFF/ON Replace TB3 board
Code;042, 043, 045
Display;Service call 042: Error 043: Error
Description;Flash File System Error It failed to the access to CU Flash ROM that is attached to the BLA board directly.
Remedy;Replace TB3 board
Code;052
Display;Power off/on 052:Error
Description;DMA Abort Error detected in Image processor.
Remedy;Does error reoccur? Power OFF/ON. Replace TB3 board.
Code;070
Display;Power off/on 070:Error
Description;PSE firmware fault detected.
Remedy;Does error reoccur? Power OFF/ON. Replace TB3 board.
Code;072
Display;Service call 072: Error
Description;Engine I/F Error I/F Error between PU and CU
Remedy;Replace TB3 board
Code;073
Display;Service call 073: Error
Description;Video Error When the image data sprads, defect is detected. (Incorrect data receive)
Remedy;Does the error recur? Change the PC to high spec or lower the resolution, and then print again. Replace TB3 board
Code;074, 075
Display;Service call 074: Error 075: Error
Description;Video Error When the image data spreads, defect is detected.
Remedy;Replace TB3 board
Code;081
Display;Service call 081: Error
Description;Difference between version of CU firm and EEPROM
Remedy;Do EEPROM Initialization. (Turn on the power supply by Coveropen & pressing ONLINE switch & pressing CANCEL switch). Because the Mac address will disappear with this initialization, please reset Mac address by using the maintenance utility. Replace TB3 board
Code;104
Display;Service call 104: Error
Description;Engine EEPROM mounting check is OK with turning on the power supply, after that, lead/ light error is detected
Remedy;Power supply OFF/ON Replace TB3 board
Code;106
Display;Service call 106: Error
Description;The engine control logic is abnormal
Remedy;Power supply OFF/ON Replace TB3 board
Code;120
Display;Service call 120: ERROR
Description;PU unit FAN motor error
Remedy;Replace TB3 board
Code;121
Display;Service call 121: Error
Description;High-voltage power supply I/F error
