Code;002 ... 005
Display;Power OFF/ON  002 : Error - 005 : Error
Description;CPU Exception
Remedy;Is the error display provided again? Yes Turn off and on the MFP. Replace the CU/ PU board.
Code;024
Display;Inspection is required. 024 : Error
Description;Kanji Font Error
Remedy;
Code;030
Display;Inspection is required. 030 : Error
Description;CU RAM Check Error
Remedy;Is the error display provided again? Yes Turn off and on the MFP. Replace the CU/ PU board.
Code;040
Display;Inspection is required.  040 : Error
Description;CU EEPROM error
Remedy;Is the error display provided again? Yes Turn off and on the MFP. Replace the CU/ PU board.
Code;042, 043, 045
Display;Inspection is required. 042 : Error  043 : Error. 045 : Error
Description;Flash memory file system error Accessing the flash ROM directly mounted on the CU/ PU board failed.
Remedy;Accessing the flash ROM directly mounted on the CU/ PU board failed. Turn off and on the MFP. Replace the CU/ PU board.
Code;049
Display;Inspection is required. 049 : Error
Description;CU Engine Type Mismatch  Resolution of a LED head as opposed to a unit model is mismatch.
Remedy;
Code;054
Display;Power OFF/ON 054 : Error
Description;A communication error of the scanner unit  A communication error was detected between the Controller and scanner unit.
Remedy;Record a value displayed far right at the bottom of LCD and turn on the power unit again.
Code;057
Display;Power OFF/ON 057 : Error
Description;The timeout of command communication of the scanner The timeout of command communication was detected between the Controller and scanner unit (A sub code indicates a cause). 01: There is no ACK for a command to start scanning. 02: There is no ACK for a command to cancel scanning. 03: There is no ACK for a command to cancel SU.
Remedy;Record a value displayed far right at the bottom of LCD and turn off/on the power unit.
Code;058
Display;Power OFF/ON 058 : Error
Description;An error of the scanner controlling area  An internal error was detected in the scanner controlling area ofthe Controller.
Remedy;Record a value displayed far right at the bottom of LCD and turn off/on the power unit.
Code;062
Display;Power OFF/ON  062 : Error
Description;USB Driver Error
Remedy;
Code;064
Display;Inspection is required. 064 : Error
Description;SD Card Missing Error
Remedy;Is a SD Card installed in the unit, properly? No Reinstall the SD card.
Code;069
Display;Inspection is required. 069 : Error
Description;NIC Chip Error
Remedy;
Code;070
Display;Power OFF/ON 070 : Error
Description;PostScript error  Error is deteced inside the postscript core
Remedy;Error is deteced inside the postscript core Take note of the address that is displayed on LCD. Turn off and on the MFP.
Code;072
Display;Power OFF/ON  072 : Error
Description;Engine interface error or PU-CU interface error
Remedy;Is the CU/PU board installed properly? Reinstall the CU/ PU board properly. Replace the CU/ PU board.
Code;073
Display;Power OFF/ON 073 : Error
Description;Video error. An error was detected in expanding image data (an invalid data was received)
Remedy;Is the CU/PU board installed properly? Does the error occur again? Reinstall it properly. Change the PC to a high-specification one or decrease the resolution, and perform printing again. Replace the CU/ PU board. Replace the interface cable. Reinstall the PC printer driver. Is the CU/PU board installed properly? Does the error occur again? Does the error depend on print data? Reinstall it properly. Perform printing again. Print other data. Replace the CU/PU board. Ask design people to analyze the data.
Code;075
Display;Power OFF/ON 075 : Error
Description;Video error. An error was detected in expanding image data. Is the CU/PU installed properly?
Remedy;Is the CU/PU installed properly? Reinstall it properly. Replace it.
Code;080
Display;Power OFF/ON 080 : Error
Description;Parameter I/O Error An access error occurred in a storage point of a parameter by file damage.
Remedy;
Code;081
Display;Inspection is required.  081 : Error
Description;Parameter matching check error Reading from or writing into EEPROM or flash memory cannot be made properly.
Remedy;Turn off and on the MFP. Replace the CU/PU board when the symptom persists.
Code;085
Display;Inspection is required.  085 : Error
Description;SD Card ECC Error An ECC error was detected by read processing of a SD memory card.
Remedy;
Code;104
Display;Inspection is required. 104 : Error
Description;An engine EEPROM read/write error was detected.
