Code;E1-20
Description;Laser Unit Horizontal Synchronization
Causes;1. LPC3 PCB connector(s) is disconnected. 2. LPC3 PCB is defective. 3. LSU is defective. 4. LVPS connector is disconnected. 5. LVPS is defective. 6. LPC3/SC PCB connector is disconnected. 7. SC/LPC3 PCB is defective.
Code;E1-22
Description;Polygon Motor Synchronization
Causes;1. LPC3 PCB connector is disconnected. 2. LPC3 PCB is defective. 3. Laser Unit is defective. 4. LVPS connectors is disconnected. 5. LVPS is defective. 6. LPC3/SC PCB connector is disconnected. 7. SC PCB is defective.
Code;E2
Description;Lift DC Motor Error
Causes;
Code;E3-01
Description;Toner Bottle Motor Rotation
Causes;1. Toner Bottle Motor connector is disconnected. 2. Toner Bottle Motor drive mechanism is defective. 3. Toner Bottle Motor is defective. 4. Toner Bottle Motor Home Position Sensor connector is disconnected. 5. LVPS connector is disconnected. 6. LVPS is defective. 7. LPC3 PCB connector(s) is disconnected. 8. LPC3 PCB is defective.
Code;E3-20
Description;Printer Motor (DC Motor) Rotation
Causes;1. Printer motor connector is disconnected. 2. Printer motor is defected. 3. LVPS connector is disconnected. 4. LVPS is defective. 5. LPC3 PCB connector is disconnected. 6. LPC3 PCB is defective.
Code;E4-01
Description;Fuser Warm-up Temperature
Causes;1. Fuser Thermistor is dirty. 2. Thermistor position is incorrect. 3. Fuser temperature is low. (Adjust F6-31) 4. Thermistor is defective. 5. Fuser Lamp connector is disconnected. 6. Fuser Thermostat is defective. 7. Fuser Lamp is defective. 8. HTC PCB connector is disconnected. 9. HTC PCB is defective.
Code;E4-02
Description;Paper Jam
Causes;1. Paper Jam in Fuser Unit.
Code;E4-10
Description;Exhaust Fan Motor Rotation (Fuser Unit Side)
Causes;1. Exhaust Fan connector is disconnected. 2. Exhaust Fan is defective. 3. LVPS connector is disconnected. 4. LVPS is defective. 5. LPC3 PCB is defective.
Code;E5-11
Description;Thermistor, Toner Sensor
Causes;1. SC/LPC3 PCB connector is disconnected. 2. SC/LPC3 PCB is defective.
Code;E5-12
Description;Main CPU/LPC Interface Error
Causes;1. SC/LPC3 PCB connector is disconnected. 2. SC/LPC3 PCB is defective.
Code;E5-13
Description;LPC System Error
Causes;1. SC/LPC3 PCB connector is disconnected. 2. SC/LPC3 PCB is defective.
Code;E5-14
Description;Option Installation Error
Causes;1. SC/LPC3 PCB connector is disconnected. 2. SC/LPC3 PCB is defective.
Code;E5-15
Description;Mechanical Total Counter Not Installed
Causes;1. SC/LPC3 PCB connector is disconnected. 2. SC/LPC3 PCB is defective.
Code;E5-22
Description;Finisher Communication
Causes;1. SC/LPC3 PCB connector is disconnected. 2. SC/LPC3 PCB is defective.
Code;E7-10
Description;Sub CPU System Error
Causes;SC PCB is defective.
Code;E7-11
Description;Abnormal Platen Glass Scanning
Causes;SC PCB is defective.
Code;E7-12
Description;Scanner Lamp is disconnected
Causes;SC PCB is defective.
Code;J00
Description;The Registration Sensor did not detect paper within a predetermined time after paper started feeding. (Sheet Bypass)
Causes;
Code;J01
Description;The Registration Sensor did not detect paper within a predetermined time after the Paper Feed Roller started rotating. (1st Feeder Unit)
Causes;
Code;J02
Description;The 2nd Registration Sensor does not detect paper within a predetermined time after the Paper Feed Roller started rotating. (2nd Feeder Unit)
Causes;
Code;J03
