Code;101
Description;"Exposure lamp error
 The standard white level was not detected properly when scanning the white plate."
Causes;• Exposure lamp defective • Lamp stabilizer defective • Exposure lamp connector defective • Standard white plate dirty • Scanner mirror or scanner lens out of position or dirty • SBU defective
Code;120
Description;"Scanner home position error 1
 The scanner home position sensor does not detect the on condition during initialization or copying."
Causes;• Scanner drive motor defective • Scanner motor defective • Harness between SBCU and scanner drive motor disconnected • Harness between SBCU and scanner drive motor power source disconnected • Scanner HP sensor defective • Harness between SBCU and HP sensor disconnected • Scanner wire, timing belt, pulley, or carriage defective
Code;121
Description;"Scanner home position error 2
 The scanner home position sensor does not detect the off condition during initialization."
Causes;• SIB or scanner drive motor defective • Scanner motor defective • Harness between SBCU and scanner drive motor disconnected • Harness between SBCU and scanner drive motor power source disconnected • Scanner HP sensor defective • Harness between SBCU and HP sensor disconnected • Scanner wire, timing belt, pulley, or carriage defective
Code;144
Description;"SBU connection error
 The IPU does not detect the SBU connection signal."
Causes;Cable between SBU and IPU board disconnected.
Code;192
Description;"Automatic SBU adjustment error
 An error is detected during automatic SBU adjustment (SP4-428)"
Causes;• SBU defective • SBCU board defective • Exposure lamp stabilizer defective • Exposure lamp defective • Dirty white plate
Code;193
Description;"Image transfer error
 The IPU board does not finish within 1 minute after the image data has been transferred to the controller board."
Causes;• IPU board defective • Controller board defective • Video controller defective
Code;195
Description;"DFGATE assert error
 The DFGATE signal does not assert within 30 seconds after the original has been scanned."
Causes;• ADF interface cable defective • SBCU board defective • Mismatched firmware between the SBCU board and ADF
Code;196
Description;"DFGATE negate error
 The DFGATE signal does not negate within 1 minute after the DFGATE has been asserted."
Causes;• ADF interface cable defective • SBCU board defective • Mismatched firmware between the SBCU board and ADF
Code;197
Description;"DFGATE error
 The DFGEATE signal has already been asserted at the original scan."
Causes;• ADF interface cable defective • SBCU board defective • Mismatched firmware between the SBCU board and ADF
Code;198
Description;"Memory address error
 The IPU board does not receive the memory address from the controller board."
Causes;• Mismatched firmware between the SBCU board and controller board • Controller defective • SBCU defective • IPU board defective
Code;199
Description;"DF scanning finish error
 The original does not finish scanning with in 1 minute"
Causes;• ADF interface cable defective • SBCU board defective • Mismatched firmware between the SBCU board and ADF
Code;302
Description;"Charge roller current leak
 A charge roller current leak signal is detected."
Causes;• Charge roller damaged • Charge high voltage supply board defective • Poor connection of the PCU
Code;320
Description;"Polygon motor error
 The polygon motor does not reach its operating speed within 10 seconds after the polygon motor on signal, or the lock signal is not detected for more than 200 ms continuously during operation."
Causes;• Polygon mirror motor defective • Poor connection between the polygon mirror motor driver and the SBCU board • SBCU board defective
Code;322
Description;"Laser synchronization error
 The main scan synchronization detector board cannot detect the laser synchronization signal for more than 10 consecutive 50 ms intervals."
Causes;• Poor connection between the laser synchronization detector board and the SBCU board • Laser synchronization detector board out of position • Laser synchronization detector board defective • SBCU board defective • LD unit defective
Code;323
Description;"LD drive current over
 The LD drive board applies more than 100 mA to the LD."
Causes;• LD unit defective (not enough power, due to aging) • Poor connection between the LD unit and the SBCU board • SBCU board defective
Code;390
