Code;101-001
Description;"Exposure lamp error Shading at AGC 
 The shading data peak does not reach the specified threshold (64/255 degit) when the machine executes the shading at initialization."
Causes;• Defective exposure lamp • Defective lamp stabilizer • Defective exposure lamp harness
Code;101-002
Description;"Exposure lamp error Shading at scanning
 The shading data peak does not reach the specified threshold (64/255 degit) when the machine executes the shading at scanning."
Causes;• Defective exposure lamp • Defective lamp stabilizer • Defective exposure lamp harness
Code;120
Description;"Scanner home position error 1
 The scanner home position sensor does not detect the “OFF” condition during operation."
Causes;• Defective scanner motor drive board • Defective scanner motor • Defective home position sensor • Defective harness
Code;121
Description;"Scanner home position error 2
 The scanner home position sensor does not detect the “ON” condition during operation"
Causes;• Defective scanner motor drive board • Defective scanner motor • Defective home position sensor • Defective harness
Code;141
Description;"Black level detection error
 The black level cannot be adjusted within the target value during the zero clamp after the AGC."
Causes;• Defective SBU • Defective harness
Code;142
Description;"White level detection error
 The white level cannot be adjusted within the target value during the zero clamp after the AGC."
Causes;• Defective SBU • Defective harness
Code;144-001
Description;"SBU connection error
 The SBU connection cannot be detected at power on or recovery from the energy save mode."
Causes;• Insufficient power supply for SBU • Defective SBU • Defective harness • Defective detection port on the BCU
Code;144-002
Description;"SBU serial communication error
 The unusual register value from the SBU is detected more than three times at power on or recovery from the energy save mode."
Causes;• Insufficient power supply for SBU • Defective SBU • Defective harness • Defective detection port on the BCU
Code;144-003
Description;"GBSBU reset error
 The GBSBU cannot be reset at power on or recovery from the energy save mode"
Causes;• Insufficient power supply for SBU • Defective SBU • Defective harness • Defective detection port on the BCU
Code;144-004
Description;"Cannot finish the SBU communication.
 The communication between BCU and SBU has not completed."
Causes;• Insufficient power supply for SBU • Defective SBU • Defective harness • Defective detection port on the BCU
Code;161-001
Description;IPU error The error result of self-diagnostic by the Taurus (ASIC on the IPU) is detected.not completed.
Causes;• Defective IPU • Defective BCU • Defective connection between IPU and SBU
Code;161-002
Description;"ASIC (Taurus) memory error
 The memory check error of ASIC (Taurus) is detected when a machine turns on or recovers from the energy saver mode."
Causes;• Defective IPU (Taurus memory) • Unusual power source
Code;165
Description;"Copy Data Security Unit error
 • The copy data security board is not detected when the copy data security function is set ""ON"" with the initial setting. • A device check error occurs when the copy data security function is set ""ON"" with the initial setting."
Causes;• Incorrect installation of the copy data security board • Defective copy data security board
Code;200
