Code;SC101-01
Description;LED Error (Scanning) The white level peak did not reach the prescribed threshold when the white guide plate was scanned.
Causes;• Scanner Carriage defective  • BCU defective  • Connector defective (disconnected, loose)  • Harness defective  • IPU defective  • Condensation in scanner unit  • White Reference Seal dirty or installed incorrectly (sheet-through exposure glass)  • White Guide Plate, or White Roller dirty or installed incorrectly (SPDF/ARDF)
Remedy;"Check if the SC occurs by turning the power OFF then ON. If the SC occurs again, do the following steps. Check if the SC reoccurs by cycling the power after each step.  1. Clean the white guide plate, or white roller (SPDF/ARDF). 2. Reconnect the following connectors; • Scanner Carriage - IPU harness (FFC) • SBU - LEDB harness (FFC) • IPU- BCU harness 3. Check the white reference seal that attached back of sheet-through exposure glass. Replace the sheet-through exposure glass, if dirty or damaged. 4. Replace the white guide plate, or white roller (SPDF/ARDF). 5. Replace the Scanner Carriage. 6. Replace the IPU. 7. Replace the following harnesses; • Scanner Carriage - IPU harness (FFC) • IPU - BCU harness 8. Replace the BCU."
Code;SC101-02
Description;LED Error (LED illumination adjustment) LED error was detected.
Causes;• Connector defective (disconnected, loose)  • Scanner Carriage defective  • IPU defective  • Harness defective  • BCU defective
Remedy;"Check if the SC occurs by turning the power OFF then ON. If the SC occurs again, do the following steps. Check if the SC reoccurs by cycling the power after each step.  1. Reconnect the following connectors; • Scanner Carriage - IPU harness (FFC) • SBU - LEDB harness (FFC) • IPU- BCU harness 2. Check the white reference seal that attached back of sheet-through exposure glass. Replace the sheet-through exposure glass, if dirty or damaged. 3. Replace the Scanner Carriage. 4. Replace the IPU. 5. Replace the following harnesses; • Scanner Carriage - IPU harness (FFC) • IPU - BCU harness 6. Replace the BCU."
Code;SC102-00
Description;LED Illumination Adjustment Error The white level peak reached the prescribed threshold when the white plate was scanned after a specified number of adjustments.
Causes;• LED defective • IDB (LED driver) defective • SBU defective • IPU defective • Power/signal harness defective
Remedy;Check if the SC occurs by turning the power OFF then ON. If the SC occurs again, do the following steps. Check if the SC reoccurs by cycling the power after each step. 1. Reconnect the power/signal harness.  2. Replace the following parts: • Replace the Scanner Carriage. • Replace the IPU board. • Replace the power/signal harness.
Code;SC120-00
Description;Scanner Home Position Error 1 The scanner home position sensor does not go OFF. Details: Error detection timing • During homing (when the machine is turned ON or when it returns from energy save mode) • During an automatic adjustment (when the machine is turned ON or when it returns from energy save mode) • During a scan from the ADF/ARDF or exposure glass.
Causes;• Scanner motor driver defective • Scanner motor defective • Scanner HP sensor defective • Harness defective • Timing belt, pulley, wire, or carriage not installed correctly
Remedy;Check if the SC occurs by turning the power OFF then ON. If the SC occurs again, do the following steps. 1. Replace the following parts: • Replace the HP sensor • Replace the scanner motor • Replace the harness.
Code;SC121-00
