Code;090
Display;SVC 090 ERROR
Description;Check sum error
Remedy;Replace the Controller board.
Code;11
Display;SVC 11 ERROR
Description;Communication Error
Remedy;Replace the Controller or MCTL board.
Code;110
Display;SVC 110 ERROR
Description;Read/Write error in memory
Remedy;Replace the Controller board.
Code;111
Display;SVC 111 ERROR
Description;Read/Write error in memory
Remedy;Replace the Controller board.
Code;112
Display;SVC 112 ERROR
Description;Read/Write error in memory
Remedy;Replace the Controller board.
Code;113
Display;SVC 113 ERROR
Description;Read/Write error in memory
Remedy;Replace the Controller board.
Code;140
Display;SVC 140 ERROR
Description;MII interface error
Remedy;Replace the Controller board.
Code;141
Display;SVC 141 ERROR
Description;LAN loop back test error
Remedy;Replace the Controller board.
Code;160
Display;SVC 160 ERROR
Description;Read/Write error in DMA RAM
Remedy;Replace the Controller board.
Code;180
Display;SVC 180 ERROR
Description;Read/Write test error in cash register at CPU interface
Remedy;Replace the Controller board.
Code;25#
Display;SVC 25# ERROR
Description;DMA circuit test error
Remedy;Replace the Controller board.
Code;251
Display;SVC 251 ERROR
Description;DMA circuit cut-in error
Remedy;Replace the Controller board.
Code;31
Display;SVC 31 ERROR
Description;Download Error (Memory Location Error)
Remedy;Replace the Controller or MCTL board.
Code;32
Display;SVC 32 ERROR
Description;Download Error (Flash ROM Erase /Light Error)
Remedy;Replace the Controller or MCTL board.
Code;33
Display;SVC 33 ERROR
Description;Download Error (Another Serious Error)
Remedy;Replace the Controller or MCTL board.
Code;41
Display;SVC 41 ERROR
Description;Pipe line Handling Error (DMA Error)
Remedy;Replace the Controller or MCTL board.
Code;411
Display;SVC 411 ERROR
Description;IRQ timer 1 error
Remedy;Replace the Controller board.
Code;412
Display;SVC 412 ERROR
Description;IRQ timer 2 error
Remedy;Replace the Controller board.
Code;42
Display;SVC 42 ERROR
Description;Pipe line Handling Error (Time-out Error)
Remedy;Replace the Controller or MCTL board.
Code;43
Display;SVC 43 ERROR
Description;Pipe line Handling Error (DMA Error)
Remedy;Replace the Controller or MCTL board.
Code;61
Display;SVC 61 ERROR
Description;Program Process Error
Remedy;Replace the Controller or MCTL board.
Code;C3
Display;SVC C3 ERROR
Description;NVRAM Error
Remedy;
Code;C4
Display;SVC C4 ERROR
Description;MTCL Board Error
Remedy;
Code;C7
Display;SVC C7 ERROR
Description;Process Timing Error
Remedy;
Code;D1
Display;SVC D1 ERROR
Description;Development Motor 1 (DM1) Error
Remedy;
Code;D2
Display;SVC D2 ERROR
Description;Development Motor 2 (DM2) Error
Remedy;
Code;E0
Display;SVC E0 ERROR
Description;Development Motor 1 (DM1) Over Current Error
Remedy;
Code;E1
Display;SVC E1 ERROR
Description;Development Motor 2 (DM2) Over Current Error
Remedy;
Code;E2
Display;SVC E2 ERROR
Description;Main Motor (MM) Error
Remedy;
Code;E3
Display;SVC E3 ERROR
Description;Transfer Belt Error
Remedy;
Code;E5
Display;SVC E5 ERROR
Description;Transfer Roller Clutch Error
Remedy;
Code;E6
Display;SVC E6 ERROR
Description;Transfer Unit Cleaning Solenoid Error
Remedy;
Code;E7
Display;SVC E7 ERROR
Description;Paper Feed Clutch Error
Remedy;
Code;E8
Display;SVC E8 ERROR
Description;Registration Clutch Error
Remedy;
Code;E9
Display;SVC E9 ERROR
Description;OPC Marker Sensor Error
Remedy;
Code;EL
Display;SVC EL ERROR
Description;Erase Lamp Error
Remedy;
Code;F0
Display;SVC F0 ERROR
Description;Power Supply Fan Motor Error
Remedy;
Code;F4
Display;SVC F4 ERROR
Description;Paper Exit Fan Error
Remedy;
Code;F5
Display;SVC F5 ERROR
Description;HV Power Supply Error
Remedy;
Code;F6
Display;SVC F6 ERROR
Description;LV Power Supply Error
Remedy;
Code;H0
Display;SVC H0 ERROR
Description;Fuser Thermistor Error
Remedy;
Code;H1
Display;SVC H1 ERROR
Description;Fuser Lamp Error
Remedy;Replace the fusing unit or MCTL board.
Code;H2
Display;SVC H2 ERROR
Description;Fuser Temperature Error (Warming-Up)
Remedy;Check the input voltage. Replace the fusing unit, MCTL board, or LV power supply unit.
Code;H3
Display;SVC H3 ERROR
Description;Fuser Temperature Error (Printing)
Remedy;Check the input voltage. Replace the fusing unit, MCTL board, or LV power supply unit.
Code;H4
Display;SVC H4 ERROR
Description;Fuser Temperature High Error
Remedy;Replace the fusing unit, MCTL board, or LV power supply unit.
Code;HA
Display;SVC HA ERROR
Description;Fuser ACOFF Error (Relay Off)
Remedy;Replace the fusing unit, MCTL board, or LV power supply unit.
Code;L1
Display;SVC L1 ERROR
Description;Beam Detector Error (BDT Error)
Remedy;
Code;L2
Display;SVC L2 ERROR
Description;Scanner Motor Error
Remedy;
Code;LL
Display;SVC LL ERROR
Description;Laser Power Error
Remedy;
Code;N3
Display;SVC N3 ERROR
Description;HVU Connection Error
Remedy;
Code;N4
Display;SVC N4 ERROR
Description;Toner Empty Sensor Error 1
Remedy;
Code;N5
Display;SVC N5 ERROR
Description;Toner Empty Sensor Error 2
Remedy;
Code;N6
Display;SVC N6 ERROR
Description;LFU Connection Error
Remedy;
Code;P6
Display;SVC P6 ERROR
Description;Pick-up Clutch Error 1
Remedy;
