Code;SC195-00
Description;Machine serial number error Comparison of the product identification code in the machine serial number (11 digits).
Causes;The product identification code in the machine serial number (11 digits) does not match.
Remedy;Re-enter the machine serial number.
Code;SC202-01
Description;Polygon Motor (M1) Error at Machine Startup (Black/Magenta) The steady signal of the motor does not turn on after passing 6s since the polygon motor starts up.
Causes;• The connector is not properly connected or the wire is faulty. • The Laser unit defective is faulty. • The firmware is faulty. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. Laser unit (KM) - Main/engine PCB (PCB1) 2. Replace the laser unit (KM). 3. Upgrade the engine firmware to the latest version. 4. Replace the main/engine PCB (PCB1).
Code;SC202-02
Description;Polygon Motor (M1) Error during Operation (Black/Magenta) The steady signal of the motor turns off for 6s in succession after the polygon motor was stabilized.
Causes;• The connector is not properly connected or the wire is faulty. • The Laser unit defective is faulty. • The firmware is faulty. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. Laser unit (KM) - Main/engine PCB (PCB1) 2. Replace the laser unit (KM). 3. Upgrade the engine firmware to the latest version. 4. Replace the main/engine PCB (PCB1).
Code;SC203-01
Description;Polygon Motor (M1) Error at Machine Startup (Cyan/Yellow) The steady signal of the motor does not turn on after passing 6s since the polygon motor starts up.
Causes;• The connector is not properly connected or the wire is faulty. • The Laser unit defective is faulty. • The firmware is faulty. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. Laser unit (CY) - Main/engine PCB (PCB1) 2. Replace the laser unit (CY). 3. Upgrade the engine firmware to the latest version. 4. Replace the main/engine PCB (PCB1).
Code;SC203-02
Description;Polygon Motor (M1) Error during Operation (Cyan/Yellow) The steady signal of the motor turns off for 6s in succession after the polygon motor was stabilized.
Causes;• The connector is not properly connected or the wire is faulty. • The Laser unit defective is faulty. • The firmware is faulty. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. Laser unit (CY) - Main/engine PCB (PCB1) 2. Replace the laser unit (CY). 3. Upgrade the engine firmware to the latest version. 4. Replace the main/engine PCB (PCB1).
Code;SC220-01 ... SC220-04
Description;"Leading Edge: LD synchronization detection error (01: Bk, 02: C, 03: M, 04: Y) The leading edge LD synchronization detection signal was not output within the specified time (sec.). Error detection timing; During the startup operation of the machine or during printing."
Causes;• Laser unit defective (Synchronization optical system defective, LDB (PCB12/ PCB14/ PCB16/ PCB18) defective, LD defective) • BiCU (PCB2) defective (Image writing ASIC defective) • LDB (PCB12/ PCB14/ PCB16/ PCB18) - BiCU (PCB2) harness broken, or connector disconnected
Remedy;1. Turn the main power OFF/ON. 2. Check for condensation on the mirrors and lenses. 3. Reconnect the connectors between LDB (PCB12/PCB14/PCB16/PCB18) and BiCU (PCB2). 4. Replace the laser unit. 5. Replace the BiCU (PCB2). 6. Replace the harness between LDB (PCB12/PCB14/PCB16/PCB18) and BiCU (PCB2).
Code;SC230-01 ... SC230-04
Description;"FGATE*1: Does not turn ON.(01: Bk, 02: C, 03: M, 04: Y) FGATE signal was not output even though it is time to start writing. Error detection timing; During printing."
Causes;• The BiCU (PCB2) and the controller board (PCB3) are not properly connected. • BiCU (PCB2) defective (Image writing ASIC defective)
Remedy;• Turn the power OFF and then ON. • Check the connection between the BiCU (PCB2) and the controller board (PCB3). • Replace the BiCU (PCB2). (*1)FGATE: Signals used between the controller and the engine in order to send the information about the sub scan length of the page to be printed.
Code;SC230-11 ... SC230-14
Description;"FGATE*1: Does not turn ON: Image Transfer Error (11: Bk, 12: C, 13: M, 14: Y) FGATE signal was not output even though it is time to start writing. Error detection timing; During printing."
Causes;• The BiCU (PCB2) and the controller board (PCB3) are not properly connected. • BiCU (PCB2) defective (Image writing ASIC defective)
Remedy;• Turn the power OFF and then ON. • Check the connection between the BiCU (PCB2) and the controller board (PCB3). • Replace the BiCU (PCB2). (*1)FGATE: Signals used between the controller and the engine in order to send the information about the sub scan length of the page to be printed.
Code;SC231-01 ... SC231-04
Description;"FGATE*1: Does not turn OFF.(01: Bk, 02: C, 03: M, 04: Y) FGATE signal does not turn off even though it is time to stop writing. Error detection timing; During printing."
Causes;• The BiCU (PCB2) and the controller board (PCB3) are not properly connected. • BiCU (PCB2) defective (Image writing ASIC defective)
Remedy;• Turn the power OFF and then ON. • Check the connection between the BiCU (PCB2) and the controller board (PCB3). • Replace the BiCU (PCB2). (*1)FGATE: Signals used between the controller and the engine in order to send the information about the sub scan length of the page to be printed.
Code;SC240-01 ... SC240-04
Description;"LD Error (01: Bk, 02: C, 03: M, 04: Y) LD driver initialization process was not completed properly. Error detection timing; During machine startup."
Causes;• LDB (PCB12/PCB14/PCB16/PCB18) harnesses are not properly connected. • LD degradation • LDB (PCB12/PCB14/PCB16/PCB18) defective • LDB (PCB12/PCB14/PCB16/PCB18) harnesses defective
Remedy;• Turn the power OFF and then ON. • Check the connection between the LDB (PCB12/PCB14/PCB16/PCB18) and the BiCU (PCB2). • Replace the laser unit. • Replace the harness between the LDB (PCB12/PCB14/PCB16/PCB18) and the BiCU (PCB2).
Code;SC260-01
Description;Laser unit thermistor KM (TH3) error The sensor input sampling exceeds the reference value. (After detection, controlled at 25 °C / 77.0 °F)
Causes;• The connector is not properly connected or the wire is faulty. • The laser unit is faulty. • The firmware is not the latest version. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. Laser unit (KM) - Main/engince PCB (PCB1) 2. Replace the laser unit (KM). 3. Upgrade the engine firmware to the latest version. 4. Replace the main/engine PCB (PCB1).
Code;SC260-02
Description;Laser unit thermistor CY (TH4) error The sensor input sampling exceeds the reference value. (After detection, controlled at 25 °C / 77.0 °F)
Causes;• The connector is not properly connected or the wire is faulty. • The laser unit is faulty. • The firmware is not the latest version. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. Laser unit (CY) - Main/engince PCB (PCB1) 2. Replace the laser unit (CY). 3. Upgrade the engine firmware to the latest version. 4. Replace the main/engine PCB (PCB1).
Code;SC271-00
Description;Laser unit cleaning motor (M10) error Excess current was detected for 5 seconds continuously during the laser unit cleaning motor (M10) operation.
Causes;• The laser unit cleaning drive gear or the cleaning spiral does not smoothly rotate due to the load. • The laser unit cleaning drive gear or the cleaning spiral is deformed or there is a fault in them. • The connector is not properly connected or the wire is faulty. • The laser unit cleaning motor (M10) is not properly attached, or it is faulty. • The firmware is not the latest version. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Execute laser scanner cleaning. 2. Clean the laser unit cleaning drive gear and the cleaning spiral, and then apply grease to these parts. 3. Replace the laser unit. 4. Clean the terminal of the following wire connectors and reconnect the connectors. If there is no continuity, replace the wire. Laser unit cleaning motor (M10) - Engine relay PCB (PCB21) 5. Reattach the laser unit cleaning motor (M10). If it is not repaired, replace it. 6. Upgrade the engine firmware to the latest version. 7. Replace the main/engine PCB (PCB1).
Code;SC302-01
Description;Charge current error (black) The rush-in current to drum unit K is less at the Vpp adjustment for the main charge adjustment.
Causes;• The drum or drum screw does not rotate normally. • The main charger unit is not attached properly. • FFC is not properly connected, or it is faulty. • The HVP (PCB19) is faulty. • The firmware is not the latest version. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Replace the drum unit. 2. Reinstall the main charger unit on the drum unit properly. If it is not resolved, replace the main charger unit. 3. Clean the following FFC terminal of the FFC and reconnect. If the FFC terminal is deformed or FFC is short circuited, replace FFC. HVP (PCB19) - main/engine PCB (PCB1) 4. Replace the HVP (PCB19). 5. Upgrade the main firmware and the engine firmware to the latest version. 6. Replace the main/engine PCB (PCB1).
Code;SC302-02
Description;Charge current error (cyan) The rush-in current to drum unit C is less at the Vpp adjustment for the main charge adjustment.
Causes;• The drum or drum screw does not rotate normally. • The main charger unit is not attached properly. • FFC is not properly connected, or it is faulty. • The HVP (PCB19) is faulty. • The firmware is not the latest version. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Replace the drum unit. 2. Reinstall the main charger unit on the drum unit properly. If it is not resolved, replace the main charger unit. 3. Clean the following FFC terminal of the FFC and reconnect. If the FFC terminal is deformed or FFC is short circuited, replace FFC. HVP (PCB19) - main/engine PCB (PCB1) 4. Replace the HVP (PCB19). 5. Upgrade the main firmware and the engine firmware to the latest version. 6. Replace the main/engine PCB (PCB1).
Code;SC302-03
Description;Charge current error (magenta) The rush-in current to drum unit M is less at the Vpp adjustment for the main charge adjustment.
Causes;• The drum or drum screw does not rotate normally. • The main charger unit is not attached properly. • FFC is not properly connected, or it is faulty. • The HVP (PCB19) is faulty. • The firmware is not the latest version. • The main/engine PCB (PCB1) is faulty.
Remedy;1. Replace the drum unit. 2. Reinstall the main charger unit on the drum unit properly. If it is not resolved, replace the main charger unit. 3. Clean the following FFC terminal of the FFC and reconnect. If the FFC terminal is deformed or FFC is short circuited, replace FFC. HVP (PCB19) - main/engine PCB (PCB1) 4. Replace the HVP (PCB19). 5. Upgrade the main firmware and the engine firmware to the latest version. 6. Replace the main/engine PCB (PCB1).
Code;SC302-04
Description;Charge current error (yellow) The rush-in current to drum unit Y is less at the Vpp adjustment for the main charge adjustment.
