Code;SC101-00
Description;Exposure Lamp Error
Causes;The scanner has scanned the white plate, but cannot detect the certain white level. • Defective exposure lamp • Defective exposure lamp stabilizer • Defective power source harness • Defective signal harness • High-voltage cable leak • Defective darkness starting characteristic
Remedy;Turn the main power OFF and then ON.
Code;SC101-01
Description;Exposure Lamp Error
Causes;The scanner has scanned the white plate, but cannot detect the certain white level. • Defective exposure lamp • Defective exposure lamp stabilizer • Defective power source harness • Defective signal harness • High-voltage cable leak • Defective darkness starting characteristic
Remedy;Turn the main power OFF and then ON.
Code;SC120
Description;Scanner home position error 1
Causes;The scanner home position sensor does not detect the scanner leaving the home position. • Defective scanner home position sensor • Defective scanner home position sensor harness • Defective scanner motor driver • Defective scanner motor
Remedy;Turn the main power OFF and then ON.
Code;SC121
Description;Scanner home position error 2
Causes;The scanner home position sensor does not detect the scanner coming back to the home position. • Defective scanner home position sensor • Defective scanner home position sensor harness • Defective scanner motor driver • Defective scanner motor
Remedy;Turn the main power OFF and then ON.
Code;SC230-00
Description;FGATE*1 : Does not turn ON. (*1)FGATE: Signals used between the controller and the engine in order to send the information about the sub scan length of the page to be printed.
Causes;GPIO*2 has not been asserted, although the specified time (200 ms) elapsed after setting JOB to be started and reaching the FGAT assert time. • Engine board defective • ASIC defective • Controller board defective • Harness disconnection (*2)GPIO: A type of input/output terminal
Remedy;Turn the main power OFF and then ON.
Code;SC231-00
Description;FGATE*1: Does not turn OFF. (*1)FGATE: Signals used between the controller and the engine in order to send the information about the sub scan length of the page to be printed.
Causes;GPIO*2 has not been negated, although the specified time (200 ms) elapsed after detecting GPIO*assert and then reaching the expected FGATE negate time. • Engine board defective • Write ASIC defective • Controller board defective • Harness disconnection (*2)GPIO: A type of input/output terminal
Remedy;Turn the main power OFF and then ON.
Code;SC270-00
Description;Write ASIC communication error
Causes;The unique ID of the write ASIC was not read normally. • Engine board defective • Write ASIC defective
Remedy;• Turn the main power OFF and then ON. • Engine Board
Code;SC277-00
Description;LEDA communication error
Causes;The head type data was read three times in succession (277-00) • Defective ASIC • Defective LEDA (277-10) • LEDA power source error
Remedy;• Turn the main power OFF and then ON. • Replace the LED head
Code;SC277-10
Description;LEDA communication error
Causes;The head type data was read three times in succession (277-00) • Defective ASIC • Defective LEDA (277-10) • LEDA power source error
Remedy;• Turn the main power OFF and then ON. • Replace the LED head
Code;SC302
Description;High voltage output error: Charge unit /Development unit
Causes;This SC is issued if the BCU detects a short in the power pack 10 times consecutively.
Remedy;Open circuit (+) / Short circuit (-) • Turn the main power OFF and then ON. • Replace the controller board. • Check the connector connection.
Code;SC332-00
Description;Toner supply transfer lock
Causes;This SC is issued if the error that the toner is not supplied is detected n times consecutively (n: SP2-931-005) on the condition that the toner cartridge is not in end • Overload on the toner transferring part (clogging of toner) • Screw for detecting PCDU does not turn • Detector element (sensor) defective: light leak • Supplying pick does not engage • Defective Supplying clutch • Defective Drive mechanism of screw for supplying toner cartridge
Remedy;• Turn the main power OFF and then ON.
Code;SC364-00
Description;TE sensor output count error
Causes;When the average value of the toner end sensor output count is 0 n times consecutively (n: SP2-931-003) • Connector contact failure/disconnected/broken • Detector element (sensor) does not emit light • Detecting surface inside the developing device is stained
Remedy;• Turn the main power OFF and then ON.
Code;SC440-00
Description;High voltage output error: Transfer unit
Causes;This SC is issued if the BCU detects a short in the power pack 10 times consecutively.
Remedy;Open circuit (+) / Short circuit (-) • Turn the main power OFF and then ON. • Replace the controller board. • Check the connector connection.
Code;SC498-00
Description;Temperature/humidity Sensor error
Causes;• Temperature sensor output error: Out of range between 0.76 V and 2.90 V • Humidity sensor output error: 2.4 V or more • Unmounted sensor (Disconnected connector or broken wire) • Failed sensor
Remedy;• Turn the main power OFF and then ON. • Check that the connector is set. • Set the sensor. • Replace the sensor. • Replace the connector.
Code;SC508-00
Description;By-pass bottom plate operation error
Causes;The signal from the by-pass bottom plate position sensor has not changed (the signal has not changed from ON to OFF or vice versa) for 4 seconds or more after the start of reverse Paper Feed Unit rotation, If the error is detected three times in succession, the SC number is displayed on the operation panel. • By-pass bottom plate sensor connector disconnected or other error • By-pass bottom plate sensor feeler stuck or other error
Remedy;• Check and replace the by-pass bottom plate sensor connector connection. • Replace the by-pass bottom plate sensor feeler. • Replace the Paper Feed Motor. • Replace the harness. • Replace the BCU.
Code;SC520-00
Description;Main motor error
Causes;When the main motor is driven, the lock (state of rotation) signal is checked every 100 milliseconds. If the machine detects the lock signal in the High status 20 times in succession, it reports this error. • The main motor incurs too much load from a defective unit. • The main motor is defective.
Remedy;• Replace the defective unit or the motor
Code;SC530-00
Description;Fusing fan error
Causes;The fan motor lock (rotating state) signal is sampled at 100 ms intervals and the machine fails to receive the lock signal 50 times in succession. • Failed fan motor • Disconnected connector
Remedy;• Replace the fan motor. • Check the connector. • Replace the harness. • Replace the IOB.
Code;SC531-00
Description;Development Cooling fan error
Causes;The fan motor lock (rotating state) signal is sampled at 100 ms intervals and the machine fails to receive the lock signal 50 times in succession. • Failed fan motor • Disconnected connector • Harness disconnection • Defective IOB
Remedy;• Replace the fan motor. • Check the connector. • Replace the harness. • Replace the IOB.
