Code;I01
Description;Maintenance call
Causes;1403 The maintenance call guideline value for printing quantity has been reached
Remedy;Do one of the following. • Press the Close button. • In test mode 01900, set the maintenance guideline value to 0. Note: To resolve the underlying problem, change the setting in test mode 01900.
Code;I02
Description;Waste ink tank nearly full
Causes;2062 It is almost time to replace the waste ink tank. Waste ink tank sensor 1 (top): ON Waste ink tank sensor 2 (bottom): ON
Remedy;Do one of the following. • Press the Close button. • Remove the waste ink tank. • Allow the waste ink tank to become full (the message will be cleared automatically). Note: To resolve the underlying problem, remove and replace the waste ink tank.
Code;I03
Description;Operating in temporary registration status
Causes;1814 Printer operating in temporary registration mode
Remedy;Do one of the following. • Press the Close button. • Access test mode 08400 to force official registration of the printer. • Allow the period of temporary registration to expire (the message will be cleared automatically). Note: To resolve the underlying problem, change the setting in test mode 08400.
Code;I04
Description;Unsupported ink
Causes;2098 1 No ink ejection waveform (parameters) for the loaded black ink 2098 2 No ink ejection waveform (parameters) for the loaded cyan ink 2098 3 No ink ejection waveform (parameters) for the loaded magenta ink 2098 4 No ink ejection waveform (parameters) for the loaded yellow ink
Remedy;Do one of the following. • Press the Close button. • Remove the relevant ink cartridge. • Update the version of the engine program. Note: To resolve the underlying problem: • Replace the ink with a supported ink cartridge. • Update the program and enter ink ejection parameters compatible with the version of the loaded ink.
Code;I05
Description;Using ink for another model
Causes;2099 1 Unsupported black ink is installed after the period of temporary registration. 2099 2 Unsupported cyan ink is installed after the period of temporary registration. 2099 3 Unsupported magenta ink is installed after the period of temporary registration. 2099 4 Unsupported yellow ink is installed after the period of temporary registration.
Remedy;Do one of the following. • Press the Close button. • Remove the relevant ink cartridge. • Allow the period of temporary registration to expire (the message will be cleared automatically). Note: To resolve the underlying problem, replace the ink with ink compatible with machine information.
Code;I06
Description;Outgoing queue nearly full
Causes;0065 The outgoing queue for online remote functions is nearly full (at 80% capacity).
Remedy;Do one of the following. • Press the Close button. • Access test mode 00414 to save data for which transmission failed on a USB memory device. Note: To resolve the underlying problem, access test mode 00746, check settings such as settings for communication with the admin server, and establish communication between the online remote server and printer.
Code;I08
Description;BP belt maintenance request
Causes;0229 1 The CIS is reading the BP belt density to be over 30%. Check the BP belt for ink stains. 0229 2 The paper width or center of the paper detected by CIS is off position over the allowed distance. Check the BP belt for ink stains
