Code;Ba
Description;Battery problem
Code;CL
Description;Door interlock
Code;H1
Description;high fuser temperature
Code;H16
Description;Total counter unplugged, or 24 volt problem
Code;H3
Description;Low fuser temperature
Code;H6
Description;Lens home problem
Code;H8
Description;Scan problem
Code;HA
Description;Doc. Feeder interface to copier
Code;J0
Description;Feed jam
Code;J1
Description;Internal jam
Code;J3
Description;Internal or exit jam
Code;J4
Description;Jam in drum area
Code;J8
Description;Jam in document feeder
Code;PE
Description;Paper empty
