Code;E1 00
Description;Communication setup error, framing, parity, protocol error
Causes;E-Sort PWB connector disconnection E-Sort PWB MCU PWB harness failure E-Sort Motherboard connector pin breakage. E-Sort PWB ROM defect, data failure
Remedy;Check the connectors and harness of the E-Sort PWB and the MCU PWB. Check grounding of the machine. Check the ROM of the E-Sort PWB.
Code;E1 10
Description;Communication trouble between MCU and E-Sort
Causes;E-Sort PWB connector disconnection E-Sort PWB MCU PWB harness failure E-Sort Motherboard connector pin breakage. E-Sort PWB ROM defect, data failure
Remedy;Check the connectors and harness of the E-Sort PWB and the MCU PWB. Check grounding of the machine. Check the ROM of the E-Sort PWB.
Code;E1 80
Description;E-Sort PWB communication trouble (protocol). Communication trouble between MCU and printer PWB (Protocol error)
Causes;E-Sort PWB connector disconnection E-Sort PWB MCU PWB harness failure E-Sort Motherboard connector pin breakage. E-Sort PWB ROM defect, data failure
Remedy;Check the connectors and harness of the E-Sort PWB and the MCU PWB. Check grounding of the machine. Check the ROM of the E-Sort PWB.
Code;E1 81
Description;E-Sort PWB communication trouble (Parity). Communication trouble between MCU and printer E-Sort (Parity error)
Causes;E-Sort PWB connector disconnection E-Sort PWB MCU PWB harness failure E-Sort Motherboard connector pin breakage. E-Sort PWB ROM defect, data failure
Remedy;Check the connectors and harness of the E-Sort PWB and the MCU PWB. Check grounding of the machine. Check the ROM of the E-Sort PWB.
Code;E1 82
Description;E-Sort PWB communication trouble (Overrun). Communication trouble between MCU and E-Sort PWB (Overrun error)
Causes;E-Sort PWB connector disconnection E-Sort PWB MCU PWB harness failure E-Sort Motherboard connector pin breakage. E-Sort PWB ROM defect, data failure
Remedy;Check the connectors and harness of the E-Sort PWB and the MCU PWB. Check grounding of the machine. Check the ROM of the E-Sort PWB.
Code;E1 84
Description;Communication trouble between MCU and E-Sort PWB (Framing error)
Causes;E-Sort PWB connector disconnection E-Sort PWB MCU PWB harness failure E-Sort Motherboard connector pin breakage. E-Sort PWB ROM defect, data failure
Remedy;Check the connectors and harness of the E-Sort PWB and the MCU PWB. Check grounding of the machine. Check the ROM of the E-Sort PWB.
Code;E1 88
Description;Communication trouble between MCU and E-Sort PWB (Time-out error)
Causes;E-Sort PWB connector disconnection E-Sort PWB MCU PWB harness failure E-Sort Motherboard connector pin breakage. E-Sort PWB ROM defect, data failure
Remedy;Check the connectors and harness of the E-Sort PWB and the MCU PWB. Check grounding of the machine. Check the ROM of the E-Sort PWB.
Code;E11 11
Description;E-Sort PWB ASIC abnormality
Causes;An ASIC abnormality is detected in the E-Sort PWB. Control circuit hung up due to noises ASIC peripheral circuit error
Remedy;Replace the E-Sort PWB. Check grounding of the machine.
Code;E11 12
Description;E-Sort PWB CODEC error
Causes;A CODEC error is detected in the E-Sort PWB. Control circuit hung up due to noises CODEC peripheral circuit error
Remedy;Replace the E-Sort PWB. Check grounding of the machine.
Code;E11 13
Description;E-Sort PWB Flash ROM abnormality
Causes;A Flash ROM abnormality is detected in the E-Sort PWB. Control circuit hung up due to noises Flash ROM peripheral circuit error
Remedy;Replace the E-Sort PWB. Rewrite the flash ROM data. Check grounding of the machine.
Code;E11 14
Description;E-Sort PWB Work RAM abnormality
Causes;A Work RAM abnormality is detected in the E-Sort PWB. Control circuit hung up due to noises RAM peripheral circuit error
Remedy;Replace the E-Sort PWB. Check grounding of the machine.
Code;E11 15
Description;E-Sort PWB Page Memory abnormality
Causes;A Page Memory abnormality is detected in the E-Sort PWB. Control circuit hung up due to noises Page Memory peripheral circuit error
Remedy;Replace the E-Sort PWB. Check grounding of the machine.
Code;E11 16
Description;E-Sort PWB SIMM abnormality
