Code;A0-01
Description;PCU PWB ROM error
Causes;The firmware version-up is not completed properly by interruption of the power during the version-up operation, etc. PCU PWB trouble.
Remedy;Use SIM49-1 to perform the firmware version-up procedure again. Replace the PCU PWB.
Code;A0-02
Description;SCN-MFP PWB ROM error
Causes;The firmware version-up is not completed properly by interruption of the power during the version-up operation, etc. SCN-MFP PWB trouble.
Remedy;Use SIM49-1 to perform the firmware version-up procedure again. Replace the SCN-MFP PWB.
Code;A0-04
Description;ACU ROM error
Causes;Scanner expansion PWB (ACU) (ACRE) ROM data error. An error occurs during firmware upgrading for some reasons.
Remedy;Perform firmware upgrading again.
Code;A0-10
Description;Controller ROM error
Causes;The content of the color profile is abnormal. Combination error between the SCN-MFP PWB firmware and the color profile
Remedy;Upgrade the firmware collectively. Replace the SCN-MFP PWB.
Code;A0-15
Description;Incompatible DSK BOOT and program firmware
Causes;Installation of the normal firmware was performed with a security kit enable.
Remedy;Stop installation of the normal firmware.
Code;A0-17
Description;Inconsistency between the UI data and the CPU firmware version
Causes;Combination error between the UI contents data and the CPU UI firmware version.
Remedy;Install the firmware in the all-firmware version-up mode.
Code;A0-18
Description;Conflict firmware version ASIC-MAIN
Causes;Combination version error in MFPC ASIC
Remedy;Check the combination of the firmware. Use SIM49-1 to perform the firmware version-up procedure again.
Code;A0-20
Description;Machine level error (CTL detection)
Causes;Inconsistency between the MFP firmware version and the EEPROM data version.
Remedy;Check the combination of the firmware.
Code;A0-21
Description;Machine level error (PCU detection)
Causes;Inconsistency between the PCU firmware version and the EEPROM data version.
Remedy;Check the combination of the firmware.
Code;A0-22
Description;Conflict firmware and EEPROM data version (SCN-MFP)
Causes;Inconsistency between the SCN-MFP PWB firmware version and the EEPROM data version.
Remedy;Check the combination of the firmware.
Code;C1-01
Description;Charger cleaner trouble (K)
Causes;Charger unit trouble. HP sensor, motor, PCU PWB, harness connection trouble.
Remedy;Check charger unit, PCU PWB, harness connection.
Code;C1-03
Description;Charger cleaner trouble (C)
Causes;Charger unit trouble. HP sensor, motor, PCU PWB, harness connection trouble.
Remedy;Check charger unit, PCU PWB, harness connection.
Code;C1-05
Description;Charger cleaner trouble (M)
Causes;Charger unit trouble. HP sensor, motor, PCU PWB, harness connection trouble.
Remedy;Check charger unit, PCU PWB, harness connection.
Code;C1-07
Description;Charger cleaner trouble (Y)
Causes;Charger unit trouble. HP sensor, motor, PCU PWB, harness connection trouble.
Remedy;Check charger unit, PCU PWB, harness connection.
Code;C1-10
Description;Main charger trouble (Monochrome)
Causes;Open circuit or short circuit of the main charger (Black) output
Remedy;"1) Check & Remedy Use SIM8-2 to check the output of [GB-K]. If the leakage noise or the flickering on the screen of the panel is detected; (1) Abnormality of the charger (BK) -> Remove and insert the charger (BK) or replace the charger (BK). (2) Imperfect insertion of the charger (BK) -> Remove and insert the charger (BK). (3) Abnormality of MC-K harness (Transformer B801 of the high-voltage MC PWB) -> Remove and insert MC-K harness or replace MCK harness. (4)Abnormality of GB-K/DV-KCMY wiring -> Check GB-K/DV-KCMY wiring./Replace. (5) Abnormality of the developing unit (K/C/M/Y) -> Insert and remove the developing unit./Replace. (6) Abnormality of the high voltage MC PWB spring contact (GB,DV). -> Check the high voltage MC PWB spring contact. 2) Check & Remedy Use SIM8-2 to check the output of [GB-K]. If the leakage noise etc. is not detected; (1) Charger (BK) not inserted. -> Insert the Charger (BK). (2) Disconnection/ breakage of MC-K harness (Transformer B801 of the high-voltage MC PWB) -> Insert the harness./Replace. (3) High MC PWB trouble. -> Replace the high MC PWB. (4) PCU PWB trouble -> Replace PCU PWB."
Code;C1-15
Description;High voltage MC Black circuit trouble
Causes;1) Pin getting away of a harness (MC-K-ERR) and breaking (MC PWB Input connector CN1-10pin) 2) High-voltage error circuit (MC-K-ERR) damage
Remedy;1) Check connection of the harness.(MC PWB Input connector CN1-10pin) Replace the harness. 2) Check disconnection of the high voltage MC PWB connector./Replace.
Code;C1-16
Description;High voltage MC color circuit trouble
Causes;1) Pin getting away of a harness (MC-CMY-ERR) and breaking (MC PWB Input connector CN1-11pin) 2) High-voltage error circuit (MC-CMYERR) damage 3) 24V fuse meltdown in the high voltage MC PWB
Remedy;1) Check connection of the harness.(MC PWB Input connector CN1-11pin) Replace the harness. 2) 3) Check disconnection of the high voltage MC PWB connector./Replace.
Code;C1-40
Description;High voltage MC PWB trouble
Causes;1) Input harness disconnection in the high voltage MC PWB. 2) Harness (MC-K-ERR, MC-CMY-ERR) pin disconnection (MC PWB input connector CN1- 10pin,CN1-11pin) 3) 24V fuse meltdown in the high voltage MC PWB 4) High voltage error circuit (MC-K-ERR, MC-CMYERR) breakage in the high voltage MC PWB
Remedy;1) Check the harness and the connector (MC PWB Input connector CN1) 2) Check or replace the harness.(MC PWB input connector CN1-10pin, CN1-11pin) 3) 4) Replace the MC PWB
Code;C1-41
Description;High voltage MC/TC PWB trouble
Causes;1) PCU connector (input harness to the high voltage MC PWB and the TC PWB) disconnection. (PCU PWB input CN10) 2) Both input connectors disconnections of the high voltage MC PWB and the high voltage TC PWB.(MC PWB input connector CN1,TC PWB input connector CN1) 3) 24V fuses meltdown in the high voltage MC PWB and the high voltage TC PWB
Remedy;1) Check the connections of the connectors to the high voltage MC PWB and the high voltage TC PWB on the PCU PWB or connect these connectors again (PCU PWB input CN10). 2) Check the connectors of the high voltage MC PWB and the high voltage TC PWB and connect these connectors again.(MC PWB input connector CN1,TC PWB input connector CN1) 3) Check or replace the high voltage MC PWB and the high voltage TC PWB
Code;C4-00
Description;PTC High-voltage output trouble
Causes;(1) Abnormality of PTC unit (2) Imperfection insertion of PTC unit (3) PTC unit not inserted (4) Disconnection, abnormality of PTC unit. (Transformer B801 of the high-voltage TC PWB) (5) High voltage TC PWB trouble (6) PCU PWB trouble
