Code;C1-00
Description;MC trouble Main charger output abnormality (Output open) Trouble signal is outputted from the high voltage transformer.
Causes;The main charger is not installed properly. The main charger is not assembled properly. Disconnection of connector of high voltage transformer. High voltage harness disconnection or breakage.
Remedy;Use the SIM 8-2 to check the main charger output. Check for disconnection of the main charger. Replace the high voltage unit.
Code;E6-11
Description;CSI shading trouble (White correction) The CIS white reference plate scan level is abnormal when the lamp is on.
Causes;Abnormal harness installation to CIS unit Dirt on the white reference plate. CIS lighting error CIS unit installation trouble CIS unit abnormality Scanner PWB abnormality
Remedy;Clean the white reference plate. Check CIS light quantity (SIM 5-3) and lighting. Check CIS unit harness. Check scanner PWB.
Code;E6-14
Description;CIS communication trouble Communication trouble (clock sync) between scanner PWB and CIS-ASIC
Causes;Abnormal harness installation to CIS unit CIS unit abnormality Scanner PWB abnormality
Remedy;Check CIS unit harness. Check CIS unit. Check scanner PWB.
Code;E7-01
Description;System data trouble  When in data storage/acquiring of the HDD system area, the HDD responds an error and does not respond for 30sec, it is judged as a trouble.
Causes;The HDD is not properly installed to the ICU PWB. The HDD does not work for the ICU PWB. ICU PWB abnormality
Remedy;Check installation of the HDD to the ICU PWB. Check harness connection of the HDD from the ICU PWB. Use SIM62-2, 3 to check the HDD read/write. Replace the HDD. Replace the ICU PWB.
Code;E7-02
Description;Laser trouble  BD signal from LSU is kept OFF, or ON.
Causes;The connector of LSU or the harness in LSU is disconnected or broken. The polygon motor does not rotate normally. The laser home position sensor in LSU is shifted. The proper voltage is not supplied to the power line for laser. Laser emitting diode trouble PCU PWB trouble ICU PWB trouble
Remedy;Check for disconnection of the LSU connector. Use SIM 61-1 to check LSU operation. Check that the polygon motor rotates normally or not. Check light emission of laser emitting diode. Replace the LSU unit. Replace the PCU PWB. Replace the ICU PWB.
Code;E7-03
Description;HDD trouble  HDD connection failure If the HDD responds an error or does not respond for 30sec, it is judged as an error. (Other than the system area) Data abnormality in the file management area (when the cluster chain is broken)
Causes;HDD is not installed properly to the ICU PWB. HDD does not operate properly in the ICU PWB. ICU PWB trouble
Remedy;Check installation of HDD to the ICU PWB. Check connection of the harness of HDD to the ICU PWB. Use SIM 62-2, -3 to check read/write of HDD. Replace HDD. Replace ICU PWB.
Code;E7-06
Description;Decode error trouble  A decode error occurs during making of an image.
Causes;Data error during input from PCI to PM. PM trouble Data error during image compression/ transfer. ICU PWB abnormality
Remedy;Check insertion of the PWB. (PCI bus) If the error occurred in a FAX job, check installation of the FAX PWB. For the other cases, check the ICU PWB. Replace the ICU PWB.
Code;E7-10
Description;Shading trouble (Black correction)  CCD black scan level abnormality when the copy lamp is off.
Causes;Abnormal installation of flat cable to CCD unit. CCD unit abnormality Scanner PWB abnormality
Remedy;Check installation of CCD unit flat cable. Check CCD unit. Check scanner PWB.
Code;E7-11
Description;Shading trouble (White correction all pixel adjustment)  CCD white reference plate scan level abnormality when the copy lamp is ON.
Causes;Abnormal installation of flat cable to CCD unit. Dirt on mirror, lens, white reference plate Copy lamp lighting abnormality Abnormal installation of CCD unit CCD unit abnormality Scanner PWB abnormality
Remedy;Clean mirror, lens, and white reference plate. Check copy lamp light quantity (SIM 5- 3) and lighting. Check CCD unit. Check scanner PWB.
Code;E7-14
Description;CCD communication trouble  Communication trouble (clock sync) between scanner PWB and CCD-ASIC
Causes;Abnormal installation of harness to CCD unit CCD unit abnormality Scanner PWB abnormality
Remedy;Check CCD unit harness. Check CCD unit. Check scanner PWB.
Code;E7-17
Description;SPF scanning position adjustment trouble (Detected only when executing an adjustment SIM.)  The black Mylar which serves as the reference of the SPF scanning position is not detected.
Causes;Black Mylar installing failure on the SPF side
Remedy;Check the SPF black Mylar.
Code;E7-50
Description;LSU connection trouble  An LSU which does not conform to the machine is installed.
Causes;LSU connection trouble PCU PWB trouble LSU trouble
Remedy;Check LSU PWB. Check PCU PWB. Check connection of the connector and the harness between PCU and LSU.
Code;E7-60
Description;Controller skating trouble  Occurrence of an error in controller skating check
Causes;Discrepancy in the combination of the controller PWB and the ROM
Remedy;Check the controller PWB. Check the combination of the controller PWB and the ROM.
Code;E7-80
Description;Communication trouble (ICU detection) between ICU and scanner  Communication establishment error/ Fleming/Parity/Protocol error
Causes;Defective connection of slave unit PWB connector Defective harness between slave unit PWB and ICU PWB Slave unit PWB mother board connector pin breakage
Remedy;Check connector and harness of slave unit PWB and ICU PWB. Check grounding of machine.
Code;E7-90
Description;Communication trouble (ICU detection) between ICU and PCU Communication establishment error/ Fleming/Parity/Protocol error
Causes;Defective connection of slave unit PWB connector Defective harness between slave unit PWB and ICU PWB Slave unit PWB mother board connector pin breakage
Remedy;Check connector and harness of slave unit PWB and ICU PWB. Check grounding of machine.
Code;EE-EL
Description;Auto developer adjustment trouble (Over-toner) The toner concentration output is detected as 1.5V or below in the auto development adjustment.
Causes;Toner concentration sensor trouble Charging voltage, developing voltage abnormality Insufficient toner concentration Developing unit trouble PCU PWB trouble
Remedy;Use SIM25-2 to perform auto developer adjustment.
Code;EE-EU
Description;Auto developer adjustment trouble (Under-toner) The toner concentration output is detected as 3.5V or above in the auto development adjustment.
Causes;Insufficient toner concentration Charging voltage, developing voltage abnormality Insufficient toner concentration Developing unit trouble PCU PWB trouble
Remedy;Use SIM25-2 to perform auto developer adjustment.
Code;F1-00
Description;Finisher communication trouble  Communication cable test error after turning on the power or exiting from SIM. Communication error with the finisher
