Code;A0-01
Description;PCU ROM error
Causes;The firmware version up is not completed properly by interruption of the power during the version up operation PCU PWB trouble
Remedy;SIM49-1 to execute the firmware version up Replace PCU PWB
Code;A0-02
Description;SCN ROM error
Causes;The firmware version up is not completed properly by interruption of the power during the version up operation. SCN MFP PWB trouble
Remedy;SIM49-1 to execute the firmware version up Replace SCN MFP PWB
Code;A0-06
Description;FAX ROM error
Causes;The content of FAX ROM is abnormal The firmware version up is not completed properly by interruption of the power during the version up operation. FAX PWB trouble
Remedy;SIM49-1 to execute the firmware version up Replace FAX PWB
Code;A0-10
Description;Color profile error
Causes;The content of the color profile is abnormal Combination inconsistency between MFP firmware and color profile
Remedy;SIM49-1 to execute the firmware version up Replace SCN MFP PWB
Code;A0-15
Description;Stored DSK data conflict
Causes;Inconsistency of ASIC MAIN firmware version
Remedy;Check ASIC MAIN firmware version Check installation state of TPM PWB
Code;A0-17
Description;UI data error
Causes;Inconsistency between UI contents and UI firmware version
Remedy;SIM49-1 to execute the firmware version up
Code;A0-18
Description;ASIC MAIN firmware inconsistent error
Causes;Inconsistency of ASIC firmware version in MFP
Remedy;SIM49-1 to execute the firmware version
Code;A0-19
Description;MFP boot error
Causes;ASIC trouble Memory trouble
Remedy;Extract and insert eMMC PWB Replace eMMC PWB Replace SCN MFP PWB
Code;A0-20
Description;MFP firmware and EEPROM data inconsistent error
Causes;Inconsistency between MFP firmware version and EEPROM data version
Remedy;SIM49-1 to execute the firmware version up
Code;A0-21
Description;PCU firmware and EEPROM data inconsistent error
Causes;Inconsistency between PCU firmware version and EEPROM data version
Remedy;SIM49-1 to execute the firmware version up
Code;A0-21
Description;PCU firmware and EEPROM data inconsistent error
Causes;Inconsistency between PCU firmware version and EEPROM data version
Remedy;SIM49-1 to execute the firmware version up
Code;A0-22
Description;SCN firmware and EEPROM data inconsistent error
Causes;Inconsistency between SCN firmware version and EEPROM data version
Remedy;SIM49-1 to execute the firmware version up
Code;C1-10
Description;Main charger error
