Code;A1
Description;Charge corona cleaner problem
Code;A2
Description;ADD problem
Code;A4
Description;Sorter problem
Code;A5
Description;Board problem
Code;A6
Description;Sorter board problem
Code;A7
Description;ADF interface
Code;AO
Description;Communication problem between main board and PFC
Code;C1
Description;Board problem
Code;C2
Description;Board problem
Code;C3
Description;Board problem
Code;C4
Description;Board problem
Code;C5
Description;Optics locked or not initialized. Could be scan or lens/mirror
Code;C7
Description;Fuser thermistoe problem, or low temperature
Code;C8
Description;Scan motor won`t shut off
Code;CA
Description;Main board problem
Code;CB
Description;ADF drive problem
Code;CC
Description;ADF drive problem
Code;CD
Description;BC RAM hardware
Code;CE
Description;BC RAM software
Code;CP
Description;Drive problem
Code;E0
Description;Waste toner full
Code;E1
Description;Jam
Code;E2
Description;Fuser jam
Code;E3
Description;Jam
Code;E4
Description;Front door was opened during copy run
Code;E5
Description;Feed jam
Code;E8
Description;Jam in ADD (duplex)
Code;E9
Description;Jam in pedestal
Code;EC
Description;ADF jam
Code;ED
Description;ADF jam
Code;EE
Description;ADF exit/reverse jam
