Code;C01
Description;Main motor abnormality: The main motor not rotating normally.
Remedy;Is the main motor working? (Perform the output check the test mode: 04-101/151)  NO 1) Check if the connector CN1 of the main motor is disconnected. 2) Check if the connector CN16 on the MAIN board is disconnected. 3) Check if the connector pins are disconnected and the harnesses are open circuited. 4) Check if the conductor patterns on the main motor board and MAIN board are short circuited or open circuited. 5) Replace the main motor. 6) Replace the MAIN board.YES the LED the main motor board lit without flickering?  NO 1) Check if the connector pins are disconnected and the harnesses are open circuited. 2) Check if the conductor patterns on the main motor board and MAIN board are short circuited or open circuited. 3) Replace the main motor. 4) Replace the MAIN board. YES 1) Check if the PLL lock signal CN305-B8 output from the MAIN board is always level “L”? 2) Check if the voltage supplied to the CPU input terminal IC24-12 is always “L”? 3) Replace the MAIN board.
Code;C04
Description;PFP motor abnormality: The PFP motor not rotating normally
Remedy;the PFP motor working? (Perform the output check the test mode: 04-109/159) NO 1) Check the signal line connector CN503 the PFP motor disconnected. Check the power line connector CN502 the PFP motor disconnected. Check the connector CN246 the PFP board disconnected. Check the signal line connector CN241 the PFP board disconnected. Check the power line connector CN242 the PFP board disconnected. Check the connector CN13 the MAIN board disconnected. Check the connector pins are disconnected and the harnesses are open circuited. Check the conductor patterns the PFP motor board, PFP board and MAIN board are short circuited open circuited. Replace the PFP motor. 10)Replace the PFP board. 11)Replace the MAIN board. YES the LED the PFP motor board lit without flickering?  NO 1) Check if the connector pins are disconnected and the harnesses are open circuited. 2) Check if the conductor patterns on the PFP motor board, PFP board and MAIN board are short circuited or open circuited. 3) Replace the PFP motor. 4) Replace the PFP board. 5) Replace the MAIN board. YES 1) Check if the PLL lock signal CN246-8 output from the PFP board is always “L” level. 2) Check if the voltage supplied to the microcomputer input terminal IC5-17 is always “L” level. 3) Replace the PFP board. 4) Replace the MAIN board.
Code;C07
Description;Exit motor overcurrent detection error
Remedy;
Code;C08
Description;ADU motor overcurrent detection error
Remedy;
Code;C15
Description;PFP upper drawer tray abnormality: The PFP upper drawer tray-up motor not rotating the PFP upper drawer tray not moving normally.
Remedy;Does the tray up? (Perform the output check the test mode: 04-278/280)  NO 1) Check if the connector of the tray-up motor is disconnected. 2) Check if any of the connectors CN241, CN242 and CN244 on the PFP board is disconnected. 3) Check if the connector CN13 on the MAIN board is disconnected. 4) Check if the connector pins are disconnected and the harnesses are open circuited. 5) Check if the conductor patterns on the PFP board and MIAN board are short circuited or open circuited. 6) Replace the PFP board. 7) Replace the MAIN board.YES the tray-up sensor working? (Perform the input check the test mode: 13-[04. SENSOR TEST])  NO 1) Check if the connector of the sensor is disconnected. 2) Check if any of the connectors CN241, CN247 and CN248 on the PFP board is disconnected. 3) Check if the connector CN13 on the MAIN board is disconnected. 4) Check if the slit reaches the sensor. 5) Check if the connector pins are disconnected and the harnesses are open circuited. 6) Check if the conductor patterns on the PFP board and MAIN board are short circuited or open circuited. 7) Replace the PFP board. 8) Replace the MAIN board. YES 1) Check if the conductor pattern on the MAIN board is short circuited or open circuited. 2) Replace the MAIN board.
Code;C16
Description;PFP lower drawer tray abnormality: The PFP lower drawer tray-up motor not rotating the PFP lower drawer tray not moving normally
Remedy;Does the tray up? (Perform the output check the test mode: 04-278/280)  NO 1) Check if the connector of the tray-up motor is disconnected. 2) Check if any of the connectors CN241, CN242 and CN244 on the PFP board is disconnected. 3) Check if the connector CN13 on the MAIN board is disconnected. 4) Check if the connector pins are disconnected and the harnesses are open circuited. 5) Check if the conductor patterns on the PFP board and MIAN board are short circuited or open circuited. 6) Replace the PFP board. 7) Replace the MAIN board. YES the tray-up sensor working? (Perform the input check the test mode: 13-[04. SENSOR TEST])  NO 1) Check if the connector of the sensor is disconnected. 2) Check if any of the connectors CN241, CN247 and CN248 on the PFP board is disconnected. 3) Check if the connector CN13 on the MAIN board is disconnected. 4) Check if the slit reaches the sensor. 5) Check if the connector pins are disconnected and the harnesses are open circuited. 6) Check if the conductor patterns on the PFP board and MAIN board are short circuited or open circuited. 7) Replace the PFP board. 8) Replace the MAIN board. YES 1) Check if the conductor pattern on the MAIN board is short circuited or open circuited. 2) Replace the MAIN board.
Code;C21
Description;CIS unit initialization error
Remedy;
Code;C26
Description;Peak detection error: Lighting the exposure lamp (white reference) not detected when power turned ON.
Remedy;Does the exposure lamp light? (Perform the output check the test mode: 04-267) YES Replace the CIS unit.  NO 1) Check if the connector of the CIS unit are disconnected. 2) Check the MAIN board if the connector (CN6) is disconnected and the harness is short circuited or open circuited. 3) Check if the conductor pattern on the MAIN board is short circuited or open circuited. 4) Replace the MAIN board. 5) Replace the CIS unit.
Code;C41
Description;Thermistor heater abnormality power-ON: Abnormality service call the thermistor detected when power turned or the temperature the fuser roller does not rise a specified period time after power turned ON.
