Code;C010
Description;Main motor abnormality: The main motor is not rotating normally.
Causes;Main motor MAIN board
Remedy;"1 Is the main motor working? (Perform the output check in the test mode: 03-101/151) Yes 2 No 1. Check if the connector CN1 of the main motor is disconnected. 2. Check if the connector CN19 on the MAIN board is disconnected. 3. Check if the connector pins are disconnected and the harnesses are open circuited. 4. Check if the conductor patterns on the main motor board and MAIN board are short circuited or open circuited. 5. Replace the main motor. 2 Are there any damage or scratches on the main motor board? Yes 3 No 1. Check if the connector pins are disconnected and the harnesses are open circuited. 2. Check if the conductor patterns on the main motor board and MAIN board are short circuited or open circuited. 3. Replace the main motor. 3 MAIN board 1. Check if the PLL lock signal CN19-7 output from the MAIN board is always level ""L""? 2. Replace the MAIN board."
Code;C260
Description;Scanning system related service call Peak detection error: Lighting of the exposure lamp (white reference) is not detected when power is turned ON.
Causes;CIS harness CIS When replacing the CIS, be sure to perform the light volume adjustment (05-3219). MAIN board When replacing the board, be sure to perform the light volume adjustment (05-3219). Scan motor
Remedy;1 Is the exposure lamp lit? Yes It is lit. 2 No It is not lit. 3 2 1. Shading correction plate 1. Check if there is any scratch or stain on the shading correction plate. 2. CIS 1. Perform the light volume adjustment (05-3219). 2. Check if the harness of the CIS is connected properly. 3. Check if the harness is scratched or open circuited. 3. MAIN board 1. Check if the harness of the MAIN board is connected properly. 2. Check if 3.3 V on the MAIN board is short circuited. 3. Check if 3.3 V is supplied to the MAIN board. 4. Check if the mounted parts on the MAIN board are damaged or abnormal. 4. Scan motor 1. Check if the belt tension is loosened. 2. Check if the harness of the motor is caught or open circuited. 3 1. CIS 1. Perform the light volume adjustment (05-3219). 2. Check if the harness of the CIS is connected properly. 3. Check if the harness is scratched or open circuited. 2. MAIN board 1. Check if the harness of the MAIN board is connected properly. 2. Check if 24 V on the MAIN board is short circuited. 3. Check if 24 V is supplied to the MAIN board. 4. Check if 3.3 V on the MAIN board is short circuited. 5. Check if 3.3 V is supplied to the MAIN board. 6. Check if the mounted parts on the MAIN board are damaged or abnormal.
Code;C270
Description;Scanning system related service call. Carriage home position cannot be detected within a specified period of time: The carriage does not shift from its home position in a specified period of time.
Causes;CIS harness CIS When replacing the CIS, be sure to perform the light volume adjustment (05-3219). MAIN board When replacing the board, be sure to perform the light volume adjustment (05-3219). Scan motor
Remedy;1 Does the carriage shift from its home position? (Output check: 03-261) Yes It shifts. 2 No It does not shift. 3 2 1. CIS 1. Check if the light source of the CIS lights up while the carriage is shifting to the left. 2. Check if the harness of the CIS is connected properly. 3. Check if the harness is scratched or open circuited. 2. MAIN board 1. Check if the harness of the MAIN board is connected properly. 2. Check if 24 V on the MAIN board is short circuited. 3. Check if 24 V is supplied to the MAIN board. 4. Check if 3.3 V on the MAIN board is short circuited. 5. Check if 3.3 V is supplied to the MAIN board. 6. Check if the mounted parts on the MAIN board are damaged or abnormal. 3. Scan motor 1. Check if the belt tension is loosened. 2. Check if the harness of the motor is caught or open circuited. 3 1. MAIN board 1. Check if the harness of the MAIN board is connected properly. 2. Check if 24 V on the MAIN board is short circuited. 3. Check if 24 V is supplied to the MAIN board. 4. Check if 3.3 V on the MAIN board is short circuited. 5. Check if 3.3 V is supplied to the MAIN board. 6. Check if the mounted parts on the MAIN board are damaged or abnormal. 2. Scan motor 1. Check if the belt and the pulley come off. 2. Check if the harness of the motor is caught or open circuited.
Code;C411
Description;Fuser unit related service call. Thermistor or heater lamp abnormality at power-ON: Abnormality of the thermistor is detected when power is turned ON or the temperature of the fuser roller does not rise in a specified period of time after power is turned ON.
Causes;MAIN board Thermistors Heater lamp
Remedy;"1. Check the thermistors 1. Check if the connectors are disconnected. 2. Check if the center, side and edge thermistors are in contact with the surface of the fuser roller properly? 3. Check if the center, side and edge thermistors are not deformed or dirty. 4. Check if the harnesses of the center and edge thermistors are open circuited. 2. Check the heater 1. Check if the heater is broken. 2. Check if the connector of the heater is disconnected. 3. Check if the harnesses are connected properly to the terminals of the heater lamp. 4. Check if the thermostat is blown. 3. Check the MAIN board 1. Check if the connectors CN10 are disconnected. 2. Check if the conductor pattern on the MAIN board is short circuited or open circuited. 3. Replace the MAIN board. 4. Clear the status counter After repairing the matter which caused the error [C411], perform the following: 1. Turn ON the power while [0] and [8] are pressed simultaneously. 2. Key in ""2002"", then press [START]. 3. Change the current status counter value ""1"" or ""2"" to ""0"", then press [OK] (to cancel [C411]). 4. Turn the power OFF and then back ON. Make sure that the equipment enters the normal ready state."
Code;C412
