Code;C020
Description;Developer drive motor abnormality: Thedeveloper drive motor is not rotating normally.
Causes;Developer unit Feeding/developing drive unit Paper feeding/developer unit drive motor Drum TBU drive unit LGC board 1st/2nd drawer feed roller Bypass unit Paper feeding drive section Transport roller
Remedy;Developer unit • Check if the developer material is caked. • Check if there is any abnormality in the row of gears on the rear side of the developer unit. • Check if the amount of developer material is proper. Development drive unit/Paper feeding drive unit • Check if there is any foreign matter between the gears. • Check if there is any damage on the gear tooth surface. • Check if there is any scratch on the caliber or the shaft of each gear. • Check if the proper amount of grease is applied to the caliber or the shaft of each gear. • Check if there is any damage to the developer drive output coupling. Paper feeding/developer unit drive motor • Check that the motor is rotated normally. (03-112) • Connector check • Harness check Drum TBU drive unit • Check if there is any foreign matter in the row of the color developer drive gears. • Check if there is any damage on the tooth surface of the color developer drive gears. • Check if there is any scratch on the caliber or the shaft of each color developer drive gear. • Check if the proper amount of grease is applied to the caliber or the shaft of each color developer drive gear. • Check if there is any damage to the developer drive output coupling. LGC board • Board check • Connector check (CN391, CN392) • Harness check 1st/2nd drawer feed roller • Check if the 1st drawer feed roller is overloaded. • Check if there is any damage to the roller coupling. Bypass unit • Check if the bypass feed roller is overloaded. • Check if there is any damage to the row of the bypass unit gears. Paper feeding drive section • Check if there is any foreign matter between the gears. • Check if there is any damage on the gear tooth surface. • Check if there is any scratch on the caliber or the shaft of each gear. Transport roller • Check if the PFU transport roller is overloaded.
Code;C040
Description;PFP motor abnormality: The PFP motor is not rotating normally. (the case that paper can be fed from any drawer except the PFP)
Causes;PFP motor PFP board LGC board
Remedy;1 Is the PFP motor working? (Perform the output check: 03-109/159) Yes 2 No • Check if the connector J952 of the PFP motor is disconnected. • Check if the connector CN245 on the PFP board is disconnected. • Check if the connector CN241 on the PFP board is • Check if the connector CN371 on the LGC board is disconnected. • Check if the connector pins are disconnected or the harnesses are open circuited. • Check if the conductor patterns on the PFP motor board, PFP board and LGC board are short circuited or open circuited. 2 Is the LED on the PFP motor board lit without flashing? Yes 3 No • Check if the connector pins are disconnected or the harnesses are open circuited. • Check if the conductor patterns on the PFP motor board, PFP board and LGC board are short circuited or open circuited. 3 PFP board • Check if the PLL lock signal CN945-7 pin output from the PFP board is always “L” level. • Check if the voltage supplied to the microcomputer input terminal IC5-17 pin is always “L” level.
Code;C130
Description;1st drawer tray abnormality: The tray-up motor is not rotating or the 1st drawer tray is not moving normally. (the case that paper can be fed from any drawer except the 1st drawer)
Causes;Tray-up motor DRV board LGC board Tray-up sensor
Remedy;1 Does the tray go up? (Perform the output check: 03-242, 243) Yes 2 No • Check if the connector of the tray-up motor is disconnected (J1079, CN457). • Check if the connector on the DRV board is disconnected. (CN450, CN451, CN457) • Check if the connector on the LGC board is disconnected (CN361, CN362). • Check if the connector pins are disconnected or the harnesses are open circuited. • Check if the conductor pattern on the LGC board is short circuited or open circuited. 2 Is the tray-up sensor working? (Perform the input check: 03-[ALL]OFF/ [0]/[E], 03-[FAX]ON/[4]/[E] Yes 3 No • Check if the connector of the sensor is disconnected (CN460, J1088, J1094, J1097, J1103). • Check if the connector on the DRV board is disconnected. (CN450, CN451, CN460) • Check if the connector on the LGC board is disconnected (CN361, CN362). • Check if the slit reaches the sensor. • Check if the connector pins are disconnected or the harnesses are open circuited. • Check if the conductor pattern on the LGC board is short circuited or open circuited. 3 DRV board • Check if the conductor pattern on the DRV board is short circuited or open circuited. 4 LGC board • Check if the conductor pattern on the LGC board is short circuited or open circuited.
