Code;C010
Description;Main motor abnormality
Causes;Drive system related service call The main motor is not rotating normally.
Remedy;1 Is the main motor working? (Perform the output check in the test mode: 03-101/151) Yes 2 No • Check if the connector (CN650, CN651) of the main motor is disconnected. • Check if the connector CN303 on the LGC board is disconnected. • Check if the connector pins are disconnected and the harnesses are open circuited. • Check if the conductor patterns on the main motor board and LGC board are short circuited or open circuited. • Replace the main motor. • Replace the LGC board. 2 Are there any damage or scratches on the main motor board? Yes 3 No • Check if the connector pins are disconnected and the harnesses are open circuited. • Check if the conductor patterns on the main motor board and LGC board are short circuited or open circuited. • Replace the main motor. • Replace the LGC board. 3 LGC board • Check if the PLL lock signal CN303-7 output from the LGC board is always level “L”? • Check if the voltage supplied to the CPU input terminal IC22-98 is always “L”? • Replace the LGC board. 4 Is there any damage to the high-voltage power supplying springs? Yes • If the power supplying spring for transfer/ separation is unhooked, attach it properly. • If the power supplying spring for the main charger is deformed, replace it. No 5 5 Can the gear of the process unit be rotated when it is turned manually? Yes 6 No Replace the process unit. 6 Fuser unit Release the pressure lever and turn the gear of the fuser unit manually. If not, replace the fuser unit.
Code;C040
Description;PFP motor abnormality
Causes;Paper feeding system related service call The PFP motor is not rotating normally.
Remedy;1 Is the PFP motor working? (Perform the output check in the test mode: 03-109/159) Yes 2 No • Check if the signal line connector J952 of the PFP motor is disconnected. • Check if the connector CN245 on the PFP board is disconnected. • Check if the connector CN241 on the PFP board is disconnected. • Check if the connector CN315 on the LGC board is disconnected. • Check if the connector pins are disconnected and the harnesses are open circuited. • Check if the conductor patterns on the PFP motor board, PFP board and LGC board are short circuited or open circuited. • Replace the PFP motor. 2 Is the LED on the PFP motor board lit without flickering? Yes 3 No • Check if the connector pins are disconnected and the harnesses are open circuited. • Check if the conductor patterns on the PFP motor board, PFP board and LGC board are short circuited or open circuited. • Replace the PFP motor. 3 PFP board LGC board • Check if the PLL lock signal CN245-7 output from the PFP board is always “L” level. • Check if the voltage supplied to the microcomputer input terminal IC5-17 is always “L” level. • Replace the PFP board. • Replace the LGC board.
Code;C130, C140
Description;[C130] 1st drawer tray abnormality [C140] 2nd drawer tray abnormality
Causes;Paper feeding system related service call • The upper tray-up motor is not rotating or the upper drawer tray is not moving normally. • The lower tray-up motor is not rotating or the lower drawer tray is not moving normally.
