Code;A1
Description;Document in ADF
Code;A1-8
Description;Main board received reset signal
Code;A2
Description;ADF jams
Code;A6
Description;ADF registration jam
Code;A7
Description;ADF interlock
Code;A9
Description;Tray 1 jam
Code;C1
Description;Tray 2 jam
Code;C2
Description;Tray 3 jam
Code;C3
Description;Bypass feed jams
Code;C4
Description;Machine has reset
Code;E1
Description;Jam
Code;E1 ... E1-0
Description;Registration jam
Code;E1-5
Description;Clamshell interlock
Code;E1-6
Description;Right side interlock
Code;E1-7
Description;Two tray interlock, or duplex interlock
Code;E1-8
Description;Sorter interlock
Code;E1-9
Description;Copy cartridge interlock
Code;E2
Description;Reset signal happened
Code;E3
Description;Jam in transfer area
Code;E4
Description;Exit jam
Code;E4-0
Description;Exit jam
Code;E4-5
Description;Clamshell interlock
Code;E4-6
Description;Right side interlock
Code;E4-7
Description;Two tray interlock
Code;E4-8
Description;Sorter interlock
Code;E4-9
Description;Copy cartridge interlock
Code;E5
Description;Clamshell interlock
Code;E6
Description;Right side interlock
Code;E9
Description;Copy cartridge interlock
Code;F3-1
Description;Sorter bin home switch
Code;F3-2
Description;Sorter cam switch
Code;F3-3
Description;Sorter cam switch
Code;F5
Description;Sorter interlock
Code;J1-1
Description;Add toner
Code;J1-2
Description;Temporary low toner signal
Code;J2-1, J2-2
Description;Replace copy cartridge
Code;J5, J6
Description;ADF to machine communications problem
Code;L2
Description;2000 copies left on cartridge
Code;L3
Description;ADF to machine communications problem
Code;L4
Description;(flashing) 1000 copier left on fuser web
Code;L6
Description;Auditron or other counter problem
Code;LL
Description;Main board. Try simulation 1.1 to initialize
Code;rc
Description;Wrong operation panel installed
Code;rr
Description;Bad EPROM on main board. Try 1.1
Code;U0
Description;Main board
Code;U2
Description;Scan problem
Code;U2-1
Description;Scan home
Code;U2-2
Description;Scan home or scan encoder
Code;U2-4
Description;Scan home or scan dual page sensor
Code;U2-7
Description;Scan home
Code;U4-1
Description;Fuser problem. Long warm up
Code;U4-2
Description;Low fuser temperature after warm up
Code;U4-3
Description;High fuser temperature
Code;U4-4
Description;Open fuser thermistor
Code;U4-6
Description;Replace fuser web.
Code;U4-7
Description;Thermistor signal problem
Code;U7-1
Description;Copy cartridge belt drive problem
Code;U9-3
Description;Exposure lamp problem
Code;U9-4
Description;Toner motor
Code;U9-5
Description;Problem in warm-up.
