Code;001-300
Description;Left Cover (Door A) Open Left Cover (Door A) is open.
Remedy;Enter Service Diagnostics Menu: Printer Menu > Troubleshooting > Service Tools > Printer Status Page > hold the Up and Down buttons simultaneously > Run Service Diagnostics > OK.. Open and close Left Cover (PL 2.7). The display changes. Y↓N→Measure the voltage between +24 LVPS J172B and GND(-). +24 VDC measured. Y↓N→Check for +5 VDC between the gray and violet wires at P511 on the printer +5 VDC LVPS (PL 9.1). +5 VDC is measured. Y↓N→Go to, +5 VDC Low-Voltage Power Supplies RAP. Replace the LVPS (PL 9.1). Remove the Rear Cover. Disconnect J172B (from Left Cover Interlock Switch (PL 2.10)). Check resistance between A1 and B1 when switch is actuated. Resistance is less than 3 ohms. Y↓N→Replace the Left Cover Interlock Switch (PL 2.10). Reinstall the Switch. Close the Left Cover (PL 2.7). Measure the voltage at J531-5 on the I/F PWB. +24 VDC measured. Y↓N→Repair the open circuit between the +24 VDC LVPS and the I/F PWB. Replace the Interface PWB (PL 9.1). If the problem continues, replace the Engine Control Board (MCU PWB) (PL 13.1). Check installation of the Cover/Actuator.
Code;001-301
Description;Left Lower Cover (Door B) Open Left Lower Cover (Door B) is open
Remedy;Enter Service Diagnostics Menu: Printer Menu > Troubleshooting > Service Tools > Printer Status Page > hold the Up and Down buttons simultaneously > Run Service Diagnostics > OK. Open the Left Lower Cover. Actuate the Left Lower Cover Interlock Switch (PL 2.3) with a screwdriver. The display changes. Y↓N→Go to Transmissive Sensor Procedure and repair the LH Lower Cover Interlock Switch (PL 2.3). Check the Sensor, Actuator, and Left Lower Cover installation (PL 2.3).
Code;001-302
Description;Front Cover Door Open Front Cover Door is open.
Remedy;Open the Front Cover. Cheat the Front Interlock Switch (PL 10.1). 01-510 is cleared. Y↓N→+24 VDC is measured between the I/F PWB P/J531-1 (+) and GND (-) ( I/F PWB, MAIN Motor, LVPS Plug/Jack Locations ). Y↓N→+24 VDC is measured between the Front Interlock Switch P/J171-B1 (+) and GND (-) ( Xerographic, Plug/Jack Locations ). Y↓N→+24 VDC is measured between the Front Interlock Switch P/J171-A1 (+) and GND (-) (refer to Xerographic - Plug/Jack Locations ). Y↓N→Repair the open circuit between the Left Cover Interlock Switch P/J172-B1 ( Exit Transport Assembly - Plug/Jack Locations ) and the Front Interlock Switch P/J171-A1. Replace the Front Interlock Switch (PL 10.1). +24 VDC is measured between the RH Cover Interlock Switch P/J173-B1 (+) and GND (-) ( Outlet Panel Assembly - Plug/Jack Locations ). Y↓N→+24 VDC is measured between the RH Cover Interlock Switch P/J173-A1 (+) and GND (-). Y↓N→Repair the open circuit between the Front Interlock Switch P/J171-B1 and the RH Cover Interlock Switch P/J173-A1. Replace the RH Cover Interlock Switch (PL 10.1). Check the wire for an open circuit between the RH Cover Interlock Switch P/J173-B1 and P/J531-1 on the I/F PWB (HVPS, +24V LVPS - Plug/Jack Locations) Replace the I/F PWB (PL 9.1). If the problem continues, replace the Engine Control Board (MCU PWB) (PL 13.1). Check installation of the Cover/Actuator (PL 10.1).
Code;001-303
