Code;01-100
Description;Front Cover Open Fault The front cover is open or the cover open switch is defective.
Remedy;Check the Actuator on the Front Cover Open Switch. The Actuator moves freely. Y↓N→Replace the Front Cover Open Switch Actuator. (PL-XX) Check the Front Cover Open Switch. The switch is OK. Y↓N→Replace the Front Cover Open Switch. (PL-XX) Check the connection between the Main PWB and the HVPS (BSD 3.1A). The connection is secure. Y↓N→Secure the connection between the Main PWB and HVPS. Replace the HVPS PWB (PL-XX).
Code;03-410
Description;Paper Mismatch at Tray 1 The size setting for the Paper Tray does not match the paper size loaded in the tray.
Remedy;• Check the media size settings for the tray from the Control Panel. • Adjust the Paper Tray Guides to match the size of the paper that is loaded into the tray. • Place the correct size paper into the tray for the tray size setting. Remove the tray and inspect the Paper Size Switch for wear or contamination. The switch is operational. Y↓N→Replace the Paper Size Switch (PL-XX). • Replace the Paper Tray (PL-XX) • Replace the Main PWB, (PL-XX)
Code;03-450
Description;Paper Mismatch at Manual Feed Slot The size setting for the Manual Feed Slot does not match the paper size loaded
Remedy;• Check the media size settings for the tray from the Control Panel. • Adjust the Paper Tray Guides to match the size of the paper that is loaded into the tray. • Place the correct size paper into the tray for the tray size setting. Inspect the Paper Size Switch for wear or contamination. The switch is operational. Y↓N→Replace the Paper Size Switch (PL-XX). • Replace the Paper Tray (PL-XX). • Replace the Main PWB, (PL-XX).
Code;03-900
Description;Main PWB Motor Control Chip Fault The Motor Control Chip on the Main PWB is not functioning normally.
Remedy;1. Switch Off the power then switch On the power. 2. If problem continues, replace the Main PWB, (PL-XX).
Code;04-500
Description;Main Drive (BLDC) Motor Start Fault The Main Drive (BLDC) Motor did not start within the specified time after the ready signal was sent.
Remedy;Enter Diagnostic Mode. Press the <Menu> button, the <#> button, then using the keypad select: [1934, Diagnostics, Machine Test, EDC Mode, DC330 Component Control, 100 Motor] to start the motor. The motor rotates. Y↓N→Remove the Right Cover and check the motor connector on the Main PWB. The connector on the Main PWB is connected correctly. Y↓N→Reconnect the motor connector. Remove the Duplex paper Guide. Check the motor connector. The connector is OK. Y↓N→Reconnect the connector The Imaging Unit Drive coupler may have overloaded. Remove the Print Cartridge and rotate the Imaging Unit coupler. The Imaging Unit coupler rotates freely. Y↓N→Replace the Imaging Unit. The Main Drive Motor or the Main PWB is defective. Perform the following: • Replace the Main Drive Motor PL 4.1. If problem persists, replace the Main PWB, PL 1.1.
Code;05-100, 05-900
Description;Paper Jam in Document Feeder Fault The machine has detected a paper jam in the Document Feeder.
Remedy;Inspect the Paper Path Sensor for damage or contamination. Remove any debris from the sensor. Enter Diagnostic Mode. Select: [Machine Test, EDC Mode, DC330 Component Control, 102 Sensor, Temp A] to test the Registration Sensor. The sensor is OK. Y↓N→Replace the Paper Path Sensor PL 7.1. Check that the Feed Motor is operating correctly. Select: [Machine Test, EDC Mode, DC330 Component Control, 100 Motor, Feed Motor Slow] The Feed Motor is OK. Y↓N→Check the connection from the Feed Motor to the Main PWB is securely seated. The motor is OK. Y↓N→• Replace the Feed Motor. [PL-XX] • Replace the Document Feed Assembly [PL-XX] Go to SCP 04 Final Actions. Check the paper path drives and clear any jammed sheets from the paper path. If problem persists, replace the Main PWB PL 1.1.
Code;05-500
Description;Document Feeder Cover Open Fault The Document Feeder or Document Feeder Top Cover is not securely latched.
Remedy;• Close the Document Feeder unit. • Close the Document Feeder top cover. Remove the top cover and check the connection to the PWB sensor switch. The connection is secure. Y↓N→Secure the connection. Replace the sensor? (switch?)
Code;06-100, 06-200
Description;Laser Module (LSU) Motor Fault The machine has detected that the Laser Module Drive Motor is not working correctly.
Remedy;Enter Diagnostic Mode. Select: [Machine Test, EDC Mode, DC330 Component Control, 110 LSU, LSU Mot1 Run] to test the LSU motor. The motor runs. Y↓N→Check the Main Wire Harness and connectors on the Laser Module. The connections are secure. Y↓N→Disconnect and securely reconnect the harness. Check the harness for a short circuit or open circuit. The harness is OK. Y↓N→Replace the harness. Replace the Laser Module (PL-XX) Go to SCP 04 Final Actions.
Code;07-110
Description;Paper Tray 1 Empty Fault The Tray Empty Sensor failed to detect paper in the tray.
Remedy;Check the Tray Empty Sensor actuator. The actuator moves freely is undamaged. Y↓N→Replace the Empty Sensor actuator (PL-XX). Enter Diagnostic Mode. Select: [Machine Test, EDC Mode, DC330 Component Control, 102 Sensor, Tray 1 Empty] to actuate and de actuate the Tray 1 Empty Sensor. The sensor signal changes. Y↓N→Replace the Tray Empty Sensor (PL-XX). If the problem is intermittent, check the circuit of the Tray Empty Sensor. (BSD-tbd)
Code;07-130
Description;Paper Jam in Tray 1 Fault A paper jam has occurred in Tray 1.
Remedy;Remove Tray 1 and ensure that guides are set correctly. The paper is loaded correctly in the tray. Y↓N→Align the paper in Tray 1 then reinsert the tray. Check the position of the jammed sheet. The lead edge reached the Retard Roll. (Figure 1.) Y↓N→Enter Diagnostics Mode. Select: [Machine Test, EDC Mode, DC330 Component Control, 102-Sensor, Feed Sens] to block and clear the Feed Sensor. The sensor is OK. Y↓N→Replace the Feed Sensor (PL-XX). In Diagnostics Mode, go to [101-Clutch, Tray 1 Pick up] to energize the clutch. The clutch engages. Y↓N→Replace the Tray 1 Pick up (Feed) Clutch (PL-XX). Perform SCP Final Actions. Remove any jammed paper. Check the following for wear or damage and replace as required: • Retard Roller (PL-XX) • Pick up (Feed) and Forward Roll Assembly (PL-XX) • Elevator Plate (PL-XX) • Elevator Plate Springs (PL-XX)
Code;07-500
Description;Manual Feed Slot Paper Empty Fault The Manual Feed Slot Empty Sensor failed to detect paper in the Manual Feed Slot.
