FRAME L & DRIVE UNIT;LX5095001;MAIN FRAME L ASSY, DCP7055 EXCEPT FOR CHN/ RUS, DCP7057/ DCP7057E/ MFC7360 FOR ALL COUNTRIES;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LX5827001;MAIN FRAME L ASSY, DCP7055 FOR CHN/ RUS;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LX5175001;MAIN FRAME L ASSY, DCP7060D/ MFC7470D;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LX5001001;MAIN FRAME L ASSY, DCP7065DN/ DCP7070DW/ HL2280DW/ MFC7460DN/ MFC7860DN/ MFC7860DW;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LX5278001;MAIN FRAME L ASSY, MFC7360N/ MFC7362N;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LV0579001;PAPER EJECT SENSOR PCB ASSY;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LY2010001;FUSER GEAR 28/ 34;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LY2054001;MAIN MOTOR;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LY2067001;DEVELOP DRIVE SUB ASSY;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;300416;SCREW BIND M3X4;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LU5693001;TAPTITE BIND B M4X12;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LT1130001;INTERNAL TEMPERATURE SENSOR;;Brother_image\Brother MFC7470D_1583789837090.png
FRAME L & DRIVE UNIT;LY2070001;DEVELOP GEAR JOINT/ 52;;Brother_image\Brother MFC7470D_1583789837090.png
PAPER FEEDER;LY2087001;PF FRAME ASSY, DCP7055/ DCP7057/ DCP7057E/ DCP7060D/ MFC7360/ MFC7360N/ MFC7362N;;Brother_image\Brother MFC7470D_1583789841415.png
PAPER FEEDER;LY2312001;PF FRAME ASSY, DCP7065DN/ DCP7070DW/ HL2280DW/ MFC7460DN/ MFC7470D/ MFC7860DN/ MFC7860DW;;Brother_image\Brother MFC7470D_1583789841415.png
PAPER FEEDER;LY2482001;REGIST FRAME ASSY, DCP7055/ DCP7057/ DCP7057E/ MFC7360/ MFC7360N/ MFC7362N;;Brother_image\Brother MFC7470D_1583789841415.png
PAPER FEEDER;LY2101001;REGIST FRAME ASSY, DCP7060D/ DCP7065DN/ DCP7070DW/ HL2280DW/ MFC7460DN/ MFC7470D/ MFC7860DN/ MFC7860DW;;Brother_image\Brother MFC7470D_1583789841415.png
PAPER FEEDER;LY2093001;PICK-UP ROLLER HOLDER ASSY;;Brother_image\Brother MFC7470D_1583789841415.png
FRAME;LJ7403001;RUBBER FOOT;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LY2136001;FUSER FAN;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LY2141001;FILTER;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LT1475001;NEW TONER SENSOR PCB ASSY, DCP7055/ DCP7057/ DCP7057E/ DCP7060D/ MFC7360/ MFC7360N/ MFC7362N;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LT1268001;NEW TONER SENSOR PCB ASSY, DCP7065DN/ DCP7070DW/ HL2280DW/ MFC7460DN/ MFC7470D/ MFC7860DN/ MFC7860DW;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LY2584001;FEEDER GEAR 17;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LY2144001;T1 CLUTCH ASSY;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LY2150001;REG CLUTCH ASSY;;Brother_image\Brother MFC7470D_1583789843721.png
FRAME;LT1401001;WIRELESS LAN PCB ASSY, DCP7070DW/ HL2280DW/ MFC7860DW;;Brother_image\Brother MFC7470D_1583789843721.png
LASER UNIT;LY2566001;LASER UNIT (SP), DCP7055/ DCP7057/ DCP7057E;;Brother_image\Brother MFC7470D_1583789849303.png
LASER UNIT;LX5198001;LASER UNIT (SP), DCP7060D/ DCP7065DN/ DCP7070DW/ HL2280DW/;;Brother_image\Brother MFC7470D_1583789849303.png
LASER UNIT;LU1259001;MFC7360/ MFC7360N/ MFC7362N/ MFC7460DN/ MFC7470D/ MFC7860DN/ MFC7860DW LABEL LASER CAUTION 75X100;;Brother_image\Brother MFC7470D_1583789849303.png
LASER UNIT;LP2378001;TAPTITE CUP S M3X8 SR;;Brother_image\Brother MFC7470D_1583789849303.png
DX;LY2166001;DUPLEX TRAY, DCP7060D/ DCP7065DN/ HL2280DW/ MFC7460DN/ MFC7470D/ MFC7860DW FOR US/ CAN/ PHL/ ARG/ CHL/ BRA;;Brother_image\Brother MFC7470D_1583789852248.png
DX;LY2452001;DUPLEX TRAY, DCP7060D/ DCP7065DN/ DCP7070DW/ MFC7460DN/ MFC7470D/ MFC7860DN/ MFC7860DW EXCEPT FOR US/ CAN/ PHL/ ARG/ CHL/ BRA;;Brother_image\Brother MFC7470D_1583789852248.png
PAPER CASSETTE;LX5007003;PAPER TRAY, DCP7055/ MFC7360/ MFC7360N FOR US/ CAN/ ARG/ CHL/ TWN/ ASA/ BRA/ IND/ MEX;;Brother_image\Brother MFC7470D_1583789855334.png
PAPER CASSETTE;LX5007001;PAPER TRAY, DCP7060D/ DCP7065DN/ HL2280DW/ MFC7460DN/ MFC7860DW FOR US/ CAN/ PHL/ TWN/ ARG/ CHL/ ASA/ BRA/ IND;;Brother_image\Brother MFC7470D_1583789855334.png
PAPER CASSETTE;LX5199001;PAPER TRAY, DCP7060D/ DCP7065DN/ DCP7070DW/ MFC7460DN/ MFC7470D/ MFC7860DN/ MFC7860DW EXCEPT FOR US/ CAN/ PHL/ TWN/ ASA/ ARG/ CHL/ BRA/ IND;;Brother_image\Brother MFC7470D_1583789855334.png
PAPER CASSETTE;LX5199003;PAPER TRAY, DCP7055/ DCP7057/ DCP7057E/ MFC7360/ MFC7360N EXCEPT FOR US/ CAN/ ARG/ CHL/ TWN/ ASA/ BRA/ IND/ MEX;;Brother_image\Brother MFC7470D_1583789855334.png
PAPER CASSETTE;LX5199004;PAPER TRAY, MFC7362N;;Brother_image\Brother MFC7470D_1583789855334.png
PAPER CASSETTE;LR0252001;GEAR Z19M10;;Brother_image\Brother MFC7470D_1583789855334.png
PAPER CASSETTE;LY2202001;LIFT GEAR 46;;Brother_image\Brother MFC7470D_1583789855334.png
