Printer Support;Q6651-60256;Hardware Kit (Includes screws for Legs Assembly);All;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;Q6651-60257;Leg Cover;All;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;CH955-67072;Foot Assembly;All;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;Q6651-60259;Foot Brace Assembly;42-inch;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;Q6651-60262;Foot Brace Assembly;60- inch;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;Q6651-60255;Legs Assembly;All;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;CH955-67073;Cross-Brace Assembly;42-inch;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;CH956-67026;Cross-Brace Assembly;60-inch;HP_image\HP DesignJet L25500_1584139827556.png
Printer Support;Q6651-60264;Stand Supports (left and Right);All;HP_image\HP DesignJet L25500_1584139827556.png
Front Covers;CH956-67035;Window Assembly;42-inch;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH956-67010;Window Assembly;60- inch;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67100;Window Mylar;42-inch;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH956-67037;Window Mylar;60 -inch;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67055;Transparent Window;42-inch;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH956-67016;Transparent Window;60- inch;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67047;Window Locks;All;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67086;Right Curing Cover;All;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67087;Left Curing Cover;All;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67046;Window Lock Sensor;All;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67067;Window Hinge Breaks;All;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH955-67093;Window Lock Sensor Cable;42-inch;HP_image\HP DesignJet L25500_1584139830940.png
Front Covers;CH956-67034;Window Lock Sensor Cable;60- inch;HP_image\HP DesignJet L25500_1584139830940.png
Top & Rear Covers;CH955-67041;Rear Cover;42-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH956-67008;Rear Cover;60-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH955-67081;Left Connector Cover;42-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH956-67007;Electronics Module Extension;60-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;Q6651-60332;Right Connector Cover;All;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;Q1271-60369;Window Position Sensor;All;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH955-67048;Top Cover Fan;All;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH955-67038;Top Cover;42-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH956-67003;Top Cover;60-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH955-67050;Top Cover Fan Diffusors;All;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH955-67051;Top Cover Fan Grill;All;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH956-67049;Top Cover Fans Cable;42-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH956-67015;Top Cover Fans Cable;60-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH955-67088;Rear Dryer Fan;All;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH955-67092;Dryer Fans Cable;42-inch;HP_image\HP DesignJet L25500_1584139837078.png
Top & Rear Covers;CH956-67033;Dryer Fans Cable;60inch;HP_image\HP DesignJet L25500_1584139837078.png
Electronics Module;CH955-67022;Electronics Module Cables Kit;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67010;OMAS PCA;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67021;Sausalito PCI PCA;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;Q6651-60282;Main PCA Formatter (Includes Processor, Heatsink & Fan).;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67009;Interconnect PCA;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67023;Empty Electronics Module Assembly;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67020;Electronics Module Metal Parts Kit;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67006;Power Supply Unit (PSU);All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67030;PrintMech PCA;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;Q1273-60249;Memory Module SDRAM DIMM 32MX64 256M 184-DIM;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67031;Hard Disk Drive (Includes Holder and screws);All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;Q1271-60160;CPU Fan;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67052;Heaters Control Assembly: Petisa (includes cooling fan);All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67078;Heater Control Assembly Cooling Fan;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67079;2 Residual Current Circuit Breakers (RCCB)/ GFIs;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67080;Dryer AC Input;All;HP_image\HP DesignJet L25500_1584139839772.png
Electronics Module;CH955-67074;SATA Bridge PCA;All;HP_image\HP DesignJet L25500_1584139839772.png
Right Hand Cover;CH955-67019;Right Cover (without Right Door);All;HP_image\HP DesignJet L25500_1584139844098.png
Right Hand Cover;CH955-67029;Printhead Maintenance Cartridge Door;All;HP_image\HP DesignJet L25500_1584139844098.png
Right Hand Cover;CH955-67025;Right Trim;All;HP_image\HP DesignJet L25500_1584139844098.png
Right Hand Cover;Q1273-60240;Front Panelb;All;HP_image\HP DesignJet L25500_1584139844098.png
Right Hand Cover;CH955-67027;Front Panel Bezel;All;HP_image\HP DesignJet L25500_1584139844098.png
Left Hand Cover;CH955-67018;Left Cover;All;HP_image\HP DesignJet L25500_1584139847961.png
Left Hand Cover;CH955-67026;Left Trim;All;HP_image\HP DesignJet L25500_1584139847961.png
Right Hand Assemblies;Q1273-60086;Right Scan-Axis Bracket;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;CH955-67012;Service Station Assembly;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;Q6651-60266;Primer Valves and Primer Tubes Assembly;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;CH955-67034;Aerosol Filter & Fan assembly;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;Q1273-60273;Service Station Cable (Includes Printhead Cleaning Cartridge Door Sensor);All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;CH995-67095;Vacuum Fan Assembly;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;CH955-67004;Drop Detector;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;Q6651-60265;Primer Assembly;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;CH955-67053;Web Wiper Motor Assembly;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;;Printhead Cleaner Container;All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;CH955-67045;Spittoon Assembly (includes funnel, tube and end section);All;HP_image\HP DesignJet L25500_1584139850598.png
Right Hand Assemblies;CH955-67064;Rewinder Motor and Gears;All;HP_image\HP DesignJet L25500_1584139850598.png
Left Hand Assemblies;CH955-67028;Cartridge Trays;All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;CH955-67014;Lower Ink Supply Station (without APS Assembly but including Cartridge Tray);All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;CH955-67013;Upper Ink Supply Station (without APS Assembly but including Cartridge Tray);All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;CH955-67024;Left Scan-Axis Bracket;All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;Q1273-60245;ISS to Cartridge Cable;All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;Q6651-60300;APS Assemblyb;42-inch;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;Q6652-60117;APS Assemblyb;60- inch;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;Q6651-60272;Color Sensor Actuator;ALL;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;CH955-67054;ISS PCAs;All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;CH955-67084;Shutter Bump (actuator);All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;CH955-67091;Cable Plate and Cover;All;HP_image\HP DesignJet L25500_1584139854276.png
Left Hand Assemblies;CH955-67096;Paper Jam Sensor (Includes Carriage Reflector & cable);All;HP_image\HP DesignJet L25500_1584139854276.png
