Frame L and Drive Unit;M0CC5102;EJECT SENSOR PCB;;Ricoh_image\Ricoh M0CA SP230DNw_1584368853943.png
Frame L and Drive Unit;M0CC5104;PAPER FEED MOTOR;;Ricoh_image\Ricoh M0CA SP230DNw_1584368853943.png
Frame L and Drive Unit;M0CC5105;PF MOTOR CABLE;;Ricoh_image\Ricoh M0CA SP230DNw_1584368853943.png
Frame L and Drive Unit;M0CC5106;FRONT COV SENSOR;;Ricoh_image\Ricoh M0CA SP230DNw_1584368853943.png
Paper Feeder;M0CC5207;EDGE SENSOR ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368858063.png
Frame;MOCC5301;T1 CLUTCH;;Ricoh_image\Ricoh M0CA SP230DNw_1584368861013.png
Frame;MOCC5302;FILTER;;Ricoh_image\Ricoh M0CA SP230DNw_1584368861013.png
Frame;MOCC5303;FAN;;Ricoh_image\Ricoh M0CA SP230DNw_1584368861013.png
Frame;MOCC5304;HVPS FLAT CABLE;;Ricoh_image\Ricoh M0CA SP230DNw_1584368861013.png
Frame;MOCC5305;NEW TONER SENSOR;;Ricoh_image\Ricoh M0CA SP230DNw_1584368861013.png
Frame;MOCC5306;REGIST CLUTCH;;Ricoh_image\Ricoh M0CA SP230DNw_1584368861013.png
Frame;MOCC5813;LAN PORT CAP;;Ricoh_image\Ricoh M0CA SP230DNw_1584368861013.png
Laser Unit;M0CC5401;LASER UNIT(SP);;Ricoh_image\Ricoh M0CA SP230DNw_1584368865583.png
Laser Unit;M0CC5402;LASER UNIT CABLE;;Ricoh_image\Ricoh M0CA SP230DNw_1584368865583.png
DX;M0CA5502;DUPLEX TRAY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368868703.png
Paper Tray;MOCC5601;PAPER TRAY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368871393.png
Paper Tray;MOCC5602;PLATE ASSY A4;;Ricoh_image\Ricoh M0CA SP230DNw_1584368871393.png
Paper Tray;MOCC5605;PAPER REAR GUIDE;;Ricoh_image\Ricoh M0CA SP230DNw_1584368871393.png
Fuser Unit;M0CC5701;FUSER UNIT 230;;Ricoh_image\Ricoh M0CA SP230DNw_1584368874402.png
Covers;M0CA5801;TOP COVE R ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CA5802;LCD;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CA5803;PANE L PCB ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CA5804;PAPER STOPPER;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CA5805;FRONT COVER ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CA5806;SUPPORT FLAP;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CC5810;INNER CHUTE ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CC5812;OUTER CHUTE ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CC5811;FUSER COVER;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CC5807;BACK COVER;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CA5808;SIDE COVER L ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CA5809;SIDE COVER R ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
Covers;M0CC5815;LABEL CAUTION FR;;Ricoh_image\Ricoh M0CA SP230DNw_1584368879603.png
PCB;M0CA6201;MAIN PCB ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368886473.png
PCB;M0CA6203;LOW VOLTAGE PS;;Ricoh_image\Ricoh M0CA SP230DNw_1584368886473.png
PCB;M0CC6204;HIGH VOLTAGE PS;;Ricoh_image\Ricoh M0CA SP230DNw_1584368886473.png
Accessories;M0CC6302;AC CORD;;Ricoh_image\Ricoh M0CA SP230DNw_1584368893793.png
Accessories;M0CC6304;PF ROLLER ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368893793.png
Accessories;M0CC6305;SEPARAT PAD SPRING;;Ricoh_image\Ricoh M0CA SP230DNw_1584368893793.png
Accessories;M0CC6306;SEPARAT PAD ASSY;;Ricoh_image\Ricoh M0CA SP230DNw_1584368893793.png
