Caption;Общие характеристики
Тип;термопринтер
Технология печати;термопечать
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Caption;Принтер
Количество цветов;1
Пигментные чернила;-
Двусторонняя печать;-
Система непрерывной подачи чернил;-
Макс. ширина рулона;2.4 дюйм. (62 мм)
Печать без полей;-
Прямая печать;-
Caption;Расходные материалы
SubCaption;Печать на:
Этикетках;+
Фотобумаге;-
CD/DVD;-
EndSubCaption;Печать на:
Количество картриджей;1
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
FireWire (IEEE 1394);-
Wi-Fi;+
Bluetooth;-
LPT;-
Инфракрасный порт;-
Устройство для чтения карт памяти;-
Caption;Дополнительная информация
SubCaption;Поддержка ОС
Windows;+
Linux;+
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
Caption;Габариты
Ширина;236 мм
Высота;153 мм
Глубина;128 мм
Вес;1.2 кг
Caption;Фото
main_image;brother_image/BrotherQL-720NW_1580760457330.jpg
image;brother_image/BrotherQL-720NW_1580760457562.jpg
image;brother_image/BrotherQL-720NW_1580760457754.jpg
image;brother_image/BrotherQL-720NW_1580760457938.jpg
Model;Brother QL-720NW
Status;Снят с производства
