Model;Canon i-SENSYS LBP312x
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Технология печати;лазерная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Область применения;большой офис
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A4
Число страниц в месяц;150 000
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;+
Система непрерывной подачи чернил;-
SubCaption;Макс. разрешение для ч/б печати
По X;600
По Y;600
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;43 стр/мин
EndSubCaption;Скорость ч/б печати
SubCaption;Время выхода первого отпечатка
Ч/б;6.2 с
EndSubCaption;Время выхода первого отпечатка
Время разогрева;30 с
Печать без полей;-
Прямая печать;+
Макс. длина отпечатка;356 мм
Макс. ширина отпечатка;127 мм
Caption;Сканер
Слайд-адаптер;-
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;52 г/м2
Максимальная;199 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Этикетках;+
Фотобумаге;-
CD/DVD;-
Глянцевой бумаге;+
Конвертах;+
Матовой бумаге;+
Рулоне;-
EndSubCaption;Печать на:
Ресурс ч/б картриджа/тонера;10 000 стр
Количество картриджей;1
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;+
PostScript 2;-
PostScript 3;+
PCL 5e;+
PPDS;-
EndSubCaption;Языки управления
SubCaption;Количество установленных шрифтов
PostScript;136
PCL;105
EndSubCaption;Количество установленных шрифтов
Caption;Лотки
Емкость лотка ручной подачи;100 листов
SubCaption;Подача бумаги
Стандартная;650 листов
Максимальная;2 300 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;250 листов
Максимальный;250 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Сортер;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Версия USB;2.0
Ethernet (RJ-45);+
FireWire (IEEE 1394);-
Wi-Fi;-
Bluetooth;-
LPT;-
AirPrint;+
Поддержка iOS;+
Инфракрасный порт;-
RS-232;-
Веб-интерфейс;+
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;1 024 Мб
Частота процессора;528 МГц
Caption;Дополнительная информация
Экран;ЖК-панель
Работа от аккумулятора;-
SubCaption;Поддержка ОС
Windows;+
Linux;+
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;670 Вт
В режиме ожидания;9.5 Вт
EndSubCaption;Потребляемая мощность
SubCaption;Уровень шума
При работе;54 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;409 мм
Высота;275 мм
Глубина;376 мм
Вес;12.4 кг
Caption;Фото
main_image;canon_image/Canoni-SENSYSLBP312x_1580656376357.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656376491.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656376613.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656376730.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656376860.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656376985.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377094.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377233.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377351.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377476.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377586.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377695.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377806.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656377918.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656378031.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656378204.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656378334.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656378445.jpg
image;canon_image/Canoni-SENSYSLBP312x_1580656378555.jpg
