Model;Canon imagePROGRAF TX-3000
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;струйный
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;напольный
Цветность печати;цветная
Макс. формат;A0
Caption;Принтер
Количество цветов;5
Пигментные чернила;+
Двусторонняя печать;-
SubCaption;Макс. разрешение для ч/б печати
По X;2 400
По Y;1 200
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Макс. разрешение для цветной печати
По X;2 400
По Y;1 200
EndSubCaption;Макс. разрешение для цветной печати
Макс. ширина рулона;33.1 дюйм. (84.1 см)
Мин. объем капли;5 пл
Печать без полей;+
Прямая печать;+
Caption;Сканер
Слайд-адаптер;-
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Расходные материалы
SubCaption;Печать на:
Карточках;-
Этикетках;-
CD/DVD;-
Конвертах;-
Матовой бумаге;+
Рулоне;+
EndSubCaption;Печать на:
Количество картриджей;5
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;+
EndSubCaption;Языки управления
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
FireWire (IEEE 1394);-
Wi-Fi;+
Wi-Fi 802.11n;+
Bluetooth;-
LPT;-
AirPrint;+
Поддержка iOS;+
Инфракрасный порт;-
RS-232;-
Веб-интерфейс;+
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;2 048 Мб
Емкость жесткого диска;500 Гб
Caption;Дополнительная информация
Экран;ЖК-панель
Диагональ дисплея;3``
Работа от аккумулятора;-
SubCaption;Поддержка ОС
Windows;+
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;105 Вт
В режиме ожидания;3.6 Вт
EndSubCaption;Потребляемая мощность
SubCaption;Уровень шума
При работе;51 дБ
В режиме ожидания;35 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;1 389 мм
Высота;1 168 мм
Глубина;984 мм
Вес;105 кг
Caption;Фото
main_image;canon_image/CanonimagePROGRAFTX-3000_1580657086443.jpg
image;canon_image/CanonimagePROGRAFTX-3000_1580657086598.jpg
image;canon_image/CanonimagePROGRAFTX-3000_1580657086741.jpg
image;canon_image/CanonimagePROGRAFTX-3000_1580657086866.jpg
image;canon_image/CanonimagePROGRAFTX-3000_1580657088067.jpg
image;canon_image/CanonimagePROGRAFTX-3000_1580657088198.jpg
image;canon_image/CanonimagePROGRAFTX-3000_1580657088327.jpg
image;canon_image/CanonimagePROGRAFTX-3000_1580657088450.jpg
