Model;Epson Expression ET2700
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;МФУ
Технология печати;пьезоэлектрическая струйная
Печать фотографий;+
Копир;+
Сканер;+
Факс;-
Телефон;-
Область применения;персональный
Размещение;настольный
Цветность печати;цветная
Макс. формат;A4
Caption;Принтер
Количество цветов;4
Двусторонняя печать;+
Система непрерывной подачи чернил;+
SubCaption;Макс. разрешение для цветной печати
По X;5 760
По Y;1 440
EndSubCaption;Макс. разрешение для цветной печати
SubCaption;Скорость ч/б печати
A4;10.5 стр/мин
A4;10.5 изобр./мин
EndSubCaption;Скорость ч/б печати
SubCaption;Скорость цветной печати
A4;5 стр/мин
A4;5 изобр./мин
EndSubCaption;Скорость цветной печати
Мин. объем капли;3.3 пл
Печать без полей;+
Caption;Копир
Макс. количество копий за цикл;20
SubCaption;Значение масштаба
Минимальное;25 %
Максимальное;400 %
EndSubCaption;Значение масштаба
Caption;Сканер
Тип сканера;планшетный
Тип датчика сканера;контактный (CIS)
Макс. формат оригинала;A4
SubCaption;Макс. размер сканирования
По X;216 мм
По Y;297 мм
EndSubCaption;Макс. размер сканирования
SubCaption;Разрешение сканера
По Х;1 200 dpi
По Y;2 400 dpi
По Х (улучшенное);9 600 dpi
По Y (улучшенное);9 600 dpi
EndSubCaption;Разрешение сканера
Глубина цвета;24 бит
Оттенки серого;256
Слайд-адаптер;-
Отправка изображения по e-mail;+
Caption;Расходные материалы
SubCaption;Печать на:
Карточках;+
Пленках;+
Этикетках;+
Фотобумаге;+
CD/DVD;-
Глянцевой бумаге;+
Конвертах;+
Матовой бумаге;+
Рулоне;-
EndSubCaption;Печать на:
Ресурс цветного картриджа/тонера;6 000 стр
Ресурс ч/б картриджа/тонера;7 500 стр
Количество картриджей;4
Caption;Факс
Цветной;-
PC Fax;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
EndSubCaption;Языки управления
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;100 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;30 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Версия USB;2.0
Ethernet (RJ-45);-
FireWire (IEEE 1394);-
Wi-Fi;+
Wi-Fi 802.11n;+
Bluetooth;-
LPT;-
Инфракрасный порт;-
RS-232;-
Веб-интерфейс;+
Устройство для чтения карт памяти;-
Caption;Дополнительная информация
Работа от аккумулятора;-
SubCaption;Поддержка ОС
Windows;+
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;12 Вт
В режиме ожидания;3.9 Вт
EndSubCaption;Потребляемая мощность
SubCaption;Уровень шума
При работе;51 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;375 мм
Высота;259 мм
Глубина;553 мм
Вес;5 кг
Caption;Фото
main_image;epson_image/EpsonExpressionET2700_1580650374267.jpg
image;epson_image/EpsonExpressionET2700_1580650374645.jpg
image;epson_image/EpsonExpressionET2700_1580650374986.jpg
image;epson_image/EpsonExpressionET2700_1580650375327.jpg
image;epson_image/EpsonExpressionET2700_1580650375927.jpg
image;epson_image/EpsonExpressionET2700_1580650376277.jpg
image;epson_image/EpsonExpressionET2700_1580650376608.jpg
image;epson_image/EpsonExpressionET2700_1580650376939.jpg
image;epson_image/EpsonExpressionET2700_1580650377274.jpg
image;epson_image/EpsonExpressionET2700_1580650377625.jpg
image;epson_image/EpsonExpressionET2700_1580650377944.jpg
image;epson_image/EpsonExpressionET2700_1580650379468.jpg
image;epson_image/EpsonExpressionET2700_1580650379833.jpg
image;epson_image/EpsonExpressionET2700_1580650380202.jpg
image;epson_image/EpsonExpressionET2700_1580650380525.jpg
