Model;Epson SureColor SC-P800
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;струйный
Технология печати;пьезоэлектрическая струйная
Печать фотографий;+
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;цветная
Макс. формат;A2
Caption;Принтер
Количество цветов;9
Пигментные чернила;+
Двусторонняя печать;-
Система непрерывной подачи чернил;-
SubCaption;Макс. разрешение для ч/б печати
По X;2 880
По Y;1 440
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Макс. разрешение для цветной печати
По X;2 880
По Y;1 440
EndSubCaption;Макс. разрешение для цветной печати
Мин. объем капли;3.5 пл
Печать без полей;+
Прямая печать;-
Макс. ширина отпечатка;432 мм
Caption;Сканер
Слайд-адаптер;-
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Расходные материалы
SubCaption;Печать на:
Карточках;-
Пленках;-
Этикетках;-
Фотобумаге;+
CD/DVD;+
Глянцевой бумаге;+
Конвертах;-
Матовой бумаге;+
Рулоне;+
EndSubCaption;Печать на:
Количество картриджей;9
Caption;Факс
Цветной;-
PC Fax;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Версия USB;2.0
Ethernet (RJ-45);+
FireWire (IEEE 1394);-
Wi-Fi;-
Wi-Fi 802.11n;-
Bluetooth;-
LPT;-
AirPrint;-
Инфракрасный порт;-
RS-232;-
Веб-интерфейс;-
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;64 Мб
Caption;Дополнительная информация
Экран;цветной ЖК-дисплей
Диагональ дисплея;2.7``
Работа от аккумулятора;-
SubCaption;Поддержка ОС
Windows;+
Linux;-
Mac OS;-
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;21 Вт
EndSubCaption;Потребляемая мощность
SubCaption;Уровень шума
При работе;48 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;684 мм
Высота;250 мм
Глубина;376 мм
Вес;19.5 кг
Caption;Фото
main_image;epson_image/EpsonSureColorSC-P800_1580642411999.jpg
image;epson_image/EpsonSureColorSC-P800_1580642412146.jpg
image;epson_image/EpsonSureColorSC-P800_1580642412326.jpg
image;epson_image/EpsonSureColorSC-P800_1580642412438.jpg
image;epson_image/EpsonSureColorSC-P800_1580642412546.jpg
