Model;Epson TM-P20 Wi-Fi
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;термопринтер
Технология печати;термопечать
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;портативный
Цветность печати;черно-белая
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;-
Система непрерывной подачи чернил;-
Caption;Расходные материалы
SubCaption;Печать на:
Рулоне;+
EndSubCaption;Печать на:
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Финишер
Сортер;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
FireWire (IEEE 1394);-
Wi-Fi;+
Bluetooth;-
Инфракрасный порт;-
RS-232;-
Устройство для чтения карт памяти;-
Caption;Дополнительная информация
Работа от аккумулятора;-
SubCaption;Поддержка ОС
DOS;-
EndSubCaption;Поддержка ОС
Caption;Габариты
Ширина;79 мм
Высота;43.6 мм
Глубина;119.8 мм
Вес;0.24 кг
Caption;Фото
main_image;epson_image/EpsonTM-P20Wi-Fi_1580643037664.jpg
image;epson_image/EpsonTM-P20Wi-Fi_1580643037812.jpg
image;epson_image/EpsonTM-P20Wi-Fi_1580643037942.jpg
image;epson_image/EpsonTM-P20Wi-Fi_1580643038107.jpg
