Model;HP DesignJet T1120 SD
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;МФУ
Тип;струйный
Технология печати;термическая струйная
Печать фотографий;+
Копир;+
Сканер;+
Факс;-
Телефон;-
Размещение;напольный
Цветность печати;цветная
Макс. формат;A0
Caption;Принтер
Количество цветов;6
Пигментные чернила;+
Двусторонняя печать;-
SubCaption;Макс. разрешение для цветной печати
По X;2 400
По Y;1 200
EndSubCaption;Макс. разрешение для цветной печати
Мин. объем капли;6 пл
Печать без полей;-
Прямая печать;-
Caption;Копир
Макс. количество копий за цикл;50
SubCaption;Значение масштаба
Минимальное;25 %
Максимальное;400 %
EndSubCaption;Значение масштаба
Caption;Сканер
Тип сканера;протяжный
Тип датчика сканера;контактный (CIS)
Макс. формат оригинала;A0
SubCaption;Макс. размер сканирования
По X;1 118 мм
EndSubCaption;Макс. размер сканирования
SubCaption;Разрешение сканера
По Х;300 dpi
По Y;300 dpi
По Х (улучшенное);9 600 dpi
По Y (улучшенное);9 600 dpi
EndSubCaption;Разрешение сканера
SubCaption;Скорость сканирования
Ч/б;12.7 см/сек
Цветн.;3.81 см/сек
EndSubCaption;Скорость сканирования
Caption;Расходные материалы
SubCaption;Печать на:
Пленках;+
Фотобумаге;+
CD/DVD;-
Глянцевой бумаге;+
Конвертах;-
Матовой бумаге;+
Рулоне;+
EndSubCaption;Печать на:
Количество картриджей;6
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Версия USB;2.0
Ethernet (RJ-45);+
FireWire (IEEE 1394);-
Wi-Fi;-
Bluetooth;-
LPT;-
Инфракрасный порт;-
RS-232;-
Количество слотов расширения;1
Количество свободных слотов расширения;1
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;384 Мб
Емкость жесткого диска;80 Гб
Процессор;Intel Pentium
Частота процессора;800 МГц
Caption;Дополнительная информация
Экран;цветной ЖК-дисплей
SubCaption;Поддержка ОС
Windows;+
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;330 Вт
В режиме ожидания;19 Вт
EndSubCaption;Потребляемая мощность
SubCaption;Уровень шума
При работе;55 дБ
В режиме ожидания;42 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;1 770 мм
Высота;1 450 мм
Глубина;1 000 мм
Вес;140 кг
Caption;Фото
main_image;hp_image/HPDesignJetT1120SD_1580685576677.jpg
image;hp_image/HPDesignJetT1120SD_1580685576784.jpg
