Caption;Общие характеристики
Тип устройства;МФУ
Тип;лазерный/светодиодный
Технология печати;лазерная
Копир;+
Сканер;+
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A3
Число страниц в месяц;18 000
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;+
SubCaption;Макс. разрешение для ч/б печати
По X;600
По Y;600
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;30 стр/мин
A3;11 стр/мин
EndSubCaption;Скорость ч/б печати
Время разогрева;13 с
Печать без полей;-
Прямая печать;+
Макс. длина отпечатка;432 мм
Макс. ширина отпечатка;297 мм
Caption;Копир
Время выхода первой копии;5 с
Макс. количество копий за цикл;999
Шаг масштабирования;0.1 %
SubCaption;Значение масштаба
Минимальное;25 %
Максимальное;400 %
EndSubCaption;Значение масштаба
SubCaption;Скорость ч/б копирования
A4;30 стр/мин
A3;11 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
Тип сканера;планшетный
Макс. формат оригинала;A3
SubCaption;Разрешение сканера
По Х;600 dpi
По Y;600 dpi
EndSubCaption;Разрешение сканера
SubCaption;Скорость сканирования
Ч/б;до 46 изображений в минуту (300 dpi с дополнительным автоподатчиком)
Цветн.;до 20 изображений в минуту (150 dpi с дополнительным автоподатчиком)
EndSubCaption;Скорость сканирования
Оттенки серого;256
Слайд-адаптер;-
Отправка изображения по e-mail;+
Стандарт TWAIN;+
Стандарт WIA;+
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;64 г/м2
Максимальная;157 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Этикетках;+
Фотобумаге;-
CD/DVD;-
Глянцевой бумаге;+
Конвертах;+
Матовой бумаге;+
Рулоне;-
EndSubCaption;Печать на:
Ресурс ч/б картриджа/тонера;12 000 стр
Количество картриджей;1
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5e;+
PCL 6;+
EndSubCaption;Языки управления
SubCaption;Количество установленных шрифтов
PCL;53
EndSubCaption;Количество установленных шрифтов
Caption;Лотки
Емкость лотка ручной подачи;100 листов
SubCaption;Подача бумаги
Стандартная;350 листов
Максимальная;1 350 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;250 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Сортер;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Версия USB;2.0
Ethernet (RJ-45);+
FireWire (IEEE 1394);-
Wi-Fi;-
LPT;-
Инфракрасный порт;-
RS-232;-
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;512 Мб
Caption;Дополнительная информация
Работа от аккумулятора;-
SubCaption;Поддержка ОС
Windows;+
Linux;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;1 300 Вт
EndSubCaption;Потребляемая мощность
Caption;Габариты
Ширина;627 мм
Высота;458 мм
Глубина;570 мм
Вес;30.8 кг
Caption;Фото
main_image;konica_image/KonicaMinoltabizhub306_1580748626904.jpg
image;konica_image/KonicaMinoltabizhub306_1580748627041.jpg
image;konica_image/KonicaMinoltabizhub306_1580748627164.jpg
image;konica_image/KonicaMinoltabizhub306_1580748627266.jpg
Model;Konica Minolta bizhub 306
Status;Снят с производства
