Caption;Общие характеристики
Тип устройства;принтер
Тип;лазерный/светодиодный
Технология печати;светодиодная
Печать фотографий;-
Копир;-
Сканер;-
Область применения;большой офис
Цветность печати;цветная
Макс. формат;A3
Число страниц в месяц;100 000
Caption;Принтер
Количество цветов;4
Двусторонняя печать;-
SubCaption;Макс. разрешение для ч/б печати
По X;2 400
По Y;2 400
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Макс. разрешение для цветной печати
По X;2 400
По Y;2 400
EndSubCaption;Макс. разрешение для цветной печати
SubCaption;Скорость ч/б печати
A4;29 стр/мин
EndSubCaption;Скорость ч/б печати
SubCaption;Скорость цветной печати
A4;29 стр/мин
EndSubCaption;Скорость цветной печати
Прямая печать;-
Caption;Расходные материалы
SubCaption;Печать на:
Пленках;+
Этикетках;+
Фотобумаге;-
EndSubCaption;Печать на:
Ресурс цветного картриджа/тонера;8 000 стр
Ресурс ч/б картриджа/тонера;8 000 стр
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;+
EndSubCaption;Языки управления
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;650 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;650 листов
EndSubCaption;Вывод бумаги
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
LPT;+
Инфракрасный порт;-
Caption;Память/Процессор
Объем памяти;64 Мб
Макс. объем памяти;512 Мб
Caption;Дополнительная информация
SubCaption;Поддержка ОС
Windows;-
Linux;-
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Уровень шума
При работе;58 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;695 мм
Высота;655 мм
Глубина;512 мм
Вес;80 кг
Caption;Фото
main_image;lexmark_image/LexmarkC910_1580768623280.jpg
image;lexmark_image/LexmarkC910_1580768623404.jpg
Model;Lexmark C910
Status;Снят с производства
