Model;Toshiba e-STUDIO2518A
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;МФУ
Технология печати;лазерная
Печать фотографий;-
Копир;+
Сканер;+
Факс;-
Телефон;-
Область применения;большой офис
Размещение;напольный
Цветность печати;черно-белая
Макс. формат;A3
Число страниц в месяц;100 000
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;+
Система непрерывной подачи чернил;-
SubCaption;Макс. разрешение для ч/б печати
По X;2 400
По Y;600
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;25 стр/мин
A3;16 стр/мин
EndSubCaption;Скорость ч/б печати
Время разогрева;14 с
Печать без полей;-
Caption;Копир
Время выхода первой копии;4.3 с
Макс. количество копий за цикл;999
Шаг масштабирования;1 %
SubCaption;Значение масштаба
Минимальное;25 %
Максимальное;400 %
EndSubCaption;Значение масштаба
SubCaption;Макс. разрешение (ч/б)
По X;2 400 dpi
По Y;600 dpi
EndSubCaption;Макс. разрешение (ч/б)
SubCaption;Скорость ч/б копирования
A4;25 стр/мин
A3;16 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
Тип сканера;планшетный
Макс. формат оригинала;A3
SubCaption;Разрешение сканера
По Х;600 dpi
По Y;600 dpi
EndSubCaption;Разрешение сканера
Слайд-адаптер;-
Отправка изображения по e-mail;+
Стандарт TWAIN;+
Стандарт WIA;+
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;52 г/м2
Максимальная;256 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Этикетках;+
Фотобумаге;-
CD/DVD;-
Глянцевой бумаге;+
Конвертах;+
Матовой бумаге;+
Рулоне;-
EndSubCaption;Печать на:
Ресурс ч/б картриджа/тонера;43 900 стр
Количество картриджей;1
Caption;Факс
Цветной;-
PC Fax;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Стандарт DECT;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;+
PostScript 2;-
PostScript 3;+
PCL 5c;+
PCL 5e;+
PCL 6;+
PDF;+
EndSubCaption;Языки управления
Caption;Лотки
Емкость лотка ручной подачи;100 листов
SubCaption;Подача бумаги
Стандартная;1 200 листов
Максимальная;3 200 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;550 листов
Максимальный;550 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Сортер;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
Версия USB;2.0
NFC;-
AirPrint;+
Поддержка iOS;+
Веб-интерфейс;+
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;2 048 Мб
Макс. объем памяти;4 096 Мб
Емкость жесткого диска;320 Гб
Caption;Дополнительная информация
Экран;цветной ЖК-дисплей
Диагональ дисплея;10.1``
Работа от аккумулятора;-
SubCaption;Поддержка ОС
Windows;+
Linux;+
Mac OS;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;900 Вт
EndSubCaption;Потребляемая мощность
Caption;Габариты
Ширина;585 мм
Высота;787 мм
Глубина;586 мм
Вес;58 кг
Caption;Фото
main_image;toshiba_image/Toshibae-STUDIO2518A_1580731939674.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731940421.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731941140.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731941918.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731942656.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731943386.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731944118.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731944872.jpg
image;toshiba_image/Toshibae-STUDIO2518A_1580731945618.jpg
