Model;Xerox VersaLink C9000DT
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Технология печати;светодиодная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Область применения;большой офис
Размещение;настольный
Цветность печати;цветная
Макс. формат;A3
Число страниц в месяц;270 000
Caption;Принтер
Количество цветов;4
Пигментные чернила;-
Двусторонняя печать;+
Система непрерывной подачи чернил;-
SubCaption;Макс. разрешение для ч/б печати
По X;1 200
По Y;2 400
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Макс. разрешение для цветной печати
По X;1 200
По Y;2 400
EndSubCaption;Макс. разрешение для цветной печати
SubCaption;Скорость ч/б печати
A4;55 стр/мин
A3;27 стр/мин
EndSubCaption;Скорость ч/б печати
SubCaption;Скорость цветной печати
A4;55 стр/мин
A3;27 стр/мин
EndSubCaption;Скорость цветной печати
SubCaption;Время выхода первого отпечатка
Ч/б;10 с
Цветн.;10.5 с
EndSubCaption;Время выхода первого отпечатка
Время разогрева;16.2 с
Печать без полей;-
Прямая печать;+
Макс. длина отпечатка;482.6 мм
Макс. ширина отпечатка;320 мм
Caption;Сканер
Слайд-адаптер;-
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;60 г/м2
Максимальная;350 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Фотобумаге;-
CD/DVD;-
Глянцевой бумаге;+
Матовой бумаге;+
Рулоне;-
EndSubCaption;Печать на:
Ресурс фотобарабана;190 000 стр
Ресурс цветного картриджа/тонера;12 300 стр
Ресурс ч/б картриджа/тонера;18 900 стр
Количество картриджей;4
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;+
PostScript 2;-
PostScript 3;+
PCL 5c;+
PCL 6;+
PDF;+
EndSubCaption;Языки управления
SubCaption;Количество установленных шрифтов
PostScript;136
PCL;83
EndSubCaption;Количество установленных шрифтов
Caption;Лотки
Емкость лотка ручной подачи;100 листов
SubCaption;Подача бумаги
Стандартная;1 140 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;500 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Сортер;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Версия USB;3.0
Ethernet (RJ-45);+
FireWire (IEEE 1394);-
Bluetooth;-
LPT;-
AirPrint;+
Поддержка Android;+
Поддержка iOS;+
Инфракрасный порт;-
RS-232;-
Веб-интерфейс;+
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;4 096 Мб
Частота процессора;1 600 МГц
Caption;Дополнительная информация
Экран;цветной ЖК-дисплей
Диагональ дисплея;5``
Работа от аккумулятора;-
SubCaption;Поддержка ОС
Windows;+
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;2 850 Вт
В режиме ожидания;75.3 Вт
EndSubCaption;Потребляемая мощность
SubCaption;Уровень шума
При работе;58.2 дБ
В режиме ожидания;15.1 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;620 мм
Высота;809 мм
Глубина;723 мм
Вес;80.8 кг
Caption;Фото
main_image;xerox_image/XeroxVersaLinkC9000DT_1580646226440.jpg
image;xerox_image/XeroxVersaLinkC9000DT_1580646227023.jpg
